55	0.047	8	task-0:0.575	|	0.266216	0.19974	0.199601	0.188823	0.248849	0.248133	0.160865	0.160966	0.172112	0.170513	0.160993	0.162961	0.162959	0.160672	0.16146	0.161455	0.160458	0.160744	0.160711	0.160385	0.160501	0.160504	0.160353	0.160325	0.160295	0.160253	0.160207	0.160129	0.160027	0.159895	0.159727	0.159509	0.159223	0.158838	0.158329	0.157651	0.156768	0.155692	0.154438	0.15323	0.152156	0.151471	0.150952	0.150241	0.149326	0.14808	0.146584	0.144898	0.142915	0.142178	0.14083	0.139204	0.138222	0.1372	0.136327	
54	0.031	8	task-0:0.47	|	0.28103	0.199216	0.199006	0.184903	0.241035	0.241004	0.160989	0.161289	0.167443	0.165517	0.160011	0.161561	0.160493	0.159863	0.159866	0.159642	0.159574	0.159498	0.159422	0.159295	0.159141	0.158932	0.158634	0.158185	0.157485	0.156421	0.154919	0.152936	0.149541	0.141754	0.131861	0.131556	0.133355	0.137913	0.132352	0.133816	0.130722	0.131723	0.132527	0.129444	0.123911	0.120489	0.11853	0.117263	0.113044	0.107624	0.10263	0.0992962	0.0950647	0.0908559	0.0860759	0.0801811	0.0734028	0.0691167	
59	0.031	8	task-0:0.47	|	0.210888	0.199841	0.199814	0.194005	0.164351	0.16431	0.172422	0.172422	0.16054	0.167904	0.167852	0.160279	0.160332	0.160099	0.15906	0.158973	0.158506	0.158249	0.157811	0.157207	0.156567	0.15576	0.154736	0.153425	0.151678	0.149359	0.146551	0.143535	0.141068	0.139742	0.138153	0.136822	0.136306	0.135963	0.13229	0.116956	0.11768	0.13094	0.129365	0.123149	0.116686	0.11882	0.125066	0.128201	0.12933	0.130348	0.131655	0.131644	0.131969	0.131907	0.131602	0.131091	0.130571	0.130237	0.130417	0.131199	0.127878	0.128445	0.129184	
55	0.047	8	task-0:0.47	|	0.194768	0.199211	0.198859	0.189662	0.160638	0.164855	0.158897	0.158005	0.15704	0.154899	0.152674	0.149671	0.146464	0.142793	0.140554	0.137587	0.136562	0.134549	0.132913	0.130822	0.126856	0.120448	0.108964	0.0909615	0.0725454	0.0735447	0.0596545	0.0555248	0.0592769	0.0618834	0.0598202	0.0454282	0.0415792	0.0388383	0.0349767	0.0341051	0.0323668	0.0299056	0.0272402	0.024457	0.021816	0.0212601	0.0176912	0.014213	0.013998	0.011014	0.00980275	0.00853864	0.00809928	0.00710496	0.00635735	0.0056541	0.00489998	0.00414836	0.00342328	
84	0.063	8	task-0:0.47	|	0.660667	0.180001	0.176197	0.169071	0.169055	0.16286	0.16286	0.161233	0.161165	0.16061	0.160316	0.160267	0.160419	0.160154	0.160109	0.160053	0.159885	0.159611	0.158966	0.157321	0.153656	0.146801	0.14632	0.148641	0.146942	0.142099	0.136025	0.132	0.128552	0.124829	0.12087	0.116816	0.105025	0.101579	0.12728	0.124662	0.105694	0.0964948	0.0958742	0.0952538	0.10287	0.102668	0.0930396	0.0918674	0.0943277	0.106948	0.107627	0.107135	0.107133	0.107924	0.108872	0.109943	0.11138	0.113044	0.114767	0.116377	0.117925	0.119436	0.117662	0.101557	0.127895	0.119689	0.10208	0.10208	0.101856	0.12278	0.12218	0.103243	0.102221	0.109694	0.113506	0.115115	0.116984	0.118818	0.120397	0.121564	0.122281	0.122622	0.122729	0.122746	0.122799	0.122512	0.122252	0.122397	
54	0.062	8	task-0:0.53	|	0.35588	0.198728	0.198469	0.177974	0.28319	0.283134	0.163732	0.183048	0.183048	0.166755	0.168518	0.168518	0.160745	0.160785	0.160346	0.159891	0.159654	0.159348	0.159051	0.158815	0.158455	0.158037	0.157511	0.156774	0.155713	0.154144	0.148683	0.130544	0.124559	0.119985	0.133318	0.127539	0.114955	0.113096	0.112349	0.118858	0.115774	0.107243	0.103492	0.100802	0.0983065	0.0967496	0.0989104	0.0938125	0.0852298	0.0803924	0.0777225	0.0734849	0.0680253	0.063066	0.0594415	0.0589747	0.0490063	0.0467355	
54	0.031	8	task-0:0.48	|	0.34449	0.199671	0.19963	0.18883	0.253004	0.252891	0.160608	0.160608	0.177012	0.177002	0.162257	0.161405	0.161405	0.160017	0.15983	0.159525	0.159129	0.1587	0.158336	0.157994	0.157726	0.157384	0.156936	0.15624	0.155213	0.153805	0.152016	0.149914	0.147744	0.146137	0.143965	0.14151	0.139048	0.136002	0.132375	0.1286	0.124055	0.117584	0.116384	0.112923	0.109428	0.105563	0.102859	0.100445	0.0997005	0.100026	0.0977679	0.0951566	0.0933675	0.09192	0.0903577	0.0914046	0.0885194	0.0861527	
54	0.031	8	task-0:0.53	|	0.159663	0.790543	0.788088	0.691136	0.270728	0.159998	0.159616	0.165754	0.163591	0.156075	0.156746	0.153595	0.15516	0.15516	0.152981	0.152606	0.152184	0.15166	0.151088	0.15034	0.149432	0.148346	0.147133	0.147986	0.146378	0.145253	0.144789	0.144052	0.143753	0.142983	0.141737	0.140309	0.138641	0.136996	0.134906	0.131717	0.126067	0.116679	0.108075	0.109631	0.106895	0.0984593	0.0958027	0.0924899	0.0887615	0.0850985	0.0807094	0.090528	0.0799121	0.158713	0.156713	0.0916206	0.082619	0.082619	
55	0.047	8	task-0:0.44	|	0.321246	0.19975	0.199687	0.189326	0.251476	0.251412	0.162277	0.162761	0.16836	0.166089	0.160466	0.16042	0.160916	0.160745	0.160152	0.160363	0.160237	0.15998	0.159924	0.159826	0.159727	0.159623	0.159461	0.159232	0.15887	0.15825	0.157165	0.156684	0.155596	0.154188	0.153717	0.15191	0.150725	0.149087	0.146936	0.144576	0.142012	0.139314	0.136773	0.134562	0.133008	0.134138	0.130815	0.12628	0.122296	0.118634	0.115377	0.112107	0.109156	0.10606	0.102702	0.0991457	0.0955849	0.0917531	0.0879203	
59	0.031	8	task-0:0.47	|	0.19881	0.199574	0.199506	0.192562	0.174453	0.174431	0.172766	0.172766	0.163463	0.177601	0.176396	0.163984	0.163465	0.163331	0.162063	0.162281	0.161621	0.161118	0.16074	0.160459	0.160148	0.159742	0.15942	0.15907	0.158478	0.156984	0.152276	0.148921	0.148307	0.145345	0.143776	0.143566	0.14423	0.14598	0.143738	0.14296	0.138119	0.135784	0.134963	0.129695	0.126915	0.125809	0.126292	0.121542	0.121926	0.122251	0.117943	0.116456	0.114942	0.11281	0.110948	0.109518	0.108606	0.108229	0.107726	0.103444	0.100865	0.0983848	0.096829	
54	0.032	8	task-0:0.47	|	0.256888	0.199804	0.199765	0.193075	0.182758	0.182686	0.169529	0.169529	0.161887	0.161512	0.160409	0.159165	0.15861	0.157838	0.156284	0.146173	0.142366	0.142431	0.138661	0.133691	0.132265	0.127917	0.121206	0.116252	0.11765	0.109911	0.0984929	0.091576	0.0874872	0.0856025	0.0793837	0.0742792	0.0709295	0.0695051	0.0630992	0.050919	0.0468039	0.0402183	0.0353238	0.030259	0.0247469	0.0189368	0.0132545	0.0150029	0.00982939	0.0139033	0.0139025	0.00932218	0.0105171	0.0105034	0.00911561	0.00863184	0.0085012	0.00797609	
54	0.046	8	task-0:0.47	|	0.256676	0.198381	0.197878	0.1829	0.17912	0.177452	0.160059	0.159997	0.161508	0.161497	0.159354	0.160119	0.160005	0.159173	0.159357	0.159317	0.158903	0.158712	0.158515	0.15822	0.157897	0.157458	0.156887	0.156177	0.155281	0.154177	0.152845	0.151313	0.149682	0.148105	0.146338	0.144471	0.142505	0.140514	0.139258	0.138422	0.138006	0.138211	0.137592	0.137592	0.137913	0.138608	0.139806	0.141542	0.143097	0.130508	0.128454	0.141139	0.141261	0.127961	0.133255	0.124026	0.123939	0.129876	
54	0.032	8	task-0:0.47	|	0.516344	0.194326	0.192871	0.17035	0.202159	0.200677	0.164673	0.16479	0.164492	0.160462	0.165729	0.165093	0.160688	0.160173	0.160032	0.159708	0.1596	0.159329	0.159075	0.158787	0.158446	0.15804	0.157551	0.156843	0.155556	0.153224	0.147581	0.129862	0.126209	0.127277	0.124045	0.121576	0.121878	0.120332	0.117286	0.115027	0.113286	0.112133	0.114601	0.105359	0.106571	0.110529	0.124012	0.117243	0.111052	0.108651	0.111849	0.112273	0.108573	0.105808	0.104996	0.104597	0.104316	0.104244	
54	0.046	8	task-0:0.47	|	0.243491	0.195849	0.195096	0.17965	0.165343	0.165307	0.163779	0.163779	0.160059	0.160479	0.159767	0.160427	0.159909	0.159053	0.158923	0.15829	0.156747	0.149973	0.139666	0.13894	0.137667	0.141132	0.138262	0.140735	0.14201	0.142669	0.139508	0.136637	0.134564	0.134666	0.134266	0.133945	0.13395	0.134213	0.134787	0.135672	0.136937	0.13809	0.140248	0.143228	0.146373	0.14908	0.161065	0.155439	0.153823	0.153796	0.151943	0.152775	0.151682	0.150845	0.150789	0.150363	0.14997	0.149606	
54	0.063	8	task-0:0.47	|	0.361351	0.199236	0.1991	0.186668	0.199568	0.196503	0.160535	0.160526	0.164998	0.164976	0.160044	0.160934	0.160831	0.159529	0.160228	0.16018	0.15944	0.159409	0.159344	0.159161	0.159165	0.159062	0.158887	0.158712	0.158569	0.158457	0.158301	0.158108	0.157886	0.157486	0.156881	0.156254	0.155543	0.154593	0.153666	0.152208	0.150264	0.148725	0.147011	0.145619	0.144578	0.144159	0.143105	0.142322	0.141947	0.141457	0.140644	0.13954	0.138252	0.136746	0.134878	0.132646	0.130051	0.127084	
54	0.031	8	task-0:0.47	|	0.315428	0.199404	0.199196	0.185418	0.189364	0.18929	0.160466	0.160466	0.161602	0.161595	0.1583	0.160503	0.160137	0.158302	0.158387	0.15836	0.157829	0.157865	0.157652	0.157359	0.157173	0.156883	0.156506	0.156077	0.155591	0.15504	0.154442	0.153831	0.153236	0.152616	0.152285	0.15153	0.150788	0.150003	0.149042	0.147975	0.146809	0.145653	0.144286	0.142518	0.140341	0.137018	0.131356	0.126583	0.124108	0.120809	0.117289	0.114806	0.113559	0.112207	0.111893	0.112147	0.112035	0.110353	
54	0.031	8	task-0:0.47	|	0.327899	0.199424	0.199159	0.187489	0.196696	0.196613	0.163275	0.163275	0.162661	0.162656	0.160025	0.160011	0.159991	0.159609	0.158195	0.153081	0.152004	0.146785	0.14611	0.146186	0.142986	0.140764	0.139116	0.138109	0.138332	0.141649	0.141159	0.141037	0.143998	0.144017	0.1435	0.143357	0.142386	0.14125	0.14002	0.137163	0.133243	0.129305	0.125561	0.121925	0.118484	0.116242	0.113276	0.110806	0.10844	0.1063	0.104786	0.103558	0.103451	0.104679	0.104489	0.106943	0.103067	0.1048	
54	0.047	8	task-0:0.47	|	0.261176	0.199745	0.199704	0.190491	0.207553	0.205978	0.161821	0.1618	0.166587	0.166583	0.160663	0.16185	0.16153	0.159948	0.160487	0.160299	0.15942	0.159173	0.158883	0.1586	0.1583	0.157831	0.157259	0.156559	0.155711	0.154903	0.153835	0.152776	0.151793	0.151078	0.15034	0.149696	0.148895	0.147849	0.146458	0.144806	0.142945	0.14075	0.138171	0.135907	0.133586	0.130604	0.128065	0.125668	0.123106	0.119706	0.11074	0.101238	0.103712	0.0890432	0.0884739	0.0998896	0.102793	0.100921	
55	0.031	8	task-0:0.47	|	0.397314	0.19542	0.194675	0.168313	0.231676	0.229795	0.168958	0.1669	0.166863	0.16113	0.169812	0.16876	0.161811	0.161564	0.161564	0.160774	0.16073	0.160499	0.160408	0.160261	0.160312	0.160215	0.159943	0.159676	0.159362	0.1589	0.158227	0.15724	0.15592	0.154164	0.151936	0.149289	0.146606	0.143881	0.14163	0.139073	0.136507	0.135337	0.134104	0.13396	0.134212	0.13531	0.135599	0.135893	0.111237	0.113305	0.111456	0.137615	0.136075	0.134809	0.10906	0.107595	0.108175	0.137165	0.135681	
55	0.047	8	task-0:0.47	|	0.159926	0.199822	0.199331	0.171177	0.171785	0.171498	0.14915	0.153499	0.146473	0.146378	0.145655	0.143138	0.14385	0.142425	0.140231	0.138323	0.136233	0.133339	0.129378	0.124159	0.121772	0.117455	0.11272	0.107466	0.105944	0.0996986	0.0965984	0.0922894	0.0871104	0.0821348	0.0754176	0.0670749	0.0577118	0.0585285	0.0486724	0.0429441	0.0419649	0.0378828	0.0349123	0.0329606	0.0306424	0.0287137	0.0275236	0.026406	0.0249217	0.0233543	0.0224586	0.0217155	0.0231206	0.0197788	0.0178264	0.0169667	0.0168935	0.0168947	0.0165893	
56	0.031	8	task-0:0.5	|	0.164046	0.19997	0.199966	0.198098	0.159453	0.324302	0.237546	0.159909	0.159566	0.171077	0.171069	0.159014	0.160693	0.160682	0.158105	0.159404	0.159274	0.157849	0.158011	0.157911	0.157402	0.157201	0.156892	0.156502	0.156098	0.155506	0.154699	0.153653	0.15233	0.150771	0.149361	0.147498	0.145542	0.14475	0.143374	0.142756	0.142105	0.14152	0.140829	0.14	0.138979	0.137761	0.134183	0.131469	0.127884	0.123286	0.118685	0.115797	0.111353	0.106797	0.103657	0.0987523	0.0937539	0.0881502	0.0827955	0.0770901	
