53	0.052	8	task-0:0.035	|	0.208595	0.199918	0.199905	0.192191	0.235346	0.235341	0.162397	0.162397	0.170933	0.170933	0.160835	0.163628	0.163628	0.160713	0.161333	0.161333	0.160341	0.160779	0.16072	0.160288	0.160344	0.160333	0.160161	0.160101	0.160038	0.159988	0.15994	0.159869	0.159795	0.159719	0.15965	0.159594	0.159544	0.15946	0.159306	0.159077	0.158724	0.158193	0.157435	0.156438	0.155194	0.153593	0.149794	0.148143	0.141865	0.139353	0.140367	0.137794	0.134115	0.132464	0.131588	0.130066	0.128136	
53	0.05	8	task-0:0.035	|	0.239113	0.199744	0.19969	0.192044	0.170642	0.170572	0.16907	0.16907	0.159785	0.176165	0.176155	0.163316	0.159896	0.159873	0.160219	0.160217	0.159709	0.159921	0.159898	0.159678	0.159703	0.15969	0.159603	0.159579	0.159536	0.159482	0.159427	0.15935	0.15925	0.159122	0.15895	0.158715	0.15839	0.15795	0.157338	0.156494	0.155371	0.154218	0.153002	0.151817	0.150592	0.149925	0.149292	0.148977	0.148763	0.148308	0.147821	0.147259	0.146702	0.146456	0.145552	0.144992	0.144682	
53	0.047	8	task-0:0.035	|	0.18705	0.199188	0.198959	0.191575	0.160518	0.292088	0.241678	0.188326	0.164799	0.160576	0.160574	0.16012	0.160099	0.159762	0.15973	0.159596	0.15949	0.159328	0.15911	0.158812	0.158452	0.158029	0.157582	0.157105	0.156507	0.155718	0.155425	0.155019	0.154551	0.153964	0.153647	0.153647	0.153565	0.152983	0.151773	0.14959	0.150558	0.148165	0.146902	0.145512	0.146377	0.145552	0.144775	0.144685	0.144297	0.144208	0.143794	0.143277	0.142768	0.142101	0.141353	0.141038	0.140507	
53	0.053	8	task-0:0.035	|	0.289424	0.199575	0.199463	0.189917	0.20609	0.205936	0.165436	0.165436	0.165277	0.16527	0.161921	0.161785	0.161305	0.160659	0.159509	0.158892	0.158221	0.156358	0.153258	0.152631	0.153027	0.153806	0.152993	0.152898	0.153026	0.153392	0.154122	0.153445	0.153452	0.153762	0.153134	0.152779	0.152654	0.152727	0.153081	0.153034	0.152748	0.152992	0.153128	0.153722	0.154422	0.155663	0.15522	0.155996	0.155652	0.154782	0.154262	0.153846	0.153345	0.15241	0.15103	0.149296	0.147289	
53	0.046	8	task-0:0.035	|	0.294057	0.198184	0.197207	0.179976	0.17098	0.170548	0.161522	0.161512	0.160638	0.16063	0.159987	0.159975	0.159973	0.159954	0.159808	0.159756	0.159677	0.159624	0.15958	0.159511	0.159425	0.159326	0.159219	0.159089	0.158986	0.158699	0.158226	0.157535	0.156609	0.155482	0.154194	0.153645	0.153099	0.152716	0.152282	0.151727	0.151475	0.151377	0.150361	0.149457	0.14835	0.14705	0.144698	0.140987	0.136155	0.130103	0.122715	0.111833	0.138998	0.117966	0.106584	0.106584	0.100104	
52	0.051	8	task-0:0.035	|	0.353352	0.196779	0.196291	0.175091	0.201166	0.198047	0.161046	0.171447	0.171133	0.162071	0.162817	0.162816	0.160066	0.161228	0.160713	0.15989	0.160422	0.160178	0.159721	0.159918	0.159838	0.159546	0.159453	0.159347	0.159195	0.158991	0.158732	0.158379	0.157919	0.157308	0.15658	0.156048	0.155645	0.155337	0.155066	0.154843	0.154684	0.154607	0.154534	0.154614	0.154908	0.155547	0.156605	0.158613	0.15801	0.15721	0.156847	0.157415	0.158134	0.157465	0.156608	0.156201	
53	0.052	8	task-0:0.035	|	0.250424	0.199514	0.199339	0.185635	0.213705	0.213657	0.160489	0.160489	0.169573	0.169565	0.161077	0.161108	0.161108	0.159919	0.160615	0.160304	0.159807	0.160199	0.160138	0.159794	0.15977	0.159759	0.159648	0.159584	0.159521	0.159465	0.159405	0.159328	0.15924	0.159129	0.159063	0.159034	0.158971	0.158924	0.158814	0.158712	0.158604	0.158459	0.158295	0.158119	0.157897	0.157666	0.157499	0.157404	0.157233	0.157047	0.156901	0.156579	0.15603	0.155377	0.154614	0.153825	0.153091	
52	0.051	8	task-0:0.035	|	0.39539	0.197274	0.196728	0.173304	0.228963	0.228866	0.164357	0.177848	0.177848	0.164957	0.167423	0.167423	0.161835	0.164168	0.163402	0.161328	0.162165	0.161988	0.161064	0.161302	0.161228	0.160906	0.160958	0.160895	0.160683	0.160531	0.160401	0.160249	0.160086	0.159916	0.159757	0.159611	0.159497	0.159404	0.159311	0.15906	0.158313	0.157834	0.157585	0.156728	0.15594	0.15511	0.154381	0.153802	0.153256	0.152822	0.152226	0.15169	0.151312	0.150435	0.149467	0.148214	
52	0.051	8	task-0:0.035	|	0.439041	0.193692	0.190954	0.166882	0.214232	0.213932	0.163887	0.170189	0.170189	0.161833	0.166482	0.166481	0.161119	0.162154	0.162014	0.160681	0.161353	0.161316	0.160623	0.160678	0.160647	0.160495	0.16058	0.160544	0.160407	0.160324	0.160262	0.160203	0.160131	0.160042	0.159952	0.159864	0.159787	0.159713	0.159606	0.159422	0.159083	0.158817	0.15816	0.156957	0.15591	0.155228	0.154595	0.15418	0.154141	0.154268	0.154395	0.153877	0.153498	0.152978	0.152144	0.150821	
53	0.053	8	task-0:0.035	|	0.194091	0.199928	0.199917	0.195284	0.172129	0.172036	0.172936	0.172936	0.160106	0.179301	0.179296	0.162673	0.160874	0.160874	0.159706	0.159695	0.159633	0.159545	0.159446	0.159401	0.159277	0.159156	0.159009	0.158822	0.158587	0.158295	0.157936	0.157493	0.156996	0.156471	0.155956	0.155492	0.154927	0.154262	0.153482	0.152503	0.151399	0.150226	0.149003	0.148051	0.146826	0.145651	0.144432	0.142913	0.141343	0.138793	0.135634	0.132363	0.12919	0.125091	0.121496	0.118951	0.11538	
53	0.049	8	task-0:0.035	|	0.173626	0.199714	0.19962	0.190004	0.182328	0.181922	0.164054	0.16403	0.160617	0.160617	0.160163	0.160162	0.159714	0.159707	0.159675	0.159632	0.15963	0.159627	0.159594	0.159573	0.159561	0.159534	0.159506	0.159479	0.159441	0.159392	0.159326	0.159241	0.159128	0.158981	0.158792	0.158549	0.158245	0.157881	0.157465	0.157023	0.156554	0.156022	0.155368	0.154723	0.154006	0.152991	0.151676	0.150333	0.148852	0.147318	0.145857	0.144422	0.142971	0.141577	0.139371	0.137638	0.134253	
