2	0.007	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.11994	6.69662e-012	

2	0.006	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.162845	0	

1	0.003	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0127288	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.95	task-2:0.194	|	0.170722	0	

2	0.006	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.135787	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.157865	0	

1	0.004	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00159867	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.205551	0	

1	0.004	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0270022	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.133143	8.19033e-013	

2	0.007	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.216285	2.49149e-007	

2	0.007	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.122701	0	

1	0.003	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00131783	

2	0.007	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0588758	0	

2	0.007	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0694415	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.115494	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.108685	0	

1	0.004	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.000398482	

1	0.003	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.000651137	

1	0.004	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.000353339	

1	0.003	32	0	task-3:0.226	task-0:0.034	task-1:0.95	task-2:0.194	|	0.0141895	

1	0.004	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0250866	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0749879	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.140884	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.156404	1.99713e-012	

2	0.006	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.167494	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.208545	9.29919e-013	

2	0.007	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.105174	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.150081	0	

1	0.004	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00807001	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0944846	0	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.123092	0	

2	0.006	32	0	task-3:0.774	task-0:0.034	task-1:0.95	task-2:0.194	|	0.147791	5.91213e-014	

1	0.003	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0137624	

1	0.003	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.00168169	

1	0.004	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	2.57077e-005	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.128819	0	

1	0.003	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00746534	

2	0.006	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.201399	8.2634e-012	

2	0.007	32	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.185158	2.94817e-014	

2	0.006	32	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.177281	5.60503e-013	

