2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.116946	1.38442e-012	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.00127032	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.183885	1.11268e-012	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00782847	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0433742	0	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0890795	0	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.1677	0	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00439614	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.142358	1.14982e-013	

2	0.006	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.169989	0	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.948	task-2:0.188	|	0.190936	6.67015e-015	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00150389	

1	0.004	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.812	|	0.000342572	

2	0.007	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0442193	0	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.202587	3.04565e-013	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.948	task-2:0.188	|	0.123089	0	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.194278	5.97952e-013	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.00570369	

1	0.003	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.812	|	0.00312214	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.146896	1.14408e-012	

1	0.004	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00106545	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00648067	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0434295	3.15962e-014	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0132228	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0610914	0	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00502196	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0292723	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0413329	0	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.113042	0	

