3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0230847	0.0136645	0.0029074	0.0012598	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0495357	0.0233168	0.00263433	0.0013037	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.110619	0.0600828	0.00224984	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0860027	0.0427704	0.00231622	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.113306	0.0644724	0.00245409	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0348283	0.0179219	0.00280452	0.00129457	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.027221	0.0152763	0.00258629	0.00112573	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.043344	0.0212756	0.00216003	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0164526	0.0103714	0.00265539	0.00105277	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0306929	0.0176537	0.0032566	0.00143477	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0364157	0.0202391	0.00330783	0.00150849	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0835704	0.0425523	0.00296649	0.0016182	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0763058	0.0366964	0.00263932	0.00154538	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0901119	0.0449186	0.00251648	0.00147383	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0935347	0.0468734	0.00271891	0.00162323	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0361132	0.019153	0.00298401	0.00136798	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0464327	0.0247724	0.0039378	0.00190637	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0185677	0.0112837	0.00254789	0.00104541	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0870421	0.0426159	0.00179378	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.062824	0.0320578	0.00289482	0.00147813	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.11397	0.0652834	0.00253607	0.00133462	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0196729	0.0123749	0.00306744	0.00119946	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0811134	0.0385848	0.00177613	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0346958	0.0183701	0.00269105	0.00121093	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0502459	0.0255849	0.00332441	0.00163038	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.126522	0.0772766	0.00508216	0.00221954	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0063469	0.00503504	0.00257942	0.000825258	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0476098	0.022712	0.00257253	0.00124446	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0552484	0.025926	0.00271882	0.00139034	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0290957	0.0157318	0.00257194	0.00117484	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.155193	0.115048	0.0104367	0.00190018	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0389965	0.0193074	0.00261511	0.00120909	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0792825	0.0392457	0.00275361	0.00155265	

