3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.025151	0.0157885	0.00401698	0.00166452	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0384647	0.0215007	0.00354414	0.00161547	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0549673	0.0290666	0.00352838	0.00173844	

4	0.002	0	0	task-3:0.152	task-0:0.034	task-1:0.052	task-2:0.196	|	0.111847	0.0654638	0.00554172	0.00272311	0.000889646	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0952561	0.0516248	0.00360403	0.00194343	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0364482	0.0194968	0.00276409	0.0013205	

3	0.001	0	0	task-3:0.178	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0202229	0.0132096	0.00372552	0.00143823	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0489709	0.0282585	0.00507449	0.0021951	

4	0.001	0	0	task-3:0.174	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0559859	0.0328062	0.00630524	0.0026206	0.000888134	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.102024	0.0575598	0.00483239	0.00248237	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0231077	0.0139274	0.00306413	0.00130361	

4	0.002	0	0	task-3:0.15	task-0:0.034	task-1:0.052	task-2:0.188	|	0.133398	0.0899472	0.00766697	0.00269852	0.00102424	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0480567	0.025126	0.0031953	0.00157593	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0201195	0.0128465	0.00337492	0.00133186	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0240667	0.0154768	0.00425082	0.0017201	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0785844	0.0406575	0.00259687	0.00143601	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0996956	0.055725	0.00417076	0.00213677	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0736004	0.0379293	0.00232435	

3	0.001	0	0	task-3:0.178	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0336235	0.0188408	0.00322396	0.00146773	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0353784	0.0208772	0.00438568	0.00190778	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.13499	0.0959743	0.00884213	0.00205284	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0359948	0.0198009	0.00317599	0.00147146	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.110369	0.064746	0.00499627	0.0024098	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0218102	0.0157494	0.00597448	0.00201544	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0839595	0.043636	0.00269035	0.00151327	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0920381	0.0490796	0.00358477	0.00196732	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.087438	0.0475449	0.00439994	0.00230133	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0690948	0.0353184	0.00290679	0.00157326	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0579891	0.0307436	0.00399777	0.00197647	

3	0.001	0	0	task-3:0.2	task-0:0.034	task-1:0.052	task-2:0.188	|	0.091371	0.0498703	0.00449884	0.00230923	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0237866	0.0140749	0.00286642	0.00123314	

4	0.002	0	0	task-3:0.138	task-0:0.034	task-1:0.052	task-2:0.188	|	0.126854	0.0814623	0.00626451	0.00262483	0.000931909	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0255897	0.0163341	0.0043742	0.00177991	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0308438	0.017323	0.00281231	0.00128414	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0668897	0.0341413	0.00330617	0.00177117	

