1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0162557	

2	0.003	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0727467	4.11256e-011	

1	0.002	16	0	task-3:0.774	task-0:0.034	task-1:0.95	task-2:0.194	|	0.0280186	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.130102	7.61892e-009	

2	0.003	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0513255	1.63694e-010	

1	0.002	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00220394	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00696581	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0753368	8.88725e-007	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0292429	

1	0.001	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.000236367	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.00412209	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.119541	1.41295e-009	

2	0.004	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.078902	1.42131e-008	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.150162	5.60963e-007	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.048055	5.86012e-009	

1	0.001	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0101032	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.157654	5.0573e-009	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.078317	4.28456e-006	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.150619	8.56439e-008	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.206087	5.10621e-005	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0668947	1.78815e-009	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.083459	5.16064e-008	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0186202	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0685957	2.52381e-010	

1	0.001	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0336383	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.000243856	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.178894	5.43326e-005	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00119134	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.141886	1.61808e-007	

1	0.001	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0130842	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0200239	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0044497	

