1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0160835	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.160303	7.76905e-006	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0223436	

2	0.005	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.12575	6.01192e-008	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.149399	1.57932e-007	

2	0.005	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.204419	1.17603e-005	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0910979	5.2124e-009	

1	0.002	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00335771	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0890773	4.05436e-008	

2	0.005	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0661915	1.78258e-010	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0283195	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.948	task-2:0.188	|	0.0107542	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.066361	1.18514e-005	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0391829	

2	0.005	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.13602	9.64143e-007	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0525758	6.20162e-010	

1	0.002	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.031085	

1	0.002	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0054017	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.105186	2.97742e-008	

