2	0	4	0	task-0:0.034	|	0.135025	0.00124839	

2	0	4	0	task-0:0.034	|	0.218224	0.00013447	

2	0	4	0	task-0:0.034	|	0.162832	0.00046091	

1	0	4	0	task-0:0.034	|	0.0317248	

2	0	4	0	task-0:0.034	|	0.103599	2.27678e-005	

2	0	4	0	task-0:0.034	|	0.32358	0.00160442	

2	0.001	4	0	task-0:0.034	|	0.075356	7.54088e-005	

2	0	4	0	task-0:0.034	|	0.405803	0.013725	

2	0	4	0	task-0:0.034	|	0.269024	0.00110327	

2	0	4	0	task-0:0.034	|	0.199359	0.0010892	

1	0	4	0	task-0:0.034	|	0.0395805	

2	0	4	0	task-0:0.034	|	0.307104	0.00247849	

2	0	4	0	task-0:0.034	|	0.173224	0.000198881	

2	0	4	0	task-0:0.034	|	0.0466965	1.47523e-005	

2	0	4	0	task-0:0.034	|	0.282049	0.000569185	

2	0.001	4	0	task-0:0.034	|	0.200789	0.00056786	

3	0	4	0	task-0:0.034	|	0.769688	0.141957	0.00883845	

2	0	4	0	task-0:0.034	|	0.296845	0.000243426	

2	0	4	0	task-0:0.034	|	0.404239	0.0214407	

2	0.001	4	0	task-0:0.034	|	0.0632862	2.19551e-005	

2	0	4	0	task-0:0.034	|	0.302385	0.00204208	

2	0	4	0	task-0:0.034	|	0.380018	0.0014386	

2	0	4	0	task-0:0.034	|	0.395833	0.00101569	

2	0.001	4	0	task-0:0.034	|	0.47578	0.00222468	

2	0	4	0	task-0:0.034	|	0.399061	0.000360048	

2	0	4	0	task-0:0.034	|	0.305302	0.00157714	

2	0	4	0	task-0:0.034	|	0.18981	0.000143688	

2	0	4	0	task-0:0.034	|	0.266195	0.000152952	

2	0	4	0	task-0:0.034	|	0.339979	0.000105176	

2	0	4	0	task-0:0.034	|	0.251516	0.000363407	

2	0	4	0	task-0:0.034	|	0.0984829	8.5956e-005	

1	0	4	0	task-0:0.034	|	0.0388378	

2	0	4	0	task-0:0.034	|	0.503868	0.00248988	

2	0	4	0	task-0:0.034	|	0.391392	0.00326364	

2	0	4	0	task-0:0.034	|	0.295804	0.000775978	

2	0	4	0	task-0:0.034	|	0.171978	0.000136898	

2	0	4	0	task-0:0.034	|	0.168059	0.000340821	

2	0	4	0	task-0:0.034	|	0.362784	0.000722544	

2	0	4	0	task-0:0.034	|	0.522037	0.00562938	

2	0	4	0	task-0:0.034	|	0.594076	0.0204783	

2	0	4	0	task-0:0.034	|	0.391459	0.000632294	

2	0	4	0	task-0:0.034	|	0.637768	0.0156037	

2	0	4	0	task-0:0.034	|	0.234127	0.00092592	

2	0	4	0	task-0:0.034	|	0.459366	0.00322297	

2	0	4	0	task-0:0.034	|	0.0849945	3.1993e-005	

2	0	4	0	task-0:0.034	|	0.547818	0.00362861	

2	0	4	0	task-0:0.034	|	0.390145	0.0358855	

2	0	4	0	task-0:0.034	|	0.121374	6.76551e-005	

2	0	4	0	task-0:0.034	|	0.150238	0.000435574	

2	0	4	0	task-0:0.034	|	0.48736	0.0159041	

2	0	4	0	task-0:0.034	|	0.428198	0.021791	

2	0	4	0	task-0:0.034	|	0.260266	0.00186045	

2	0	4	0	task-0:0.034	|	0.406303	0.00153171	

2	0	4	0	task-0:0.034	|	0.278509	0.00256244	

3	0	4	0	task-0:0.034	|	0.799446	0.165636	0.00911009	

2	0	4	0	task-0:0.034	|	0.597253	0.00621812	

2	0	4	0	task-0:0.034	|	0.149026	3.74103e-005	

2	0	4	0	task-0:0.034	|	0.335166	0.00129182	

2	0	4	0	task-0:0.034	|	0.173611	8.1658e-005	

2	0	4	0	task-0:0.034	|	0.0996548	2.7993e-005	

