3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.12637	0.0762869	0.00414179	0.00197728	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0464338	0.0236691	0.00300007	0.00142386	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.065698	0.0332638	0.00302067	0.00154347	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0139399	0.00948357	0.00303548	0.00107765	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.056559	0.0273307	0.00266522	0.00135365	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0452151	0.0223703	0.00276224	0.00131254	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.119295	0.0692177	0.00324504	0.00166044	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0103867	0.00755628	0.00297446	0.000987504	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.132574	0.0861012	0.00479387	0.00185202	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.142927	0.0992867	0.00701906	0.00199293	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.117082	0.0670213	0.00324489	0.00167789	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.136055	0.0894045	0.00610846	0.00227475	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0974829	0.0511286	0.00249916	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0861726	0.0441015	0.00280852	0.00152301	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0744054	0.03791	0.00275298	0.00142832	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0330552	0.0185039	0.00316015	0.00139698	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0117179	0.00856713	0.0034153	0.00114078	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.144422	0.0997519	0.00708506	0.00216634	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0273613	0.0159484	0.00296343	0.00124818	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0152321	0.0100567	0.00294898	0.00108838	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0653953	0.0315749	0.00244751	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.135544	0.088195	0.00560166	0.00219006	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0822471	0.0414876	0.00281149	0.00154867	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0124432	0.00868343	0.00301544	0.00104659	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0146305	0.00998673	0.00323483	0.00115913	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0179404	0.0115959	0.0031732	0.00120979	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0368805	0.0188934	0.00245028	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0220616	0.0129226	0.00253693	0.00106095	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.117161	0.0679444	0.00396661	0.00196947	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0343428	0.0177687	0.00246335	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0332526	0.0180067	0.0028128	0.00126016	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0624753	0.0297252	0.00173753	

