3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.127276	0.0750872	0.00315582	0.00157425	

3	0.001	0	0	task-3:0.188	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0179487	0.0111577	0.00266901	0.00102505	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0537224	0.0248338	0.00236872	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.073453	0.0345751	0.0018642	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00628824	0.00494712	0.00244691	

2	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.188	|	0.109297	0.0575635	0.00215928	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.111754	0.0597287	0.00222417	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.131039	0.080589	0.00391974	0.00174482	

2	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0454897	0.0227861	0.00239095	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0759764	0.0356879	0.00150079	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.126106	0.076096	0.00381516	0.00173535	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0649207	0.0304164	0.002004	

2	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0815008	0.0391098	0.00186025	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0876841	0.0454297	0.00254385	0.0013324	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0200923	0.0123673	0.00275496	0.00105072	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0766122	0.0360576	0.00162272	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0539986	0.0257484	0.00243817	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0680474	0.0321396	0.00190206	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0982511	0.0536374	0.00294778	0.00144711	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.108819	0.059751	0.00270129	0.0014126	

2	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0854913	0.041441	0.00167092	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0916794	0.0445758	0.00180777	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.100051	0.05155	0.00208348	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0530874	0.0261854	0.00267136	0.00128311	

3	0.001	0	0	task-3:0.204	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0393915	0.0213966	0.0027369	0.00120334	

3	0.001	0	0	task-3:0.176	task-0:0.034	task-1:0.052	task-2:0.188	|	0.020095	0.0121046	0.00260958	0.00103964	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0520713	0.0241834	0.00206678	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0284904	0.0156544	0.00255236	0.00110446	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00780869	0.00590236	0.0025897	0.000797879	

3	0.002	0	0	task-3:0.184	task-0:0.034	task-1:0.052	task-2:0.188	|	0.16786	0.133407	0.0180194	0.000782923	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0960688	0.0505721	0.00240535	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0463318	0.0219995	0.00237628	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.112057	0.0609983	0.00209041	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.111443	0.061201	0.0026101	0.00138819	

3	0.001	0	0	task-3:0.206	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0175947	0.0111605	0.00283737	0.00106508	

3	0.001	0	0	task-3:0.192	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0309144	0.0172003	0.00256657	0.00109425	

2	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0877941	0.043237	0.00193486	

3	0.001	0	0	task-3:0.19	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0418663	0.0221989	0.00251685	0.00114116	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0505442	0.0240256	0.00253489	0.0012142	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0472632	0.0229649	0.00263235	0.00123062	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0941454	0.047326	0.00190225	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314666	0.0166573	0.00238412	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0591358	0.0289517	0.00231113	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0178476	0.0112877	0.00281358	0.00105279	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0181153	0.0114281	0.00283984	0.00106999	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.048058	0.0230057	0.00236638	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0522408	0.0265239	0.00237797	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.141088	0.0920882	0.00485938	0.00190425	

3	0.001	0	0	task-3:0.15	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0140121	0.00946639	0.00289511	0.000994109	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0436685	0.0213372	0.00265774	0.00121987	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0965761	0.0487281	0.00165188	

2	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0672639	0.0321121	0.00213661	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0112554	0.00785895	0.00271338	0.000909755	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0202273	0.0122356	0.00265388	0.00105022	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.15695	0.115633	0.0102099	0.00185641	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0610582	0.0290139	0.00194256	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.06253	0.0288274	0.00164013	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.049811	0.0235909	0.00255888	0.00121724	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0829606	0.0414516	0.00221554	

3	0.001	0	0	task-3:0.182	task-0:0.034	task-1:0.052	task-2:0.188	|	0.146383	0.10038	0.00643499	0.00199079	

