3	0.001	0	0	task-0:0.034	|	0.177896	0.00483267	0.00250689	0.000632762	

3	0	0	0	task-0:0.034	|	0.167388	0.00537118	0.00268438	0.000696112	

3	0	0	0	task-0:0.034	|	0.0576857	0.0112512	0.00318406	0.0010446	

3	0	0	0	task-0:0.034	|	0.41562	0.00576288	0.00310349	0.000788463	

3	0	0	0	task-0:0.034	|	0.261035	0.00573047	0.00300058	0.000761667	

3	0	0	0	task-0:0.034	|	0.119128	0.00786668	0.00323698	0.00090659	

2	0	0	0	task-0:0.034	|	0.219502	0.00437373	0.0024574	

3	0	0	0	task-0:0.034	|	0.0980524	0.00869132	0.00321965	0.000935676	

3	0	0	0	task-0:0.034	|	0.223457	0.00526484	0.00285422	0.000723494	

3	0.001	0	0	task-0:0.034	|	0.280562	0.00470638	0.00267489	0.000705083	

3	0	0	0	task-0:0.034	|	0.0763815	0.0108593	0.00341198	0.00106846	

3	0	0	0	task-0:0.034	|	0.233585	0.0058735	0.00311527	0.00080187	

3	0.001	0	0	task-0:0.034	|	0.0730473	0.0107326	0.00337684	0.00106307	

3	0	0	0	task-0:0.034	|	0.645208	0.0212224	0.00355514	0.00138804	

3	0	0	0	task-0:0.034	|	0.151203	0.00645302	0.0030097	0.00080906	

3	0	0	0	task-0:0.034	|	0.265559	0.0050419	0.00282506	0.000722193	

3	0	0	0	task-0:0.034	|	0.14609	0.00557721	0.00266296	0.000696962	

3	0	0	0	task-0:0.034	|	0.228638	0.00613996	0.00313471	0.000807811	

3	0	0	0	task-0:0.034	|	0.141467	0.0071426	0.0032074	0.0008729	

3	0	0	0	task-0:0.034	|	0.259016	0.00447389	0.00254587	0.000670409	

3	0	0	0	task-0:0.034	|	0.0940885	0.0117833	0.00380712	0.00118357	

3	0	0	0	task-0:0.034	|	0.14574	0.00604542	0.00285832	0.000756697	

2	0	0	0	task-0:0.034	|	0.402508	0.00410413	0.00238155	

2	0	0	0	task-0:0.034	|	0.380425	0.00385433	0.00228209	

3	0	0	0	task-0:0.034	|	0.156517	0.00588538	0.00283335	0.000740575	

3	0	0	0	task-0:0.034	|	0.0597922	0.0115075	0.00323952	0.00106195	

2	0	0	0	task-0:0.034	|	0.224254	0.00436322	0.00246394	

3	0	0	0	task-0:0.034	|	0.317646	0.00561658	0.0030775	0.000778468	

3	0	0	0	task-0:0.034	|	0.595758	0.012923	0.00355518	0.00115419	

3	0	0	0	task-0:0.034	|	0.179516	0.00485131	0.00253985	0.00064203	

3	0	0	0	task-0:0.034	|	0.349284	0.00629245	0.00334382	0.000859069	

3	0	0	0	task-0:0.034	|	0.151848	0.00747187	0.00336637	0.000917747	

3	0	0	0	task-0:0.034	|	0.207791	0.0056685	0.00295177	0.00075577	

2	0	0	0	task-0:0.034	|	0.685857	0.0325645	0.00228493	

3	0	0	0	task-0:0.034	|	0.185778	0.00513235	0.00264907	0.000680334	

3	0.001	0	0	task-0:0.034	|	0.387277	0.00482622	0.00275698	0.000731149	

3	0	0	0	task-0:0.034	|	0.392504	0.0044766	0.00259988	0.000716795	

3	0	0	0	task-0:0.034	|	0.184461	0.00499163	0.00262876	0.000667304	

2	0.001	0	0	task-0:0.034	|	0.340348	0.00392306	0.00235611	

2	0	0	0	task-0:0.034	|	0.200958	0.00457433	0.00249712	

3	0	0	0	task-0:0.034	|	0.406865	0.00545739	0.00301886	0.000766037	

3	0	0	0	task-0:0.034	|	0.470604	0.00719499	0.00349911	0.000922803	

3	0	0	0	task-0:0.034	|	0.0840806	0.010393	0.00340523	0.00104324	

3	0	0	0	task-0:0.034	|	0.417301	0.00466852	0.00265417	0.000697829	

3	0.001	0	0	task-0:0.034	|	0.119994	0.0110807	0.00398241	0.00119067	

3	0	0	0	task-0:0.034	|	0.185773	0.00562511	0.00287567	0.000747179	

3	0	0	0	task-0:0.034	|	0.657288	0.0236555	0.00310773	0.00132319	

3	0	0	0	task-0:0.034	|	0.379092	0.00440976	0.00255664	0.000703876	

3	0	0	0	task-0:0.034	|	0.357964	0.00443274	0.00260052	0.000732323	

2	0	0	0	task-0:0.034	|	0.283832	0.00367187	0.00215344	

2	0	0	0	task-0:0.034	|	0.332941	0.00374498	0.00222978	

3	0	0	0	task-0:0.034	|	0.103902	0.00730109	0.00289641	0.000817705	

2	0	0	0	task-0:0.034	|	0.355187	0.00407616	0.00240881	

3	0	0	0	task-0:0.034	|	0.460881	0.00556793	0.00292822	0.000745371	

3	0	0	0	task-0:0.034	|	0.217738	0.00542653	0.00287654	0.000730242	

3	0	0	0	task-0:0.034	|	0.0349626	0.0115277	0.00276152	0.000983445	

3	0	0	0	task-0:0.034	|	0.291792	0.00497154	0.00282247	0.000738448	

3	0	0	0	task-0:0.034	|	0.175711	0.00524975	0.00265465	0.000685637	

3	0	0	0	task-0:0.034	|	0.340762	0.00637957	0.00335012	0.000861669	

3	0	0	0	task-0:0.034	|	0.216758	0.00718216	0.00350601	0.000929697	

