3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.042252	0.0253411	0.0043608	0.00168869	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0527243	0.0304153	0.00423006	0.00175948	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0745585	0.043396	0.00471801	0.00197724	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.130364	0.0900307	0.00970314	0.00244376	

3	0.003	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0898023	0.0527406	0.00478428	0.00202602	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0303771	0.0188118	0.00402998	0.00153903	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0210027	0.0142258	0.00432644	0.00150235	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.127975	0.0883007	0.0101576	0.00250226	0.000989583	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0768368	0.044311	0.00481544	0.00206477	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.104323	0.0638708	0.00550426	0.00217202	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.111995	0.071801	0.00740192	0.00252657	0.000894831	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0128218	0.0095555	0.00396707	0.00123923	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0251066	0.0161855	0.00413764	0.00151655	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0300494	0.0186612	0.00396807	0.00149556	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0589254	0.0326165	0.00368793	0.00166379	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0601181	0.0330117	0.00342595	0.00156823	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0577527	0.0317951	0.00354214	0.00161101	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0272662	0.0174308	0.00429775	0.00159304	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.118748	0.0778442	0.00776607	0.00248285	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.055836	0.0318483	0.00431117	0.00185439	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00948449	0.00736305	0.00348342	0.00105389	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0104445	0.00799616	0.0036234	0.00110949	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0812207	0.0455975	0.00387266	0.00177475	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0251788	0.0161315	0.00401205	0.00147079	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0573618	0.0323925	0.00394276	0.00170479	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.100244	0.0609451	0.00566784	0.00220309	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0866721	0.0495677	0.00405735	0.00181438	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0715277	0.0394434	0.00367311	0.00170358	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0104226	0.00802599	0.00369983	0.00112864	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0527589	0.029774	0.00387257	0.001693	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0232206	0.0153275	0.00426299	0.00152463	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0497478	0.0279979	0.00353783	0.00152778	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0343086	0.0206543	0.00394166	0.00155322	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0818937	0.0488107	0.00544019	0.00210477	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0274742	0.0175086	0.00413198	0.00148984	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0706838	0.0391735	0.00386098	0.0017757	

