3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0310561	0.0176653	0.00293276	0.00127606	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0920408	0.0486598	0.00304812	0.00164491	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.194	|	0.130694	0.0843888	0.00587916	0.00216053	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0927281	0.0486909	0.00269168	0.00145916	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0589005	0.0297668	0.00278528	0.00144499	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.035131	0.0193421	0.00295108	0.00134055	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.102046	0.0548831	0.00260351	0.00140981	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.078913	0.0410982	0.00289995	0.00153671	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0255702	0.0152425	0.00300266	0.0012208	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0975105	0.0521914	0.00312048	0.00168398	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.042145	0.0215596	0.00266094	0.00124644	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0727934	0.0365563	0.00259618	0.00141796	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0399004	0.0208618	0.00270431	0.0012611	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0975931	0.0513494	0.0025092	0.00139221	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0428346	0.0221213	0.00237984	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0214732	0.0135553	0.00335947	0.0013082	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.022983	0.0136315	0.00274441	0.00112315	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.13973	0.0942036	0.00662623	0.00218789	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.135515	0.0886317	0.00572077	0.00214246	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0677655	0.0340922	0.00281944	0.00152989	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00999384	0.00746433	0.0031794	0.00104479	

