2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.040607	0.00266345	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0343193	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.103203	0.00593659	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0381486	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0285761	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.02324	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0192878	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0204776	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0596585	0.00339061	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0399947	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0680779	0.00132259	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00910874	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0470768	0.007806	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.116232	0.00106615	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.101707	0.00261575	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0874664	0.00184271	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.024491	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.107939	0.00742721	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.110192	0.00156757	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0374392	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.00754069	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.013679	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0692063	0.000868238	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0519764	0.00766265	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.081285	0.000462976	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0391828	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.079044	0.00553006	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0920511	0.00254089	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0349969	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0158418	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00982559	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.035225	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0336528	

2	0.002	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.08625	0.00825433	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.129207	0.0124965	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0248393	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0638272	0.00236511	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0234027	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0318675	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0818795	0.0130729	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0516681	0.00111843	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0436631	0.00381032	

2	0.002	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.102188	0.0017574	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00879669	

2	0.002	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0826534	0.00357866	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0774716	0.00169352	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.143144	0.00406966	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0450749	0.000173985	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0194152	

1	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0164819	

2	0.002	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0810167	0.00017135	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00380688	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0158254	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.564	|	0.0769659	0.000522202	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.128158	0.00229169	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0459252	0.000269237	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0683141	0.00250394	

2	0.002	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.121945	0.00609954	

1	0	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0251613	

2	0.001	4	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0754698	0.00320635	

