1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0398541	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00880845	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0121705	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0328615	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0182458	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0466885	2.1757e-005	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0449744	0.000209391	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.05967	0.000263735	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0479574	0.00113998	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0411212	0.00235349	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.099291	0.000190849	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0318679	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0170224	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0226173	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0782814	0.00169981	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.165131	0.00742678	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0421327	0.00129758	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0349322	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0718665	0.0041519	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0801343	0.00229188	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.02623	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.152629	0.00197308	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.101383	0.00594608	

2	0.001	4	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.123051	0.00188612	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00482938	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0468477	0.00484122	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0378028	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0159833	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0239695	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0679478	0.00144904	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.191414	0.029529	

1	0.001	4	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0253097	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.146798	0.0136086	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0432357	9.51937e-006	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0982328	0.000667565	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118103	0.00262363	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0410982	0.000682077	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0482655	0.000151163	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.086911	0.00417757	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0365134	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314903	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0353963	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.000971821	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0743525	0.00383838	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0382146	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.12588	0.00151593	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0474164	0.000783638	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0340599	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.11066	0.00298311	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0168907	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0440376	0.00024289	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0842331	0.002689	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0143877	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0332185	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.101803	0.00236434	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118517	0.00642928	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0529118	0.000496935	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0527009	1.32175e-005	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.105717	0.00495659	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0437017	0.00211492	

