3	0	1	0	task-0:0.034	|	0.525842	0.204284	0.0344502	

3	0	1	0	task-0:0.034	|	0.367921	0.0592449	0.00448698	

2	0.001	1	0	task-0:0.034	|	0.137602	0.00387032	

2	0	1	0	task-0:0.034	|	0.185833	0.0099674	

2	0.001	1	0	task-0:0.034	|	0.0689335	0.00148595	

3	0	1	0	task-0:0.034	|	0.226663	0.0464935	0.00467596	

2	0	1	0	task-0:0.034	|	0.0821812	0.00301665	

3	0	1	0	task-0:0.034	|	0.223448	0.056911	0.00671633	

3	0	1	0	task-0:0.034	|	0.552775	0.175058	0.0233206	

2	0	1	0	task-0:0.034	|	0.120339	0.00342229	

2	0	1	0	task-0:0.034	|	0.115671	0.00337123	

2	0.001	1	0	task-0:0.034	|	0.159879	0.00869078	

3	0	1	0	task-0:0.034	|	0.468455	0.105686	0.0101388	

2	0	1	0	task-0:0.034	|	0.157774	0.025275	

3	0	1	0	task-0:0.034	|	0.5051	0.1542	0.0233704	

2	0	1	0	task-0:0.034	|	0.114272	0.0032648	

3	0	1	0	task-0:0.034	|	0.563551	0.143059	0.0168083	

2	0	1	0	task-0:0.034	|	0.102382	0.00385098	

2	0	1	0	task-0:0.034	|	0.105789	0.00379042	

2	0	1	0	task-0:0.034	|	0.429419	0.0346546	

2	0	1	0	task-0:0.034	|	0.270435	0.0256878	

2	0	1	0	task-0:0.034	|	0.102667	0.0140118	

3	0	1	0	task-0:0.034	|	0.531985	0.181755	0.0270365	

3	0	1	0	task-0:0.034	|	0.450421	0.052064	0.000459894	

2	0	1	0	task-0:0.034	|	0.122212	0.025271	

3	0	1	0	task-0:0.034	|	0.421977	0.0848923	0.00926261	

2	0	1	0	task-0:0.034	|	0.266741	0.0187432	

2	0	1	0	task-0:0.034	|	0.0648063	0.00152482	

2	0	1	0	task-0:0.034	|	0.245073	0.0134438	

3	0	1	0	task-0:0.034	|	0.621139	0.233714	0.0383065	

2	0	1	0	task-0:0.034	|	0.270555	0.0151124	

2	0	1	0	task-0:0.034	|	0.0488827	0.00104779	

2	0	1	0	task-0:0.034	|	0.387061	0.0397586	

2	0	1	0	task-0:0.034	|	0.146586	0.007396	

2	0	1	0	task-0:0.034	|	0.187088	0.019248	

2	0	1	0	task-0:0.034	|	0.0664972	0.00179813	

3	0.001	1	0	task-0:0.034	|	0.584222	0.178136	0.0161894	

2	0	1	0	task-0:0.034	|	0.162963	0.00590242	

2	0	1	0	task-0:0.034	|	0.0491917	0.000879645	

2	0	1	0	task-0:0.034	|	0.373213	0.0319084	

3	0	1	0	task-0:0.034	|	0.447061	0.0560488	0.000617195	

3	0	1	0	task-0:0.034	|	0.391792	0.133616	0.0202476	

2	0	1	0	task-0:0.034	|	0.244956	0.0163484	

2	0	1	0	task-0:0.034	|	0.105263	0.00343257	

3	0	1	0	task-0:0.034	|	0.350238	0.0802562	0.00759048	

3	0	1	0	task-0:0.034	|	0.493371	0.169003	0.0253013	

3	0.001	1	0	task-0:0.034	|	0.277895	0.0694231	0.00873429	

2	0	1	0	task-0:0.034	|	0.22002	0.0154644	

2	0	1	0	task-0:0.034	|	0.175788	0.00999981	

3	0	1	0	task-0:0.034	|	0.32947	0.0857663	0.0115419	

3	0.001	1	0	task-0:0.034	|	0.483058	0.173943	0.0239967	

2	0	1	0	task-0:0.034	|	0.381844	0.0377082	

2	0	1	0	task-0:0.034	|	0.319179	0.0235437	

2	0	1	0	task-0:0.034	|	0.183383	0.00834952	

2	0	1	0	task-0:0.034	|	0.0616588	0.00148277	

3	0	1	0	task-0:0.034	|	0.268152	0.0509971	0.00580071	

3	0	1	0	task-0:0.034	|	0.38341	0.113962	0.0152219	

3	0	1	0	task-0:0.034	|	0.440181	0.0749095	0.00687476	

2	0	1	0	task-0:0.034	|	0.109327	0.00439433	

3	0.001	1	0	task-0:0.034	|	0.440051	0.137499	0.0190739	

