3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0523729	0.0302839	0.00394618	0.00167157	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0441467	0.0256075	0.00391583	0.00165936	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.037985	0.0227188	0.00424745	0.00173024	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0354534	0.021774	0.00456123	0.00178901	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0208747	0.0143887	0.00464851	0.00159491	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0412075	0.0246867	0.00458172	0.00185213	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0757179	0.0442124	0.00447734	0.00191344	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0211638	0.0149488	0.00515709	0.00168802	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0297843	0.0184241	0.00392043	0.00151825	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0749885	0.0443934	0.00576982	0.00233368	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0892814	0.0542444	0.00678358	0.00259456	0.000880092	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.116693	0.0771946	0.00886225	0.00276892	0.00101664	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0723685	0.0443535	0.00684369	0.00250927	0.00086455	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0640741	0.0368606	0.00427816	0.00184546	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0422098	0.0249926	0.00424826	0.00173824	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.101761	0.0636193	0.00722271	0.00266417	0.000919704	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0775374	0.0452528	0.00511512	0.00216687	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0314271	0.0194118	0.00415782	0.00161935	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0459115	0.0268999	0.00436568	0.00182521	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0891352	0.0536557	0.00628586	0.00249071	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0305883	0.0191995	0.00434408	0.00164937	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0264032	0.0169419	0.00415576	0.00152722	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0216265	0.015486	0.00552199	0.00174698	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.114105	0.0778421	0.00908101	0.00225335	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0522876	0.0298893	0.00411754	0.00178952	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0178869	0.0125034	0.0042443	0.00143859	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0795708	0.0465697	0.00547508	0.00229874	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.122222	0.0837763	0.00990226	0.00261887	0.00102486	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.027629	0.0182543	0.00501617	0.00178423	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0753832	0.0445752	0.00458768	0.00189235	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0369792	0.0220774	0.00401346	0.00163466	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0167878	0.0118647	0.0041687	0.00139293	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0386707	0.0241754	0.00523734	0.00196986	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00939955	0.00757849	0.00399749	0.00115732	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0400566	0.0236588	0.00414294	0.00171562	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.116499	0.0770623	0.008532	0.00269597	0.000990545	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.10854	0.0692272	0.00734088	0.00262119	0.000922034	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0443838	0.0257756	0.00402021	0.00170166	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.067585	0.0399605	0.00441367	0.0017889	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0938857	0.0570679	0.00651403	0.00254391	0.000861921	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.091541	0.0553428	0.0064866	0.00254759	0.000859228	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.068812	0.0392519	0.00444848	0.00196473	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0491197	0.0291419	0.00492779	0.00200079	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0557101	0.033391	0.00552365	0.00217591	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.139356	0.103676	0.0162165	0.00222593	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.121622	0.0830096	0.0100645	0.00269858	0.00104596	

