110	0.06	1	0	task-3:0.126	task-0:0.078	task-1:0.15	task-2:0.102	|	0.0713765	0.0655473	0.0554689	0.0541157	0.0533968	0.0522388	0.0506635	0.0519031	0.0554995	0.0501984	0.0501287	0.0500812	0.0499856	0.0498255	0.0496901	0.0495174	0.0501555	0.0494661	0.0494354	0.0494309	0.0494168	0.0493873	0.0484502	0.0471713	0.0435141	0.0376811	0.0326483	0.0287104	0.0254976	0.0219273	0.0183983	0.0123956	0.0058674	0.00369574	0.00656785	0.00254566	0.00238203	

129	0.05	1	0	task-3:0.08	task-0:0.086	task-1:0.056	task-2:0.124	|	0.0564128	0.053986	0.0512263	0.0510708	0.0507809	0.050412	0.0504255	0.0502475	0.0501833	0.0501715	0.0501527	0.0501195	0.0500767	0.0499969	0.0498615	0.0497676	0.0500191	0.0497159	0.0497053	0.049679	0.0496393	0.0487157	0.0472491	0.04391	0.0410465	0.0380534	0.0367708	0.0357534	0.034011	0.0325358	0.0303104	0.028245	0.0247296	0.0201952	0.0350674	0.0167878	0.0160492	0.0150547	0.0147715	0.0142309	0.0139843	0.0134847	0.0129353	0.0124411	0.0121906	0.0117661	0.0112101	0.0102992	0.00929767	0.0104867	0.00873101	0.00861211	0.00837265	0.00797331	0.007479	0.00738764	0.00722988	0.0070328	0.0069127	0.00668149	0.00624009	0.0055009	0.00599544	0.00655494	0.00463778	0.00453693	0.00442615	0.00430982	0.0041581	0.003993	0.00420446	0.00388586	0.00383718	0.00374037	0.00356619	0.00328986	0.00314844	0.003391	0.00296795	0.00292974	0.00286872	0.00277448	0.00261257	0.00239382	

123	0.055	1	0	task-3:0.104	task-0:0.122	task-1:0.096	task-2:0.128	|	0.0619861	0.0598791	0.0570458	0.056239	0.0549992	0.0541037	0.0536664	0.0535505	0.0532684	0.0528827	0.0525443	0.0522784	0.0521456	0.0520491	0.0518536	0.0514564	0.0508149	0.0514257	0.0527416	0.0502416	0.0501894	0.050085	0.0499065	0.049767	0.050192	0.0497183	0.0497101	0.0497014	0.0496781	0.0496408	0.0496202	0.0495928	0.0486815	0.0473263	0.044125	0.0399225	0.0367745	0.0352432	0.0331671	0.0308486	0.0299071	0.0280004	0.0246031	0.0200174	0.0179443	0.0334198	0.018973	0.0518695	0.0140293	0.0137829	0.0132692	0.0123054	0.0122669	0.0119944	0.0107482	0.0105584	0.0101811	0.00959258	0.008467	0.00652305	0.00384705	0.0261569	0.0113723	0.0028802	0.00226906	

129	0.051	1	0	task-3:0.08	task-0:0.086	task-1:0.056	task-2:0.124	|	0.0564128	0.053986	0.0512263	0.0510708	0.0507809	0.050412	0.0504255	0.0502475	0.0501833	0.0501715	0.0501527	0.0501195	0.0500767	0.0499969	0.0498615	0.0497676	0.0500191	0.0497159	0.0497053	0.049679	0.0496393	0.0487157	0.0472491	0.04391	0.0410465	0.0380534	0.0367708	0.0357534	0.034011	0.0325358	0.0303104	0.028245	0.0247296	0.0201952	0.0350674	0.0167878	0.0160492	0.0150547	0.0147715	0.0142309	0.0139843	0.0134847	0.0129353	0.0124411	0.0121906	0.0117661	0.0112101	0.0102992	0.00929767	0.0104867	0.00873101	0.00861211	0.00837265	0.00797331	0.007479	0.00738764	0.00722988	0.0070328	0.0069127	0.00668149	0.00624009	0.0055009	0.00599544	0.00655494	0.00463778	0.00453693	0.00442615	0.00430982	0.0041581	0.003993	0.00420446	0.00388586	0.00383718	0.00374037	0.00356619	0.00328986	0.00314844	0.003391	0.00296795	0.00292974	0.00286872	0.00277448	0.00261257	0.00239382	

123	0.052	1	0	task-3:0.104	task-0:0.122	task-1:0.096	task-2:0.128	|	0.0619861	0.0598791	0.0570458	0.056239	0.0549992	0.0541037	0.0536664	0.0535505	0.0532684	0.0528827	0.0525443	0.0522784	0.0521456	0.0520491	0.0518536	0.0514564	0.0508149	0.0514257	0.0527416	0.0502416	0.0501894	0.050085	0.0499065	0.049767	0.050192	0.0497183	0.0497101	0.0497014	0.0496781	0.0496408	0.0496202	0.0495928	0.0486815	0.0473263	0.044125	0.0399225	0.0367745	0.0352432	0.0331671	0.0308486	0.0299071	0.0280004	0.0246031	0.0200174	0.0179443	0.0334198	0.018973	0.0518695	0.0140293	0.0137829	0.0132692	0.0123054	0.0122669	0.0119944	0.0107482	0.0105584	0.0101811	0.00959258	0.008467	0.00652305	0.00384705	0.0261569	0.0113723	0.0028802	0.00226906	

123	0.077	1	0	task-3:0.104	task-0:0.122	task-1:0.096	task-2:0.128	|	0.0619861	0.0598791	0.0570458	0.056239	0.0549992	0.0541037	0.0536664	0.0535505	0.0532684	0.0528827	0.0525443	0.0522784	0.0521456	0.0520491	0.0518536	0.0514564	0.0508149	0.0514257	0.0527416	0.0502416	0.0501894	0.050085	0.0499065	0.049767	0.050192	0.0497183	0.0497101	0.0497014	0.0496781	0.0496408	0.0496202	0.0495928	0.0486815	0.0473263	0.044125	0.0399225	0.0367745	0.0352432	0.0331671	0.0308486	0.0299071	0.0280004	0.0246031	0.0200174	0.0179443	0.0334198	0.018973	0.0518695	0.0140293	0.0137829	0.0132692	0.0123054	0.0122669	0.0119944	0.0107482	0.0105584	0.0101811	0.00959258	0.008467	0.00652305	0.00384705	0.0261569	0.0113723	0.0028802	0.00226906	

110	0.054	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

111	0.064	1	0	task-3:0.126	task-0:0.058	task-1:0.198	task-2:0.098	|	0.06649	0.0628782	0.0546793	0.053816	0.0528881	0.0527573	0.05248	0.0519611	0.0513697	0.0525386	0.0511058	0.0510112	0.0509171	0.0508273	0.0507794	0.0507018	0.0505996	0.0505169	0.050492	0.0504288	0.050302	0.05013	0.0498494	0.0499667	0.0503677	0.0495533	0.0495422	0.0495223	0.0494845	0.0494308	0.0493314	0.04923	0.0501284	0.0491671	0.0491707	0.0483314	0.0470704	0.0436387	0.037525	0.0309028	0.0293172	0.0262584	0.0240174	0.0201314	0.0141525	0.00968769	0.00753817	0.00710234	0.00646882	0.00568355	0.00505633	0.00400497	0.00252985	0.0014586	

110	0.063	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

121	0.072	1	0	task-3:0.11	task-0:0.062	task-1:0.082	task-2:0.114	|	0.0600931	0.0590768	0.0572371	0.0566868	0.0559091	0.0546847	0.0536382	0.0526673	0.0530616	0.0521575	0.0520314	0.0518103	0.0513942	0.0509641	0.0526842	0.0506607	0.0505748	0.0504802	0.0502994	0.0500072	0.0498702	0.052358	0.0496199	0.0496067	0.0495696	0.0495163	0.0494939	0.0494623	0.0494573	0.0494521	0.0494368	0.0494085	0.0493881	0.0493461	0.0493455	0.0484834	0.0471842	0.0436869	0.037547	0.0311318	0.0287515	0.0261515	0.0235101	0.0187894	0.0122037	0.00814423	0.00741137	0.00522563	0.00461511	0.00398649	0.00331998	0.00250234	0.00174276	

