1	0.002	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.524	|	0.0313383	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.001	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.004	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0607231	0.0399819	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

1	0.002	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0398148	

2	0.004	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0965906	0.039944	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.466	task-2:0.476	|	0.0420352	0.0399977	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.524	|	0.0400095	0.0399596	

2	0.004	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0607231	0.0399819	

2	0.004	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.045667	0.0399296	

2	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.524	|	0.069374	0.0399978	

2	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0607231	0.0399819	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.466	task-2:0.476	|	0.100586	0.0399896	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.466	task-2:0.476	|	0.100586	0.0399896	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

1	0.002	16	0	task-3:0.478	task-0:0.524	task-1:0.534	task-2:0.524	|	0.0328854	

2	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.476	|	0.112146	0.0398597	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.476	|	0.0688574	0.0399944	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0552386	0.0399698	

2	0.004	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.524	|	0.107708	0.0398419	

1	0.001	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.005	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.001	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0552386	0.0399698	

2	0.004	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.524	|	0.107708	0.0398419	

1	0.001	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0369229	

2	0.005	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.524	|	0.12016	0.0399245	

2	0.005	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.005	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.001	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.476	|	0.0355176	

1	0.002	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0369229	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.002	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0369229	

1	0.002	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.476	|	0.0452967	0.0399971	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.005	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.001	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0339823	

2	0.004	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.005	16	0	task-3:0.478	task-0:0.476	task-1:0.466	task-2:0.476	|	0.0688574	0.0399944	

2	0.006	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0552386	0.0399698	

2	0.006	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.001	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0369229	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

2	0.003	16	0	task-3:0.522	task-0:0.476	task-1:0.534	task-2:0.524	|	0.0642874	0.0399955	

1	0.003	16	0	task-3:0.478	task-0:0.476	task-1:0.534	task-2:0.476	|	0.0369229	

