1	0.002	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.506	|	0.0312977	

2	0.004	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.494	|	0.104519	0.0398723	

1	0.001	16	0	task-3:0.462	task-0:0.484	task-1:0.534	task-2:0.494	|	0.0328087	

2	0.003	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.506	|	0.0897097	0.039759	

1	0.002	16	0	task-3:0.538	task-0:0.516	task-1:0.534	task-2:0.494	|	0.0343191	

2	0.003	16	0	task-3:0.538	task-0:0.484	task-1:0.466	task-2:0.506	|	0.0759527	0.0399674	

2	0.003	16	0	task-3:0.538	task-0:0.484	task-1:0.534	task-2:0.494	|	0.113591	0.0399895	

2	0.003	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.506	|	0.121429	0.0399872	

1	0.002	16	0	task-3:0.462	task-0:0.484	task-1:0.534	task-2:0.494	|	0.0348871	

2	0.003	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.506	|	0.062624	0.0399676	

2	0.004	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.506	|	0.134671	0.0396539	

1	0.002	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.494	|	0.0314792	

1	0.002	16	0	task-3:0.462	task-0:0.484	task-1:0.534	task-2:0.506	|	0.0313994	

2	0.003	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.494	|	0.0969973	0.0397719	

2	0.003	16	0	task-3:0.462	task-0:0.484	task-1:0.534	task-2:0.494	|	0.0855362	0.0399987	

2	0.003	16	0	task-3:0.538	task-0:0.484	task-1:0.466	task-2:0.506	|	0.132747	0.0399182	

1	0.002	16	0	task-3:0.462	task-0:0.516	task-1:0.534	task-2:0.494	|	0.033294	

2	0.003	16	0	task-3:0.462	task-0:0.484	task-1:0.466	task-2:0.506	|	0.134671	0.0396539	

2	0.004	16	0	task-3:0.538	task-0:0.484	task-1:0.534	task-2:0.494	|	0.0473917	0.0399982	

