101	0.029	1	0	task-0:0.478	|	0.308219	0.259572	0.251794	0.252365	0.252196	0.246791	0.25052	0.25045	0.24712	0.246613	0.246639	0.246429	0.246511	0.246636	0.246754	0.246805	0.246893	0.246929	0.246923	0.246926	0.246923	0.246915	0.246917	0.246917	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.248794	0.336076	0.336076	0.336034	0.233194	0.224962	0.22496	0.224958	0.224956	0.224954	0.224951	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246914	0.246496	0.203018	0.203018	0.224955	0.246914	0.246914	0.246912	0.224965	0.226532	0.224965	0.224965	0.245091	0.246701	0.246766	0.246766	0.246685	0.24632	0.24411	0.228923	0.224964	

83	0.019	1	0	task-0:0.478	|	0.273567	0.286138	0.270758	0.247639	0.26241	0.262415	0.24941	0.248425	0.248425	0.24694	0.246939	0.247203	0.247203	0.246949	0.24697	0.246982	0.246981	0.247369	0.251844	0.312227	0.256168	0.246961	0.246922	0.246918	0.246907	0.246902	0.246902	0.246905	0.246907	0.246913	0.238369	0.336857	0.267117	0.202712	0.246843	0.246889	0.239313	0.202924	0.214675	0.243002	0.246486	0.246547	0.246424	0.245827	0.242694	0.227374	0.224712	0.224866	0.246287	0.246851	0.246893	0.246906	0.246909	0.246909	0.246903	0.246879	0.246728	0.244952	0.225674	0.241921	0.239266	0.230694	0.22477	0.236218	0.238661	0.238164	0.233681	0.225441	0.242282	0.244427	0.244907	0.244378	0.241793	0.232405	0.224467	0.235591	0.23713	0.235167	0.22843	0.224255	0.237566	0.241078	0.241457	

77	0.021	1	0	task-0:0.478	|	0.2475	0.307546	0.292493	0.257782	0.24859	0.248592	0.248006	0.248006	0.246926	0.246926	0.247132	0.247132	0.246945	0.246945	0.246945	0.246914	0.246915	0.246923	0.246923	0.246914	0.246903	0.246901	0.246903	0.246906	0.246909	0.246912	0.246919	0.206479	0.202969	0.246907	0.246911	0.24581	0.204345	0.218994	0.246442	0.246862	0.246852	0.246793	0.246493	0.244064	0.226102	0.241849	0.240198	0.234023	0.225121	0.239744	0.241782	0.241967	0.240011	0.233199	0.22489	0.239287	0.241525	0.241673	0.239394	0.231684	0.224544	0.237912	0.240389	0.240386	0.237287	0.22826	0.223814	0.234896	0.223435	0.223183	0.222938	0.222692	0.222441	0.213078	0.194376	0.193239	0.192134	0.19118	0.190569	0.190585	0.190585	

83	0.023	1	0	task-0:0.468	|	0.248981	0.354668	0.322331	0.241419	0.262453	0.262453	0.244106	0.24422	0.24422	0.239664	0.242574	0.241258	0.238079	0.238631	0.238631	0.237659	0.237542	0.237622	0.236802	0.235866	0.235103	0.234388	0.233636	0.232741	0.231672	0.23026	0.22845	0.226232	0.223581	0.220882	0.217731	0.214453	0.211402	0.209144	0.207609	0.205714	0.204364	0.203039	0.202083	0.201329	0.200388	0.199167	0.197982	0.196745	0.195418	0.194137	0.195981	0.193961	0.193228	0.192846	0.192369	0.192052	0.192052	0.19174	0.191688	0.191575	0.191366	0.191401	0.191323	0.19115	0.191085	0.191072	0.191028	0.190911	0.190863	0.190846	0.190823	0.190809	0.19074	0.190637	0.190522	0.190413	0.190295	0.190158	0.189999	0.189818	0.189613	0.189385	0.189324	0.189381	0.188928	0.190195	0.190195	

92	0.027	1	0	task-0:0.376	|	0.248146	0.27294	0.260435	0.25411	0.267084	0.254166	0.263319	0.263319	0.252064	0.256379	0.256379	0.251548	0.251221	0.250706	0.250214	0.249956	0.249434	0.249056	0.248699	0.248417	0.248156	0.247761	0.247438	0.247187	0.246916	0.246787	0.24629	0.245255	0.243419	0.24079	0.237676	0.23639	0.232969	0.233037	0.233731	0.231386	0.227662	0.223585	0.219931	0.216164	0.212325	0.209337	0.205759	0.203648	0.204124	0.203189	0.203833	0.20438	0.205137	0.205846	0.205902	0.205218	0.204671	0.202815	0.202242	0.202644	0.202173	0.202547	0.202608	0.202019	0.201612	0.201648	0.201435	0.2011	0.200817	0.200634	0.200528	0.2003	0.199996	0.199693	0.199361	0.198934	0.198461	0.197923	0.197324	0.196674	0.196261	0.19603	0.195686	0.19541	0.195137	0.194844	0.19462	0.194398	0.194672	0.194488	0.194207	0.194207	0.194282	0.194334	0.194264	0.194214	

83	0.028	1	0	task-0:0.478	|	0.273567	0.286138	0.270758	0.247639	0.26241	0.262415	0.24941	0.248425	0.248425	0.24694	0.246939	0.247203	0.247203	0.246949	0.24697	0.246982	0.246981	0.247369	0.251844	0.312227	0.256168	0.246961	0.246922	0.246918	0.246907	0.246902	0.246902	0.246905	0.246907	0.246913	0.238369	0.336857	0.267117	0.202712	0.246843	0.246889	0.239313	0.202924	0.214675	0.243002	0.246486	0.246547	0.246424	0.245827	0.242694	0.227374	0.224712	0.224866	0.246287	0.246851	0.246893	0.246906	0.246909	0.246909	0.246903	0.246879	0.246728	0.244952	0.225674	0.241921	0.239266	0.230694	0.22477	0.236218	0.238661	0.238164	0.233681	0.225441	0.242282	0.244427	0.244907	0.244378	0.241793	0.232405	0.224467	0.235591	0.23713	0.235167	0.22843	0.224255	0.237566	0.241078	0.241457	
