40	0.037	4	0	task-3:0.456	task-0:0.516	task-1:0.406	task-2:0.454	|	0.0580929	0.0807456	0.0654665	0.0547891	0.058742	0.0579762	0.0548078	0.0546521	0.0547258	0.0544028	0.0544396	0.0544163	0.0542705	0.0539238	0.0535937	0.0532866	0.0532586	0.0531488	0.0526999	0.0524993	0.0524486	0.0523241	0.0518506	0.0514892	0.0508764	0.0504168	0.0500131	0.0497235	0.049214	0.0486618	0.0476133	0.046775	0.0459636	0.0447113	0.0436232	0.042792	0.0417493	0.0409493	0.0402759	0.0397483	

20	0.018	4	0	task-3:0.416	task-0:0.494	task-1:0.388	task-2:0.444	|	0.0687501	0.0792449	0.0726291	0.0548472	0.0646989	0.0665289	0.061535	0.0570316	0.0542274	0.053277	0.052762	0.0526871	0.0516469	0.0506079	0.0490855	0.0469475	0.0449187	0.042727	0.0404881	0.0390503	

73	0.057	4	0	task-3:0.364	task-0:0.44	task-1:0.582	task-2:0.356	|	0.05423	0.0991999	0.0881907	0.0613528	0.0562861	0.0569645	0.0536352	0.0538881	0.0532384	0.0511041	0.0501069	0.0491203	0.0479662	0.0467851	0.0463565	0.0455295	0.0460952	0.045658	0.0448018	0.0450831	0.0451546	0.0455809	0.0457876	0.0455083	0.0454953	0.0456668	0.0458641	0.0461732	0.0460896	0.0458026	0.0455665	0.0453246	0.0452164	0.0451901	0.0452166	0.0453674	0.0452647	0.0450058	0.0447852	0.0445592	0.0444287	0.0448303	0.0454776	0.0447868	0.0445234	0.0445324	0.0450097	0.0448774	0.044496	0.0443533	0.0443059	0.0442406	0.044095	0.0438181	0.0435172	0.043146	0.0430465	0.0428012	0.0427508	0.0428531	0.0431219	0.0435046	0.0436386	0.0439578	0.0442745	0.044583	0.0448866	0.0448013	0.0447088	0.0441611	0.04295	0.0402386	0.0374445	

73	0.059	4	0	task-3:0.364	task-0:0.44	task-1:0.582	task-2:0.356	|	0.05423	0.0991999	0.0881907	0.0613528	0.0562861	0.0569645	0.0536352	0.0538881	0.0532384	0.0511041	0.0501069	0.0491203	0.0479662	0.0467851	0.0463565	0.0455295	0.0460952	0.045658	0.0448018	0.0450831	0.0451546	0.0455809	0.0457876	0.0455083	0.0454953	0.0456668	0.0458641	0.0461732	0.0460896	0.0458026	0.0455665	0.0453246	0.0452164	0.0451901	0.0452166	0.0453674	0.0452647	0.0450058	0.0447852	0.0445592	0.0444287	0.0448303	0.0454776	0.0447868	0.0445234	0.0445324	0.0450097	0.0448774	0.044496	0.0443533	0.0443059	0.0442406	0.044095	0.0438181	0.0435172	0.043146	0.0430465	0.0428012	0.0427508	0.0428531	0.0431219	0.0435046	0.0436386	0.0439578	0.0442745	0.044583	0.0448866	0.0448013	0.0447088	0.0441611	0.04295	0.0402386	0.0374445	

65	0.048	4	0	task-3:0.39	task-0:0.526	task-1:0.424	task-2:0.422	|	0.0567575	0.0853651	0.0712039	0.0565254	0.0547258	0.055314	0.0543876	0.0560985	0.056446	0.055005	0.0545359	0.0547854	0.0557873	0.0544323	0.0546575	0.0542787	0.0548856	0.0547707	0.0538309	0.053595	0.0531803	0.0525095	0.0526758	0.0523251	0.0512513	0.0507531	0.0506129	0.0499412	0.0489319	0.048137	0.0471862	0.0459419	0.0445074	0.0433507	0.0427811	0.0426737	0.0428484	0.043074	0.0439613	0.0462298	0.0459498	0.0479834	0.0469129	0.0472571	0.04695	0.0469343	0.0463619	0.0458888	0.0453688	0.0451734	0.0448903	0.0446989	0.0443587	0.0440999	0.0439436	0.0436706	0.0434275	0.0432413	0.0431002	0.0427084	0.0423393	0.0418218	0.0411411	0.0402697	0.0392715	

73	0.053	4	0	task-3:0.364	task-0:0.44	task-1:0.582	task-2:0.356	|	0.05423	0.0991999	0.0881907	0.0613528	0.0562861	0.0569645	0.0536352	0.0538881	0.0532384	0.0511041	0.0501069	0.0491203	0.0479662	0.0467851	0.0463565	0.0455295	0.0460952	0.045658	0.0448018	0.0450831	0.0451546	0.0455809	0.0457876	0.0455083	0.0454953	0.0456668	0.0458641	0.0461732	0.0460896	0.0458026	0.0455665	0.0453246	0.0452164	0.0451901	0.0452166	0.0453674	0.0452647	0.0450058	0.0447852	0.0445592	0.0444287	0.0448303	0.0454776	0.0447868	0.0445234	0.0445324	0.0450097	0.0448774	0.044496	0.0443533	0.0443059	0.0442406	0.044095	0.0438181	0.0435172	0.043146	0.0430465	0.0428012	0.0427508	0.0428531	0.0431219	0.0435046	0.0436386	0.0439578	0.0442745	0.044583	0.0448866	0.0448013	0.0447088	0.0441611	0.04295	0.0402386	0.0374445	
