253	0.022	2	0	task-0:0.236	|	0.232653	0.213082	0.210451	0.199928	0.183578	0.16813	0.197785	0.165054	0.158603	0.159601	0.159272	0.157502	0.153299	0.153326	0.155192	0.149008	0.148536	0.147691	0.148611	0.148315	0.147717	0.147139	0.147677	0.147909	0.147393	0.146905	0.147548	0.147949	0.143471	0.144113	0.145408	0.145517	0.14599	0.14835	0.149956	0.147361	0.148916	0.146737	0.146258	0.146051	0.145622	0.14474	0.147405	0.144896	0.144712	0.144513	0.14448	0.144155	0.144252	0.144233	0.144111	0.143832	0.143645	0.143584	0.127271	0.121425	0.106792	0.0854486	0.0733175	0.0652033	0.0617246	0.0549887	0.0452002	0.0308597	0.0269773	0.0592956	0.018508	0.0163215	0.0152959	0.0149729	0.0144386	0.0133213	0.0112626	0.00810557	0.00415125	0.0228548	0.10283	0.00482609	0.00309221	0.00208979	

112	0.007	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.007	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

185	0.016	1	0	task-0:0.302	|	0.2472	0.23203	0.205971	0.186801	0.186213	0.174736	0.170065	0.168984	0.168356	0.165762	0.163729	0.160132	0.163183	0.159993	0.158631	0.158557	0.158033	0.156124	0.156149	0.153921	0.15442	0.154464	0.154049	0.153008	0.152856	0.15008	0.151695	0.151622	0.151403	0.150923	0.151624	0.150069	0.15072	0.150696	0.150602	0.150539	0.150313	0.126204	0.126408	0.128748	0.12834	0.125762	0.119831	0.115569	0.0931073	0.12192	0.0965511	0.218163	0.0814937	0.0755238	0.0726413	0.0698416	0.0684841	0.064879	0.0586371	0.0609417	0.0544241	0.0522068	0.0514467	0.0491329	0.044606	0.0424785	0.0603662	0.0369757	0.0362297	0.0344228	0.0306613	0.0238375	0.0140942	0.0834418	0.0539185	0.0230679	0.00914602	0.00814163	0.00806386	0.00805211	0.00784667	0.00769126	0.00760765	0.00755536	0.00730432	0.00708466	0.0068722	0.00649913	0.00643163	0.00610557	0.00603795	0.00599388	0.0059254	0.00572521	0.00536103	0.00546243	0.00535779	0.00484899	0.0048061	0.00473957	0.00453426	0.00447405	0.00440886	0.00420968	0.0041603	0.0040918	0.00393622	0.00371358	0.0035131	0.00362571	0.00332663	0.00330778	0.00328845	0.00329212	0.00323149	0.00314807	0.00311061	0.00306869	0.00294392	0.00284235	0.00264621	0.00229092	

112	0.01	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.008	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.007	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.006	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.011	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.008	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.006	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

112	0.008	1	0	task-0:0.15	|	0.237923	0.214293	0.207776	0.192622	0.193015	0.174314	0.170862	0.165007	0.156855	0.169617	0.157555	0.155365	0.155631	0.155789	0.155212	0.154111	0.155073	0.153872	0.153391	0.15286	0.152252	0.150242	0.153496	0.151131	0.150859	0.150879	0.150859	0.150409	0.150911	0.150627	0.150489	0.150496	0.150491	0.150137	0.150497	0.150326	0.150242	0.150281	0.150296	0.150148	0.13108	0.125532	0.104121	0.069489	0.0558079	0.0490169	0.04176	0.0303621	0.0238533	0.0340024	0.0172117	0.0162735	0.014507	0.0116238	0.00926607	0.0172047	0.00783537	0.00762236	0.00724616	0.00660022	0.00548068	0.00378613	0.0042902	0.0228251	0.00221117	

