2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0760352	0.0383983	0.00222825	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0214463	0.0141412	0.00403398	0.00149786	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0198772	0.0123806	0.00295404	0.00115013	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0199175	0.0132207	0.00388054	0.00143752	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0233374	0.0140055	0.00291103	0.00118362	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0337227	0.0187037	0.00293584	0.00131701	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.055236	0.0290796	0.00313042	0.00151279	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0284367	0.0169618	0.00345541	0.00143921	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0829698	0.0426367	0.00235652	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118563	0.0717368	0.00463908	0.00209498	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0985548	0.0552334	0.00394652	0.00190606	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0432803	0.0223263	0.00256808	0.00122651	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0405623	0.0236835	0.00420746	0.00178771	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00728768	0.0057615	0.00289906	0.000888722	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0992896	0.0544377	0.00289396	0.00150456	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.126474	0.0808593	0.00617142	0.00232122	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.101213	0.0555244	0.00291119	0.00152931	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0714313	0.0365996	0.00295669	0.00155767	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0816778	0.0418398	0.00274141	0.00149252	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0468029	0.0248555	0.00290222	0.00136816	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0533341	0.027308	0.00269634	0.00134464	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0330444	0.0189121	0.00327562	0.00143359	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.148195	0.107829	0.0109117	0.00212565	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0648004	0.0321107	0.00227181	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0729716	0.0389425	0.0036962	0.00182323	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0657493	0.0330784	0.00257515	0.00137657	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.018122	0.0118517	0.00330347	0.00121662	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0188781	0.0125669	0.00372512	0.00136868	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0748411	0.037556	0.00232849	

