2	0	0	0	task-0:0.034	|	0.725245	0.0418812	0.00112186	

2	0.001	0	0	task-0:0.034	|	0.341708	0.00316861	0.00193153	

3	0	0	0	task-0:0.034	|	0.0973938	0.00709102	0.00271832	0.000748407	

2	0	0	0	task-0:0.034	|	0.488315	0.00440041	0.00233475	

2	0	0	0	task-0:0.034	|	0.266912	0.00390956	0.00227431	

2	0	0	0	task-0:0.034	|	0.385656	0.0031538	0.00193651	

2	0	0	0	task-0:0.034	|	0.0346523	0.00977362	0.00236897	

2	0	0	0	task-0:0.034	|	0.269982	0.00300982	0.00183165	

3	0.001	0	0	task-0:0.034	|	0.526974	0.00546707	0.00260584	0.000660337	

3	0	0	0	task-0:0.034	|	0.542079	0.00856927	0.00341722	0.000940116	

3	0	0	0	task-0:0.034	|	0.0808144	0.00891764	0.00297034	0.000879088	

3	0	0	0	task-0:0.034	|	0.520651	0.00600774	0.00282453	0.000727229	

3	0	0	0	task-0:0.034	|	0.0752118	0.00914642	0.00297034	0.000890081	

3	0	0	0	task-0:0.034	|	0.0404625	0.00983721	0.0025134	0.000832878	

2	0	0	0	task-0:0.034	|	0.480676	0.00430801	0.00234239	

3	0.001	0	0	task-0:0.034	|	0.660161	0.0186781	0.00298851	0.00114595	

3	0.001	0	0	task-0:0.034	|	0.530147	0.00577183	0.00264519	0.000679485	

2	0	0	0	task-0:0.034	|	0.267548	0.00366126	0.00214823	

3	0	0	0	task-0:0.034	|	0.52249	0.00695531	0.00314261	0.000825978	

3	0	0	0	task-0:0.034	|	0.0955712	0.00838438	0.00304695	0.000873067	

2	0	0	0	task-0:0.034	|	0.431814	0.00329915	0.0019309	

2	0	0	0	task-0:0.034	|	0.300628	0.00336637	0.00203454	

3	0	0	0	task-0:0.034	|	0.0543388	0.0095205	0.0027185	0.000856306	

3	0	0	0	task-0:0.034	|	0.52249	0.00695531	0.00314261	0.000825978	

3	0	0	0	task-0:0.034	|	0.0955712	0.00838438	0.00304695	0.000873067	

3	0	0	0	task-0:0.034	|	0.52249	0.00695531	0.00314261	0.000825978	

3	0	0	0	task-0:0.034	|	0.0955712	0.00838438	0.00304695	0.000873067	

2	0	0	0	task-0:0.034	|	0.431814	0.00329915	0.0019309	

3	0.001	0	0	task-0:0.034	|	0.653391	0.0173941	0.00300226	0.0011173	

3	0.001	0	0	task-0:0.034	|	0.05391	0.00976808	0.00275338	0.000873677	

2	0.001	0	0	task-0:0.034	|	0.265752	0.00357174	0.00212072	

2	0	0	0	task-0:0.034	|	0.197614	0.00413531	0.00226164	

3	0	0	0	task-0:0.034	|	0.0501332	0.010516	0.00281198	0.000918775	

3	0	0	0	task-0:0.034	|	0.124246	0.00669032	0.00284586	0.000762568	

3	0	0	0	task-0:0.034	|	0.101689	0.00782071	0.00293274	0.000822854	

3	0	0	0	task-0:0.034	|	0.0463331	0.010368	0.00272085	0.000896258	

3	0	0	0	task-0:0.034	|	0.21968	0.00475241	0.00255552	0.000628624	

3	0	0	0	task-0:0.034	|	0.52249	0.00695531	0.00314261	0.000825978	

3	0	0	0	task-0:0.034	|	0.0955712	0.00838438	0.00304695	0.000873067	

2	0	0	0	task-0:0.034	|	0.431814	0.00329915	0.0019309	

3	0.001	0	0	task-0:0.034	|	0.653391	0.0173941	0.00300226	0.0011173	

3	0	0	0	task-0:0.034	|	0.05391	0.00976808	0.00275338	0.000873677	

2	0	0	0	task-0:0.034	|	0.265752	0.00357174	0.00212072	

3	0	0	0	task-0:0.034	|	0.52249	0.00695531	0.00314261	0.000825978	

3	0	0	0	task-0:0.034	|	0.0955712	0.00838438	0.00304695	0.000873067	

2	0	0	0	task-0:0.034	|	0.431814	0.00329915	0.0019309	

3	0	0	0	task-0:0.034	|	0.653391	0.0173941	0.00300226	0.0011173	

3	0	0	0	task-0:0.034	|	0.663373	0.0204322	0.00301375	0.00119542	

3	0	0	0	task-0:0.034	|	0.0774702	0.00893315	0.00294947	0.0008765	

3	0	0	0	task-0:0.034	|	0.610263	0.0119401	0.00327857	0.00102678	

3	0	0	0	task-0:0.034	|	0.52249	0.00695531	0.00314261	0.000825978	

3	0	0	0	task-0:0.034	|	0.0700178	0.0091441	0.00283232	0.00085508	

2	0	0	0	task-0:0.034	|	0.286658	0.00353546	0.00206832	

2	0	0	0	task-0:0.034	|	0.196247	0.00429128	0.0022997	

3	0	0	0	task-0:0.034	|	0.663373	0.0204322	0.00301375	0.00119542	

2	0	0	0	task-0:0.034	|	0.265752	0.00357174	0.00212072	

2	0	0	0	task-0:0.034	|	0.197614	0.00413531	0.00226164	

3	0	0	0	task-0:0.034	|	0.0501332	0.010516	0.00281198	0.000918775	

3	0	0	0	task-0:0.034	|	0.124246	0.00669032	0.00284586	0.000762568	

2	0	0	0	task-0:0.034	|	0.300628	0.00336637	0.00203454	

