2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.160773	0.0199999	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314777	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118406	0.02	

1	0.004	32	0	task-3:0.198	task-0:0.966	task-1:0.052	task-2:0.188	|	0.0192604	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0208559	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.170686	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0650211	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.176426	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314777	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0547121	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.141809	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0222259	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314777	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118406	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.966	task-1:0.052	task-2:0.188	|	0.0192604	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.114659	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.127077	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0208559	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0547121	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0536271	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.096231	0.02	

2	0.007	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.152261	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0208559	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.096379	0.02	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314777	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118406	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.966	task-1:0.052	task-2:0.188	|	0.0192604	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137712	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.065938	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0208559	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.170686	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0650211	0.02	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0944602	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.966	task-1:0.052	task-2:0.812	|	0.0181132	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314777	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118406	0.02	

1	0.004	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0184055	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.158261	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.966	task-1:0.052	task-2:0.188	|	0.0182862	

2	0.007	32	0	task-3:0.198	task-0:0.034	task-1:0.948	task-2:0.812	|	0.179108	0.0199996	

1	0.004	32	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0186422	

1	0.003	32	0	task-3:0.802	task-0:0.966	task-1:0.052	task-2:0.188	|	0.0183774	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0229807	

1	0.003	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0184055	

2	0.006	32	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.158261	0.02	

1	0.003	32	0	task-3:0.198	task-0:0.966	task-1:0.052	task-2:0.812	|	0.0192974	

