2	0	8	0	task-0:0.034	|	0.760327	0.00289333	

2	0	8	0	task-0:0.034	|	0.600607	2.87263e-005	

2	0.001	8	0	task-0:0.034	|	0.305978	1.66112e-005	

2	0	8	0	task-0:0.034	|	0.22255	2.08157e-006	

2	0	8	0	task-0:0.034	|	0.599829	4.18067e-005	

2	0	8	0	task-0:0.034	|	0.246498	1.25691e-005	

2	0.001	8	0	task-0:0.034	|	0.487287	6.93663e-006	

2	0	8	0	task-0:0.034	|	0.748998	0.0172956	

2	0	8	0	task-0:0.034	|	0.53066	6.23907e-005	

2	0.001	8	0	task-0:0.034	|	0.203621	3.49317e-006	

2	0	8	0	task-0:0.034	|	0.227627	3.96498e-006	

2	0	8	0	task-0:0.034	|	0.0952022	1.79754e-008	

2	0	8	0	task-0:0.034	|	0.216968	2.17113e-007	

2	0.001	8	0	task-0:0.034	|	0.0816522	2.85315e-007	

2	0	8	0	task-0:0.034	|	0.118055	5.46599e-008	

2	0	8	0	task-0:0.034	|	0.207144	2.52945e-007	

2	0	8	0	task-0:0.034	|	0.558156	6.4481e-005	

2	0.001	8	0	task-0:0.034	|	0.66177	0.000392917	

2	0	8	0	task-0:0.034	|	0.517545	4.31663e-005	

2	0	8	0	task-0:0.034	|	0.154799	1.05301e-006	

1	0.001	8	0	task-0:0.034	|	0.0150746	

2	0	8	0	task-0:0.034	|	0.426771	1.48517e-005	

2	0	8	0	task-0:0.034	|	0.620476	5.99896e-005	

1	0.001	8	0	task-0:0.034	|	0.00653046	

2	0	8	0	task-0:0.034	|	0.476728	1.75098e-005	

2	0	8	0	task-0:0.034	|	0.0907654	7.70141e-007	

2	0	8	0	task-0:0.034	|	0.223556	5.77374e-007	

2	0.001	8	0	task-0:0.034	|	0.0692068	3.36568e-007	

2	0	8	0	task-0:0.034	|	0.334543	9.25075e-007	

2	0	8	0	task-0:0.034	|	0.0804765	9.31594e-008	

2	0.001	8	0	task-0:0.034	|	0.452188	8.02655e-005	

2	0	8	0	task-0:0.034	|	0.667921	0.00527892	

1	0	8	0	task-0:0.034	|	0.0200221	

2	0.001	8	0	task-0:0.034	|	0.143643	2.55526e-006	

2	0	8	0	task-0:0.034	|	0.180676	8.48645e-007	

2	0	8	0	task-0:0.034	|	0.119906	2.40449e-006	

2	0.001	8	0	task-0:0.034	|	0.19481	1.7771e-005	

2	0.052	8	0	task-0:0.034	|	0.526559	4.81606e-005	

2	0.001	8	0	task-0:0.034	|	0.228762	1.91586e-005	

2	0	8	0	task-0:0.034	|	0.727615	0.00037993	

2	0	8	0	task-0:0.034	|	0.360593	1.32808e-005	

2	0	8	0	task-0:0.034	|	0.0827675	1.11246e-007	

2	0	8	0	task-0:0.034	|	0.308356	1.86081e-005	

2	0	8	0	task-0:0.034	|	0.155169	4.66587e-008	

2	0.001	8	0	task-0:0.034	|	0.106194	8.0768e-006	

2	0.001	8	0	task-0:0.034	|	0.737993	0.00524458	

2	0	8	0	task-0:0.034	|	0.411486	9.70068e-006	

2	0	8	0	task-0:0.034	|	0.0659001	7.02704e-007	

2	0	8	0	task-0:0.034	|	0.482948	2.91796e-005	

2	0.001	8	0	task-0:0.034	|	0.291003	2.00078e-005	

2	0.001	8	0	task-0:0.034	|	0.39454	1.41838e-005	

2	0.001	8	0	task-0:0.034	|	0.0911285	2.55011e-006	

2	0.001	8	0	task-0:0.034	|	0.490104	0.00176633	

2	0	8	0	task-0:0.034	|	0.272868	4.29573e-005	

2	0.001	8	0	task-0:0.034	|	0.263584	3.51361e-005	

2	0.001	8	0	task-0:0.034	|	0.314469	9.12559e-006	

2	0.001	8	0	task-0:0.034	|	0.207527	6.92982e-007	

2	0.001	8	0	task-0:0.034	|	0.203457	1.40499e-005	

2	0	8	0	task-0:0.034	|	0.625417	0.00314015	

2	0	8	0	task-0:0.034	|	0.661688	5.22481e-005	

