2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.127931	9.06956e-006	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.203279	5.77322e-007	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00502503	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00713763	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0241217	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0805856	3.11569e-008	

2	0.004	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.189233	1.7129e-006	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.133975	1.62553e-010	

1	0.002	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0184413	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0544425	2.71459e-010	

1	0.002	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.000922075	

2	0.035	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.145048	6.22912e-006	

2	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.1099	1.61221e-007	

2	0.005	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.198189	8.69608e-006	

2	0.006	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0766492	2.29461e-009	

2	0.005	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0403457	1.30713e-008	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.169359	4.93223e-007	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.115567	1.48458e-007	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0405589	1.15581e-007	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.194907	4.84358e-008	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.074166	1.4195e-008	

2	0.005	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.126485	2.58699e-007	

2	0.006	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0403457	1.30713e-008	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.160129	1.01947e-007	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.143243	1.73413e-008	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0229915	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00256556	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0536467	2.34394e-007	

2	0.038	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0623188	4.40015e-008	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0586322	1.46991e-008	

2	0.006	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0946756	1.11141e-007	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.078799	1.91427e-006	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.806	|	0.0186579	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.027676	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0810668	3.09851e-009	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0247152	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0953335	1.65122e-007	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.027676	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00791872	

1	0.035	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.027676	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00742461	

2	0.005	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.154009	2.81689e-007	

2	0.006	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0637593	7.77512e-009	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0543936	5.33891e-009	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0107472	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0536467	2.34394e-007	

2	0.038	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0498939	1.26357e-008	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0107472	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0536467	2.34394e-007	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00256556	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00742461	

2	0.005	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.154009	2.81689e-007	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00692123	

1	0.003	16	0	task-3:0.774	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00358109	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0857284	4.35312e-006	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.189949	4.02698e-007	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0810668	3.09851e-009	

1	0.003	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0107472	

2	0.005	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.201818	8.87733e-006	

2	0.006	16	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0676298	1.39443e-009	

