2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.113916	0.0199354	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0309514	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.149128	0.0199838	

1	0.002	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0194928	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0852144	0.0199759	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0184963	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0198242	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0397705	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.111373	0.0199893	

1	0.001	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0204364	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.156561	0.0199443	

1	0.001	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0183257	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.136386	0.0198372	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.132478	0.0199915	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0244914	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0198242	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.14037	0.0199356	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0957009	0.0199602	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0350732	

1	0.001	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0183682	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118524	0.0198564	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0880024	0.0199937	

1	0.001	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0388809	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.144878	0.0199581	

2	0.004	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0471998	0.0199977	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.180875	0.0197649	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0195965	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.130464	0.0198262	

1	0.001	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0387783	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0198242	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.14037	0.0199356	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0957009	0.0199602	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0507835	0.0199232	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0309514	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0198242	

1	0.002	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0397705	

2	0.004	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.111373	0.0199893	

1	0.001	16	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0204364	

2	0.003	16	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.156561	0.0199443	

