2	0	0	0	task-0:0.034	|	0.279645	0.00413581	0.00236071	

3	0	0	0	task-0:0.034	|	0.174981	0.00775419	0.00351676	0.000961181	

3	0	0	0	task-0:0.034	|	0.542644	0.0144265	0.00454408	0.00141685	

3	0	0	0	task-0:0.034	|	0.266092	0.00538004	0.00296209	0.000754107	

2	0	0	0	task-0:0.034	|	0.340686	0.00432221	0.00236204	

3	0	0	0	task-0:0.034	|	0.132863	0.00999809	0.00390482	0.0011374	

3	0	0	0	task-0:0.034	|	0.182064	0.00834936	0.00372225	0.00102584	

3	0	0	0	task-0:0.034	|	0.576839	0.0138291	0.00361651	0.00121326	

3	0	0	0	task-0:0.034	|	0.518285	0.0112572	0.0042474	0.00124178	

3	0	0	0	task-0:0.034	|	0.101099	0.00906126	0.00337622	0.00101134	

3	0	0	0	task-0:0.034	|	0.0987643	0.00988233	0.00357962	0.00107527	

2	0	0	0	task-0:0.034	|	0.248777	0.00438967	0.00245247	

3	0.001	0	0	task-0:0.034	|	0.47683	0.00897039	0.00404152	0.00111208	

3	0.001	0	0	task-0:0.034	|	0.0982865	0.00926391	0.0034012	0.00101048	

3	0	0	0	task-0:0.034	|	0.139662	0.0119948	0.00441837	0.00132144	

3	0	0	0	task-0:0.034	|	0.152666	0.00693789	0.00323379	0.000883223	

3	0	0	0	task-0:0.034	|	0.431215	0.00794885	0.00379476	0.00101858	

3	0	0	0	task-0:0.034	|	0.555623	0.0137027	0.00447599	0.00140997	

3	0	0	0	task-0:0.034	|	0.353505	0.00532612	0.00291055	0.000738405	

3	0	0	0	task-0:0.034	|	0.107686	0.00909377	0.00346534	0.00103199	

3	0	0	0	task-0:0.034	|	0.59202	0.0158841	0.00424483	0.00142138	

3	0	0	0	task-0:0.034	|	0.357657	0.00506214	0.00286791	0.000754971	

3	0	0	0	task-0:0.034	|	0.450591	0.00674964	0.00334542	0.000884305	

3	0	0	0	task-0:0.034	|	0.104766	0.0100933	0.00361944	0.00108431	

3	0	0	0	task-0:0.034	|	0.465845	0.00719454	0.00337507	0.000922962	

3	0	0	0	task-0:0.034	|	0.382406	0.00453889	0.00253956	0.000656558	

3	0	0	0	task-0:0.034	|	0.07842	0.0137687	0.00401698	0.00132513	

3	0	0	0	task-0:0.034	|	0.367741	0.00539923	0.00300015	0.000761809	

3	0	0	0	task-0:0.034	|	0.497268	0.0105589	0.00416836	0.0011962	

3	0	0	0	task-0:0.034	|	0.0967534	0.00883369	0.0033078	0.000981396	

3	0	0	0	task-0:0.034	|	0.0355569	0.012482	0.00300747	0.00109407	

3	0	0	0	task-0:0.034	|	0.47683	0.00897039	0.00404152	0.00111208	

3	0	0	0	task-0:0.034	|	0.0982865	0.00926391	0.0034012	0.00101048	

3	0	0	0	task-0:0.034	|	0.47683	0.00897039	0.00404152	0.00111208	

3	0	0	0	task-0:0.034	|	0.20153	0.0079593	0.00369721	0.00100442	

3	0	0	0	task-0:0.034	|	0.222917	0.00723371	0.003648	0.000974418	

3	0	0	0	task-0:0.034	|	0.625948	0.0209518	0.00362689	0.00142252	

3	0	0	0	task-0:0.034	|	0.504511	0.0109229	0.00422564	0.00122234	

3	0	0	0	task-0:0.034	|	0.283413	0.00542153	0.00303489	0.000780386	

3	0	0	0	task-0:0.034	|	0.450591	0.00674964	0.00334542	0.000884305	

3	0	0	0	task-0:0.034	|	0.477525	0.0083638	0.00393869	0.00107306	

2	0	0	0	task-0:0.034	|	0.670592	0.0350256	0.0020968	

2	0	0	0	task-0:0.034	|	0.348298	0.0042311	0.00238348	

3	0	0	0	task-0:0.034	|	0.503286	0.00905315	0.00379119	0.00106609	

3	0	0	0	task-0:0.034	|	0.24627	0.0105195	0.00456225	0.00127651	

3	0	0	0	task-0:0.034	|	0.22372	0.00579219	0.00308933	0.000805265	

3	0	0	0	task-0:0.034	|	0.296432	0.00698785	0.00368475	0.000967948	

3	0	0	0	task-0:0.034	|	0.248283	0.00586245	0.00304624	0.000786499	

3	0	0	0	task-0:0.034	|	0.0608502	0.0120008	0.00344759	0.00114645	

3	0	0	0	task-0:0.034	|	0.47683	0.00897039	0.00404152	0.00111208	

3	0	0	0	task-0:0.034	|	0.20153	0.0079593	0.00369721	0.00100442	

3	0	0	0	task-0:0.034	|	0.632912	0.0221964	0.00369778	0.00147461	

3	0	0	0	task-0:0.034	|	0.210508	0.00539612	0.00285894	0.000743217	

3	0	0	0	task-0:0.034	|	0.164077	0.00577613	0.00280881	0.000745406	

3	0.001	0	0	task-0:0.034	|	0.640536	0.0243399	0.00352506	0.00148475	

3	0.001	0	0	task-0:0.034	|	0.121024	0.00897524	0.00363544	0.00105509	

3	0	0	0	task-0:0.034	|	0.12206	0.0101397	0.00380012	0.00112044	

3	0	0	0	task-0:0.034	|	0.101301	0.00980102	0.00363488	0.00108965	

3	0	0	0	task-0:0.034	|	0.41937	0.00526618	0.00265992	0.000688199	

3	0	0	0	task-0:0.034	|	0.07842	0.0137687	0.00401698	0.00132513	

