2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0840418	0.011049	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0321094	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0254732	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.011576	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0919064	0.00230856	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00252374	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0543528	0.00189942	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0790745	0.00201202	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0875451	0.00046461	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0958454	0.00467548	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0688873	0.00119511	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.078668	0.00132649	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0604083	0.00129577	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0548404	0.00155487	

2	0.001	4	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.102225	0.00198574	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.134244	0.00123314	

1	0	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00733404	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0215266	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0502456	0.00132487	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0423487	0.00499474	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.060159	0.00405233	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0850239	0.00618654	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.117887	0.00315457	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.045537	0.000366103	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.121156	0.0184734	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.15089	0.00325399	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0998383	0.00248633	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118006	0.000616155	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.13836	0.00123118	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0881825	0.00188712	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.798	|	0.111732	0.015009	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.103442	0.00378327	

1	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0397025	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.103187	0.00259643	

2	0.002	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.127413	0.000597434	

2	0.001	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.185065	0.0182422	

