2	0	1	0	task-0:0.034	|	0.215114	0.00805615	

3	0	1	0	task-0:0.034	|	0.571352	0.214563	0.0383577	

3	0	1	0	task-0:0.034	|	0.659971	0.216213	0.0316648	

2	0	1	0	task-0:0.034	|	0.0716857	0.00212145	

2	0	1	0	task-0:0.034	|	0.34037	0.0188184	

3	0	1	0	task-0:0.034	|	0.32044	0.0449742	0.00386394	

3	0	1	0	task-0:0.034	|	0.362101	0.0472807	0.00365186	

3	0.001	1	0	task-0:0.034	|	0.345984	0.0763796	0.00676383	

3	0	1	0	task-0:0.034	|	0.651784	0.232401	0.0341332	

3	0	1	0	task-0:0.034	|	0.622556	0.189806	0.0228674	

1	0	1	0	task-0:0.034	|	0.0309151	

3	0	1	0	task-0:0.034	|	0.324724	0.0779291	0.00938977	

2	0	1	0	task-0:0.034	|	0.090011	0.0150505	

2	0	1	0	task-0:0.034	|	0.173251	0.0280763	

2	0	1	0	task-0:0.034	|	0.148194	0.0271564	

2	0	1	0	task-0:0.034	|	0.335893	0.0222481	

2	0	1	0	task-0:0.034	|	0.170542	0.00816502	

2	0	1	0	task-0:0.034	|	0.04285	0.0010862	

2	0	1	0	task-0:0.034	|	0.28679	0.0139111	

2	0	1	0	task-0:0.034	|	0.0528852	0.00112652	

2	0	1	0	task-0:0.034	|	0.123039	0.00413857	

2	0	1	0	task-0:0.034	|	0.381846	0.0272727	

2	0	1	0	task-0:0.034	|	0.0802549	0.00166066	

3	0	1	0	task-0:0.034	|	0.273077	0.0620338	0.00693733	

3	0	1	0	task-0:0.034	|	0.45962	0.135159	0.0147641	

3	0	1	0	task-0:0.034	|	0.345086	0.109069	0.0154726	

2	0	1	0	task-0:0.034	|	0.0588353	0.00160346	

2	0.001	1	0	task-0:0.034	|	0.107496	0.00274255	

2	0	1	0	task-0:0.034	|	0.0567248	0.00112022	

2	0	1	0	task-0:0.034	|	0.377884	0.0307276	

3	0	1	0	task-0:0.034	|	0.398361	0.120031	0.0176473	

2	0.001	1	0	task-0:0.034	|	0.119442	0.00319978	

3	0	1	0	task-0:0.034	|	0.287648	0.0635108	0.00706255	

2	0	1	0	task-0:0.034	|	0.111013	0.00261152	

3	0	1	0	task-0:0.034	|	0.468152	0.0652904	0.000721638	

2	0	1	0	task-0:0.034	|	0.276828	0.0110085	

2	0	1	0	task-0:0.034	|	0.176509	0.00931475	

2	0	1	0	task-0:0.034	|	0.172343	0.0366669	

2	0	1	0	task-0:0.034	|	0.100512	0.00224615	

3	0.001	1	0	task-0:0.034	|	0.520801	0.12247	0.0142635	

2	0	1	0	task-0:0.034	|	0.0421022	0.000875334	

2	0	1	0	task-0:0.034	|	0.252871	0.01148	

2	0	1	0	task-0:0.034	|	0.334898	0.0290772	

3	0	1	0	task-0:0.034	|	0.419326	0.0976996	0.0114929	

2	0	1	0	task-0:0.034	|	0.0567188	0.00141491	

3	0	1	0	task-0:0.034	|	0.428749	0.143658	0.0220287	

4	0	1	0	task-0:0.034	|	0.597154	0.238651	0.0432749	0.00156296	

2	0.001	1	0	task-0:0.034	|	0.374587	0.0279013	

2	0	1	0	task-0:0.034	|	0.191436	0.00831849	

1	0	1	0	task-0:0.034	|	0.0270001	

2	0	1	0	task-0:0.034	|	0.148712	0.00498002	

3	0	1	0	task-0:0.034	|	0.269401	0.0630867	0.0062767	

2	0	1	0	task-0:0.034	|	0.399283	0.0389048	

2	0	1	0	task-0:0.034	|	0.278328	0.0110834	

3	0	1	0	task-0:0.034	|	0.307867	0.0873657	0.0116385	

3	0	1	0	task-0:0.034	|	0.555681	0.218565	0.0371052	

2	0	1	0	task-0:0.034	|	0.0876452	0.00300988	

3	0	1	0	task-0:0.034	|	0.252174	0.055117	0.00628668	

2	0	1	0	task-0:0.034	|	0.359374	0.0215172	

2	0	1	0	task-0:0.034	|	0.214061	0.0107306	

