3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.101449	0.056325	0.00295807	0.00150948	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.036008	0.0201106	0.00319358	0.00143136	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0567912	0.0284237	0.0022173	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0635474	0.0319589	0.00248946	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0915829	0.0511419	0.00377892	0.00184896	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0847345	0.0449475	0.00256234	0.00133555	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0441351	0.0230991	0.00276899	0.00130861	

3	0.001	0	0	task-3:0.2	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0200037	0.0127253	0.00315287	0.00117822	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.194	|	0.058921	0.0302039	0.00260908	0.00133258	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0481608	0.025615	0.00286485	0.00136636	

3	0.001	0	0	task-3:0.196	task-0:0.034	task-1:0.052	task-2:0.188	|	0.101509	0.0562084	0.00299356	0.0015372	

3	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0092185	0.00693895	0.00301491	0.000961784	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0446587	0.0247637	0.00369713	0.00170037	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0996151	0.0573579	0.00382301	0.00179102	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0310489	0.0180633	0.00330134	0.00141656	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.140534	0.0974754	0.00900198	0.0023383	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0314735	0.0186788	0.00353962	0.00143828	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0564684	0.0295096	0.00279084	0.00138361	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.138865	0.0953689	0.00756254	0.00216637	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0874611	0.0501228	0.00462958	0.00193477	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00970504	0.00725781	0.00309394	0.000997384	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0540366	0.0286936	0.00318267	0.00150041	

2	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.067374	0.0340771	0.00224752	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0341707	0.0190166	0.00291793	0.00127665	

