2	0	0	0	task-0:0.034	|	0.166491	0.00363038	0.00215732	

3	0.001	0	0	task-0:0.034	|	0.0593174	0.0100198	0.00351152	0.00122901	

3	0	0	0	task-0:0.034	|	0.242617	0.00375657	0.00252553	0.00100075	

2	0	0	0	task-0:0.034	|	0.19904	0.00380445	0.00240757	

3	0.001	0	0	task-0:0.034	|	0.260825	0.00388484	0.00257918	0.00099399	

2	0.001	0	0	task-0:0.034	|	0.210195	0.0028982	0.00187534	

2	0.001	0	0	task-0:0.034	|	0.19904	0.00380445	0.00240757	

3	0.001	0	0	task-0:0.034	|	0.260825	0.00388484	0.00257918	0.00099399	

2	0.001	0	0	task-0:0.034	|	0.230106	0.00375589	0.00239611	

2	0	0	0	task-0:0.034	|	0.19904	0.00380445	0.00240757	

3	0	0	0	task-0:0.034	|	0.260825	0.00388484	0.00257918	0.00099399	

2	0	0	0	task-0:0.034	|	0.210195	0.0028982	0.00187534	

3	0	0	0	task-0:0.034	|	0.372647	0.00552654	0.00377241	0.00150077	

3	0	0	0	task-0:0.034	|	0.0951114	0.00637573	0.0028892	0.000876365	

3	0	0	0	task-0:0.034	|	0.0693195	0.0110219	0.00408675	0.00142209	

3	0	0	0	task-0:0.034	|	0.434502	0.00407797	0.00281411	0.00117072	

3	0	0	0	task-0:0.034	|	0.0691901	0.0126192	0.00453062	0.00160306	

3	0	0	0	task-0:0.034	|	0.301995	0.00720758	0.00462129	0.00157692	

3	0.001	0	0	task-0:0.034	|	0.115796	0.00924689	0.00441373	0.00139666	

3	0	0	0	task-0:0.034	|	0.137904	0.00855418	0.00443737	0.00135424	

3	0	0	0	task-0:0.034	|	0.13173	0.0114733	0.00554408	0.00171857	

3	0	0	0	task-0:0.034	|	0.331723	0.00836943	0.00535623	0.00178298	

3	0	0	0	task-0:0.034	|	0.167731	0.0055081	0.00315728	0.000922077	

3	0	0	0	task-0:0.034	|	0.63549	0.0118418	0.00325965	0.00116166	

3	0.001	0	0	task-0:0.034	|	0.379892	0.00504301	0.00338596	0.0013152	

2	0.001	0	0	task-0:0.034	|	0.160113	0.00391645	0.00223199	

2	0.001	0	0	task-0:0.034	|	0.399257	0.00256248	0.00181133	

3	0	0	0	task-0:0.034	|	0.0507602	0.0110411	0.00362863	0.00132263	

3	0	0	0	task-0:0.034	|	0.445053	0.00422799	0.00286978	0.00115201	

2	0	0	0	task-0:0.034	|	0.477111	0.00386122	0.00246093	

3	0	0	0	task-0:0.034	|	0.178228	0.00454128	0.00260677	0.000754224	

3	0.001	0	0	task-0:0.034	|	0.514087	0.00719781	0.00411241	0.00120035	

3	0	0	0	task-0:0.034	|	0.485239	0.00460609	0.00292587	0.00102333	

3	0.001	0	0	task-0:0.034	|	0.679845	0.0197338	0.00373959	0.00162114	

3	0.001	0	0	task-0:0.034	|	0.163545	0.00491857	0.00271466	0.00076408	

2	0	0	0	task-0:0.034	|	0.385374	0.00292495	0.00209013	

3	0	0	0	task-0:0.034	|	0.0481863	0.0109288	0.00346798	0.00126922	

3	0	0	0	task-0:0.034	|	0.411617	0.00480316	0.00325463	0.00129192	

3	0	0	0	task-0:0.034	|	0.36297	0.00499332	0.00338387	0.00133973	

3	0	0	0	task-0:0.034	|	0.282583	0.00462413	0.0031312	0.00124367	

3	0	0	0	task-0:0.034	|	0.0493291	0.0101638	0.00317504	0.00113506	

2	0	0	0	task-0:0.034	|	0.232171	0.00348729	0.00223521	

3	0	0	0	task-0:0.034	|	0.0835904	0.0110838	0.00439475	0.00148888	

1	0	0	0	task-0:0.034	|	0.2364	0.00232105	

3	0	0	0	task-0:0.034	|	0.481533	0.00667523	0.00406603	0.00127889	

3	0	0	0	task-0:0.034	|	0.456093	0.00643587	0.00416446	0.00146684	

1	0	0	0	task-0:0.034	|	0.309711	0.00193548	

3	0	0	0	task-0:0.034	|	0.485239	0.00460609	0.00292587	0.00102333	

3	0	0	0	task-0:0.034	|	0.679845	0.0197338	0.00373959	0.00162114	

3	0.001	0	0	task-0:0.034	|	0.114789	0.00886472	0.00412517	0.00130499	

3	0	0	0	task-0:0.034	|	0.120997	0.00587863	0.00298569	0.000884245	

3	0	0	0	task-0:0.034	|	0.0491565	0.0112299	0.00363298	0.00133642	

3	0	0	0	task-0:0.034	|	0.128303	0.00486387	0.00259906	0.000745385	

3	0	0	0	task-0:0.034	|	0.603906	0.00846223	0.00315626	0.00100952	

3	0	0	0	task-0:0.034	|	0.096774	0.010616	0.00460635	0.00151454	

2	0	0	0	task-0:0.034	|	0.129419	0.00441906	0.00234094	

3	0	0	0	task-0:0.034	|	0.135633	0.00853088	0.00440203	0.00134687	

3	0	0	0	task-0:0.034	|	0.384479	0.00507741	0.00336434	0.00127076	

3	0	0	0	task-0:0.034	|	0.0561816	0.0129064	0.00431137	0.00157811	

3	0	0	0	task-0:0.034	|	0.169944	0.00490895	0.00295889	0.000937956	

