275	0.026	1	0	task-0:0.222	|	0.315068	0.281462	0.277489	0.263637	0.242162	0.239984	0.247893	0.218107	0.216056	0.214011	0.212195	0.211856	0.210728	0.209294	0.20898	0.207861	0.20766	0.206582	0.205376	0.203032	0.202732	0.207304	0.199224	0.198716	0.197918	0.197192	0.196844	0.196593	0.196205	0.195706	0.194755	0.194352	0.197658	0.193154	0.192988	0.192628	0.192258	0.192233	0.191881	0.191701	0.191591	0.191554	0.191496	0.176819	0.156128	0.153313	0.146574	0.139018	0.13401	0.132551	0.128938	0.125787	0.123824	0.12164	0.118372	0.116553	0.113948	0.111298	0.109201	0.107182	0.104362	0.102995	0.10089	0.0985181	0.0969034	0.095281	0.0928331	0.0918177	0.0898415	0.0877697	0.0851366	0.0840682	0.0816689	0.0810135	0.0790922	0.0770014	0.0750236	0.0726451	0.0714383	0.0687031	0.0675425	0.0646067	0.0618457	0.064856	0.0593977	0.0583327	0.0570851	0.0563332	0.0541739	0.052547	0.0546196	0.05068	0.0498083	0.0486444	0.0468334	0.0453677	0.048593	0.043397	0.0428209	0.041909	0.0408373	0.0386582	0.0350773	0.0567652	0.033717	0.0333465	0.032544	0.0307693	0.027514	0.0321971	0.0847571	0.0222401	0.021995	0.0214213	0.0204109	0.0184755	0.0191511	0.0460899	0.0155791	0.0154421	0.0151171	0.0144569	0.0132152	0.0148206	0.0262554	0.0113572	0.011253	0.0110129	0.0105614	0.00995368	0.0111144	0.0100649	0.00926342	0.00919435	0.0090984	0.00893885	0.00859975	0.00877577	0.00858565	0.00845934	0.00828918	0.00825469	0.0081848	0.00802252	0.00770666	0.00721066	0.0102166	0.0127553	0.00636245	0.00630651	0.0061858	0.00591611	0.00547828	0.0055384	0.00581154	0.00511214	0.00509421	0.00504746	0.00490577	0.00462661	0.00441334	0.00704811	0.00421036	0.00419492	0.00416171	0.00409737	0.00398518	0.00380211	0.00706436	0.00394475	0.00337309	0.00337673	0.00333755	0.00325616	0.00311	0.00290472	0.00304438	0.00280898	0.00282673	0.00282499	0.00279705	0.0027322	0.00259912	0.00235027	

119	0.08	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	

119	0.013	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	

119	0.108	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	

119	0.013	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	

119	0.111	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	
