205	0.102	3	0	task-3:0.114	task-0:0.198	task-1:0.126	task-2:0.096	|	0.0754734	0.0577643	0.03619	0.0355132	0.0343163	0.0324234	0.0289313	0.0241591	0.0232211	0.0296652	0.0210563	0.0210511	0.0210691	0.0210668	0.020948	0.0206966	0.0205056	0.0203353	0.0203267	0.0203593	0.0204037	0.0204205	0.0203906	0.0203397	0.0203868	0.0203051	0.0203325	0.0203477	0.0203447	0.0203393	0.0202771	0.0203068	0.0203306	0.0203518	0.0203527	0.020341	0.0203207	0.0204863	0.020158	0.0203024	0.0203101	0.0203165	0.0203082	0.0202921	0.020291	0.020248	0.0203714	0.0202948	0.0202912	0.0202839	0.0202945	0.020303	0.0202928	0.0202716	0.0202937	0.0202861	0.0202751	0.0202054	0.020165	0.0199765	0.0195866	0.0187016	0.016572	0.0119061	0.00761089	0.00626465	0.0042626	0.00348271	0.0029802	0.00283867	0.00265467	0.00243495	

197	0.088	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

197	0.089	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

197	0.09	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

197	0.089	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

197	0.087	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	
