156	0.009	1	0	task-0:0.126	|	0.283648	0.244772	0.244919	0.242663	0.242212	0.241229	0.240086	0.23828	0.237712	0.246256	0.236828	0.236463	0.236498	0.236488	0.236333	0.236285	0.236101	0.236189	0.236135	0.236069	0.236111	0.236047	0.235953	0.18329	0.167254	0.14658	0.138926	0.13053	0.121226	0.116786	0.108674	0.107831	0.101779	0.0965612	0.0892729	0.076718	0.0825073	0.0684923	0.0641644	0.0612449	0.0576274	0.0551453	0.0537315	0.0515006	0.0485428	0.0421151	0.042329	0.0503823	0.0330943	0.0320809	0.0294556	0.0252432	0.0218896	0.0391714	0.0189613	0.0178079	0.0176177	0.0171017	0.0164875	0.015237	0.0144762	0.0135677	0.0131508	0.0129864	0.0123752	0.0114651	0.0114236	0.0107057	0.0102721	0.00976404	0.00882285	0.00716615	0.00576357	0.0260468	0.00489216	0.00473542	0.0045057	0.0043713	0.00425608	0.00399284	0.00350268	0.00294978	0.00565812	0.00257789	0.0024262	

134	0.01	1	0	task-0:0.096	|	0.290196	0.258858	0.257585	0.253102	0.245289	0.242265	0.247024	0.238248	0.237899	0.237348	0.237183	0.236904	0.236814	0.236714	0.236385	0.236445	0.236477	0.23636	0.236303	0.23631	0.192263	0.170776	0.146032	0.121282	0.111978	0.109735	0.104152	0.0905914	0.0689475	0.0764058	0.0522736	0.0490575	0.0372407	0.0335949	0.0278002	0.0237044	0.0213702	0.0185108	0.0165332	0.013114	0.00891302	0.00406561	0.00194389	

90	0.006	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

90	0.075	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

90	0.01	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

90	0.075	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

140	0.017	1	0	task-0:0.128	|	0.280646	0.241067	0.241319	0.240064	0.239833	0.239329	0.238342	0.238712	0.237813	0.23733	0.237265	0.237014	0.236881	0.236738	0.184541	0.169025	0.145044	0.138159	0.126796	0.116273	0.118445	0.11451	0.110566	0.107103	0.0985966	0.0772368	0.115385	0.0620914	0.0576908	0.057285	0.0543057	0.0520138	0.046439	0.0361517	0.0208537	0.0892437	0.0361484	0.0172094	0.0133581	0.0123305	0.0121183	0.011755	0.0112211	0.0100878	0.00821824	0.00967613	0.0146441	0.00615239	0.00596108	0.00570681	0.00554705	0.00552594	0.00532578	0.00506642	0.00490587	0.00487438	0.00470059	0.0044582	0.00432273	0.004185	0.0038835	0.00372706	0.0034657	0.00297971	0.00216983	

90	0.075	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

149	0.015	1	0	task-0:0.154	|	0.287008	0.247482	0.245393	0.245189	0.244148	0.243592	0.242417	0.241686	0.241143	0.239741	0.24002	0.239679	0.238357	0.238222	0.237818	0.237415	0.238032	0.237161	0.237122	0.237062	0.236825	0.236864	0.23686	0.236815	0.236627	0.23667	0.236543	0.236453	0.185943	0.169567	0.148681	0.134746	0.117815	0.108946	0.149534	0.104352	0.102754	0.0989716	0.0877803	0.0759629	0.061462	0.0565755	0.053267	0.0491291	0.0466737	0.0448363	0.041845	0.0401678	0.0372147	0.0358978	0.034458	0.0333742	0.0319533	0.0310735	0.0303145	0.0291623	0.0283627	0.0276596	0.0259253	0.0246115	0.0222835	0.0208085	0.0227856	0.0188267	0.0180196	0.0174163	0.0164081	0.0155773	0.0148499	0.014356	0.0137367	0.0133373	0.0132369	0.0126506	0.0117526	0.0117748	0.0110302	0.0105859	0.0101095	0.00912773	0.00735962	0.00472737	0.00269461	0.10298	0.00229997	

149	0.048	1	0	task-0:0.154	|	0.287008	0.247482	0.245393	0.245189	0.244148	0.243592	0.242417	0.241686	0.241143	0.239741	0.24002	0.239679	0.238357	0.238222	0.237818	0.237415	0.238032	0.237161	0.237122	0.237062	0.236825	0.236864	0.23686	0.236815	0.236627	0.23667	0.236543	0.236453	0.185943	0.169567	0.148681	0.134746	0.117815	0.108946	0.149534	0.104352	0.102754	0.0989716	0.0877803	0.0759629	0.061462	0.0565755	0.053267	0.0491291	0.0466737	0.0448363	0.041845	0.0401678	0.0372147	0.0358978	0.034458	0.0333742	0.0319533	0.0310735	0.0303145	0.0291623	0.0283627	0.0276596	0.0259253	0.0246115	0.0222835	0.0208085	0.0227856	0.0188267	0.0180196	0.0174163	0.0164081	0.0155773	0.0148499	0.014356	0.0137367	0.0133373	0.0132369	0.0126506	0.0117526	0.0117748	0.0110302	0.0105859	0.0101095	0.00912773	0.00735962	0.00472737	0.00269461	0.10298	0.00229997	

149	0.016	1	0	task-0:0.154	|	0.287008	0.247482	0.245393	0.245189	0.244148	0.243592	0.242417	0.241686	0.241143	0.239741	0.24002	0.239679	0.238357	0.238222	0.237818	0.237415	0.238032	0.237161	0.237122	0.237062	0.236825	0.236864	0.23686	0.236815	0.236627	0.23667	0.236543	0.236453	0.185943	0.169567	0.148681	0.134746	0.117815	0.108946	0.149534	0.104352	0.102754	0.0989716	0.0877803	0.0759629	0.061462	0.0565755	0.053267	0.0491291	0.0466737	0.0448363	0.041845	0.0401678	0.0372147	0.0358978	0.034458	0.0333742	0.0319533	0.0310735	0.0303145	0.0291623	0.0283627	0.0276596	0.0259253	0.0246115	0.0222835	0.0208085	0.0227856	0.0188267	0.0180196	0.0174163	0.0164081	0.0155773	0.0148499	0.014356	0.0137367	0.0133373	0.0132369	0.0126506	0.0117526	0.0117748	0.0110302	0.0105859	0.0101095	0.00912773	0.00735962	0.00472737	0.00269461	0.10298	0.00229997	

90	0.043	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

90	0.01	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

134	0.081	1	0	task-0:0.096	|	0.290196	0.258858	0.257585	0.253102	0.245289	0.242265	0.247024	0.238248	0.237899	0.237348	0.237183	0.236904	0.236814	0.236714	0.236385	0.236445	0.236477	0.23636	0.236303	0.23631	0.192263	0.170776	0.146032	0.121282	0.111978	0.109735	0.104152	0.0905914	0.0689475	0.0764058	0.0522736	0.0490575	0.0372407	0.0335949	0.0278002	0.0237044	0.0213702	0.0185108	0.0165332	0.013114	0.00891302	0.00406561	0.00194389	

131	0.014	1	0	task-0:0.122	|	0.358521	0.246004	0.248458	0.243347	0.242747	0.241906	0.241254	0.240099	0.2406	0.239445	0.239024	0.238803	0.238566	0.237923	0.237743	0.238876	0.237118	0.237065	0.236901	0.236524	0.17879	0.17097	0.146049	0.140174	0.129851	0.118927	0.122775	0.117738	0.115136	0.112233	0.103539	0.075798	0.0377528	0.232044	0.0586542	0.366376	0.125725	0.283416	0.1366	0.406503	0.1223	0.248724	0.0511479	0.38911	0.112618	0.224009	0.0230669	0.101244	0.0254692	0.142443	0.0187185	0.020817	0.0163058	0.0160524	0.0154711	0.0142955	0.011916	0.00840727	0.00721258	0.03347	0.00570373	0.00559208	0.00541679	0.00517695	0.0049077	0.00450631	0.00456603	0.00418698	0.00412514	0.0040052	0.0037873	0.00335249	0.00393748	0.00320966	0.00308236	0.0029308	0.00282415	0.00273044	0.00256013	0.00234272	

90	0.074	1	0	task-0:0.112	|	0.27194	0.248614	0.24624	0.243757	0.240255	0.244717	0.238678	0.23843	0.238087	0.237803	0.237306	0.236864	0.237494	0.236685	0.236557	0.236575	0.236572	0.191246	0.168171	0.144139	0.118997	0.111536	0.108915	0.102615	0.0898777	0.0628179	0.0596524	0.0500813	0.0415052	0.0396378	0.0367521	0.0336177	0.0271117	0.016912	0.00848694	0.0129846	0.00702101	0.00663584	0.00586749	0.00462225	0.00333764	0.00199199	

84	0.009	1	0	task-0:0.104	|	0.377861	0.259892	0.26716	0.252666	0.250878	0.247568	0.243783	0.240491	0.241205	0.239279	0.239003	0.238695	0.238011	0.238289	0.237495	0.237312	0.237271	0.237031	0.237019	0.23684	0.19207	0.186537	0.151828	0.126958	0.112618	0.10939	0.102437	0.0857649	0.064652	0.0982708	0.0497809	0.0443043	0.0382033	0.0350102	0.0285406	0.0185485	0.0151214	0.0110344	0.00983576	0.00877319	0.00748823	0.00575826	0.0047831	0.00382354	0.00270977	0.00141063	

112	0.013	1	0	task-0:0.132	|	0.27961	0.24353	0.243946	0.24137	0.241059	0.240266	0.239724	0.239029	0.23846	0.238158	0.238082	0.237864	0.23749	0.237353	0.237165	0.236994	0.236905	0.236752	0.236426	0.236826	0.236313	0.194142	0.172456	0.146861	0.126764	0.114708	0.112264	0.108247	0.0957456	0.0648392	0.0815506	0.0561257	0.0454982	0.0413382	0.0399558	0.0358949	0.0275748	0.0162951	0.0130098	0.0427293	0.00943488	0.00907318	0.00839619	0.00726587	0.00610464	0.00438513	0.00373734	0.00343508	0.00285569	0.00279234	0.00269506	0.00243007	

112	0.077	1	0	task-0:0.132	|	0.27961	0.24353	0.243946	0.24137	0.241059	0.240266	0.239724	0.239029	0.23846	0.238158	0.238082	0.237864	0.23749	0.237353	0.237165	0.236994	0.236905	0.236752	0.236426	0.236826	0.236313	0.194142	0.172456	0.146861	0.126764	0.114708	0.112264	0.108247	0.0957456	0.0648392	0.0815506	0.0561257	0.0454982	0.0413382	0.0399558	0.0358949	0.0275748	0.0162951	0.0130098	0.0427293	0.00943488	0.00907318	0.00839619	0.00726587	0.00610464	0.00438513	0.00373734	0.00343508	0.00285569	0.00279234	0.00269506	0.00243007	

112	0.013	1	0	task-0:0.132	|	0.27961	0.24353	0.243946	0.24137	0.241059	0.240266	0.239724	0.239029	0.23846	0.238158	0.238082	0.237864	0.23749	0.237353	0.237165	0.236994	0.236905	0.236752	0.236426	0.236826	0.236313	0.194142	0.172456	0.146861	0.126764	0.114708	0.112264	0.108247	0.0957456	0.0648392	0.0815506	0.0561257	0.0454982	0.0413382	0.0399558	0.0358949	0.0275748	0.0162951	0.0130098	0.0427293	0.00943488	0.00907318	0.00839619	0.00726587	0.00610464	0.00438513	0.00373734	0.00343508	0.00285569	0.00279234	0.00269506	0.00243007	

