3	0	0	0	task-0:0.034	|	0.530512	0.00558957	0.00277747	0.000750906	

3	0	0	0	task-0:0.034	|	0.115091	0.00645384	0.00297199	0.00083833	

3	0	0	0	task-0:0.034	|	0.673924	0.0226686	0.00272011	0.00123102	

3	0	0	0	task-0:0.034	|	0.0333647	0.0116444	0.00289714	0.00106141	

3	0	0	0	task-0:0.034	|	0.251532	0.00535268	0.00312562	0.00086936	

3	0	0	0	task-0:0.034	|	0.255471	0.00543666	0.00318209	0.000888762	

3	0	0	0	task-0:0.034	|	0.312915	0.00530547	0.00315066	0.000907101	

3	0	0	0	task-0:0.034	|	0.255471	0.00543666	0.00318209	0.000888762	

3	0.001	0	0	task-0:0.034	|	0.312915	0.00530547	0.00315066	0.000907101	

2	0	0	0	task-0:0.034	|	0.35347	0.00346497	0.00225984	

3	0	0	0	task-0:0.034	|	0.177721	0.00865042	0.0040474	0.00113012	

2	0	0	0	task-0:0.034	|	0.309473	0.00250932	0.00168502	

3	0	0	0	task-0:0.034	|	0.077602	0.00870912	0.00320856	0.000993508	

3	0	0	0	task-0:0.034	|	0.0964544	0.00811601	0.00328029	0.00096441	

2	0	0	0	task-0:0.034	|	0.457477	0.00358314	0.00218098	

2	0	0	0	task-0:0.034	|	0.205612	0.00410871	0.00243406	

2	0	0	0	task-0:0.034	|	0.488498	0.00413514	0.00237602	

2	0	0	0	task-0:0.034	|	0.185335	0.0042796	0.00246619	

3	0.001	0	0	task-0:0.034	|	0.27372	0.00623775	0.0035025	0.000914792	

2	0	0	0	task-0:0.034	|	0.346343	0.00337387	0.00221613	

3	0	0	0	task-0:0.034	|	0.373561	0.00427999	0.00270316	0.000901909	

2	0	0	0	task-0:0.034	|	0.193574	0.00405698	0.00240387	

3	0	0	0	task-0:0.034	|	0.582404	0.00991761	0.00399885	0.00117024	

2	0	0	0	task-0:0.034	|	0.216151	0.00296708	0.00184267	

3	0	0	0	task-0:0.034	|	0.0876746	0.00712054	0.00289332	0.000846061	

3	0	0	0	task-0:0.034	|	0.424182	0.00563576	0.00325903	0.000880894	

1	0	0	0	task-0:0.034	|	0.266872	0.00248831	

3	0	0	0	task-0:0.034	|	0.530873	0.00831114	0.00391945	0.00107868	

3	0.001	0	0	task-0:0.034	|	0.0939492	0.00828375	0.00333392	0.00099864	

3	0	0	0	task-0:0.034	|	0.44765	0.00499759	0.00294966	0.000840373	

3	0	0	0	task-0:0.034	|	0.118091	0.0057424	0.00273246	0.000753759	

3	0	0	0	task-0:0.034	|	0.122343	0.0119365	0.00446737	0.00136291	

3	0	0	0	task-0:0.034	|	0.542463	0.00630347	0.00305679	0.000831679	

3	0	0	0	task-0:0.034	|	0.330906	0.00396674	0.00253042	0.000866795	

3	0.001	0	0	task-0:0.034	|	0.17066	0.00713616	0.00351634	0.00095803	

3	0.001	0	0	task-0:0.034	|	0.490248	0.00618795	0.00339387	0.000906752	

3	0.001	0	0	task-0:0.034	|	0.255471	0.00543666	0.00318209	0.000888762	

3	0.001	0	0	task-0:0.034	|	0.077602	0.00870912	0.00320856	0.000993508	

3	0.001	0	0	task-0:0.034	|	0.0964544	0.00811601	0.00328029	0.00096441	

3	0.001	0	0	task-0:0.034	|	0.27372	0.00623775	0.0035025	0.000914792	

2	0	0	0	task-0:0.034	|	0.346343	0.00337387	0.00221613	

3	0	0	0	task-0:0.034	|	0.373561	0.00427999	0.00270316	0.000901909	

2	0	0	0	task-0:0.034	|	0.193574	0.00405698	0.00240387	

3	0	0	0	task-0:0.034	|	0.582404	0.00991761	0.00399885	0.00117024	

2	0	0	0	task-0:0.034	|	0.216151	0.00296708	0.00184267	

3	0	0	0	task-0:0.034	|	0.0876746	0.00712054	0.00289332	0.000846061	

3	0	0	0	task-0:0.034	|	0.542463	0.00630347	0.00305679	0.000831679	

2	0	0	0	task-0:0.034	|	0.506351	0.00473236	0.00244097	

2	0	0	0	task-0:0.034	|	0.309473	0.00250932	0.00168502	

2	0	0	0	task-0:0.034	|	0.488498	0.00413514	0.00237602	

2	0.001	0	0	task-0:0.034	|	0.185335	0.0042796	0.00246619	

3	0.001	0	0	task-0:0.034	|	0.582404	0.00991761	0.00399885	0.00117024	

2	0	0	0	task-0:0.034	|	0.216151	0.00296708	0.00184267	

3	0	0	0	task-0:0.034	|	0.542463	0.00630347	0.00305679	0.000831679	

2	0	0	0	task-0:0.034	|	0.200305	0.00373472	0.00223251	

2	0	0	0	task-0:0.034	|	0.506351	0.00473236	0.00244097	

3	0	0	0	task-0:0.034	|	0.17066	0.00713616	0.00351634	0.00095803	

3	0.001	0	0	task-0:0.034	|	0.490248	0.00618795	0.00339387	0.000906752	

3	0.001	0	0	task-0:0.034	|	0.255471	0.00543666	0.00318209	0.000888762	

3	0	0	0	task-0:0.034	|	0.542463	0.00630347	0.00305679	0.000831679	

