51	0.045	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0265322	2.28113e-005	3.79731e-009	1.76413e-012	8.05464e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.047	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0568803	0.00439878	8.34604e-005	5.29346e-007	1.12083e-009	1.69842e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.045	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.11468	0.0239255	0.0028009	9.45203e-005	1.9847e-006	4.06901e-008	3.011e-010	8.37744e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.132504	0.00445897	1.26377e-006	9.78081e-010	2.11983e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21025e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0272502	0.000675739	1.31664e-005	1.14062e-007	1.309e-010	9.47435e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0962532	0.0210815	0.00171065	9.44237e-005	3.44406e-006	1.82297e-008	1.68426e-011	1.11124e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0667516	0.000518238	4.24115e-006	9.67153e-008	1.04536e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0331957	1.70641e-005	5.93115e-009	1.71777e-011	3.36331e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31964e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

