3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0215415	0.0158279	0.00568595	0.00154058	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0406877	0.0295648	0.00801767	0.00168695	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00432412	0.00369351	0.00231225	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0130813	0.00978118	0.00391697	0.00115937	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0347589	0.0248878	0.00701636	0.00174419	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0304793	0.0217718	0.00603185	0.0014584	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0539007	0.0421245	0.0127915	0.000953812	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00464269	0.00393102	0.00239595	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0431072	0.0317716	0.00896196	0.00170415	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0136857	0.0102063	0.00405341	0.0012111	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0641757	0.0539352	0.0215234	0.000399363	

1	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00252679	0.00228256	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00947942	0.00735678	0.00338707	0.000988708	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0425308	0.0310332	0.00808814	0.0015554	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0183509	0.013719	0.00535099	0.00146243	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0365465	0.0263774	0.00689823	0.00140792	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0335439	0.0238893	0.0066957	0.00175412	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0380838	0.0275334	0.00741241	0.00163319	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0185044	0.0133584	0.00458076	0.00136568	

3	0.187	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0302988	0.0212469	0.00556866	0.00146154	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.023047	0.0167635	0.00572491	0.00155258	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0584218	0.047245	0.0160126	0.000404308	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0339651	0.0240752	0.00647387	0.00166358	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0109135	0.00833696	0.00362987	0.00107247	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.019292	0.0138614	0.00455908	0.00130751	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00795215	0.00643006	0.0033922	0.000985157	

3	0.171	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0132081	0.00975351	0.00371451	0.00108236	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0594992	0.0482403	0.0165848	0.000433339	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0494279	0.0376252	0.0106557	0.00127229	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0182483	0.0131759	0.00454195	0.00134663	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0594992	0.0482403	0.0165848	0.000433339	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0494279	0.0376252	0.0106557	0.00127229	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0182483	0.0131759	0.00454195	0.00134663	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.020315	0.0144395	0.00457043	0.00133128	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00533554	0.0044382	0.00256044	0.000723755	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0290732	0.0205502	0.00545906	0.00132918	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00541463	0.0045757	0.00277041	0.000857206	

3	0.016	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0371863	0.0266314	0.00711133	0.00170386	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0132081	0.00975351	0.00371451	0.00108236	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0530613	0.0411785	0.0122095	0.00105855	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.023047	0.0167635	0.00572491	0.00155258	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0538612	0.0421828	0.0128133	0.000875858	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00728142	0.00583527	0.00297354	0.000829662	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00322037	0.00283887	0.00195357	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0278209	0.0203596	0.00687695	0.00171957	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0127936	0.00970162	0.00409965	0.00120578	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0545697	0.0428385	0.0131527	0.000897268	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0471446	0.0352744	0.00959023	0.00142516	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0197569	0.0145424	0.00529644	0.00144434	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0702097	0.0612574	0.0290817	0.000732832	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00316041	0.00280907	0.00198006	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0169955	0.0127217	0.00504222	0.00143824	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.051579	0.0395884	0.0115875	0.00130618	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00638235	0.00526172	0.00295377	0.000850054	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0251853	0.0176995	0.00494568	0.00134206	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00644983	0.00527475	0.00288669	0.000828252	

3	0.016	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0339491	0.0239954	0.00623666	0.00155744	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00454475	0.00390015	0.00247264	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.01006	0.00774793	0.00347357	0.00101897	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0107544	0.00815152	0.00343344	0.000989214	

