3	0	0	0	task-0:0.034	|	0.203064	0.010201	0.00451951	0.00128244	

3	0	0	0	task-0:0.034	|	0.370489	0.00489976	0.00266917	0.000672883	

3	0	0	0	task-0:0.034	|	0.230817	0.00896389	0.00425044	0.00117554	

3	0	0	0	task-0:0.034	|	0.450639	0.00644808	0.00314043	0.000833222	

3	0	0	0	task-0:0.034	|	0.0689749	0.0124276	0.00367675	0.00121785	

3	0	0	0	task-0:0.034	|	0.382465	0.00636636	0.00327701	0.000868841	

2	0	0	0	task-0:0.034	|	0.705031	0.0524781	0.00101008	

3	0	0	0	task-0:0.034	|	0.144276	0.00689729	0.00301274	0.000819592	

3	0	0	0	task-0:0.034	|	0.242594	0.00525182	0.00277731	0.000708121	

3	0	0	0	task-0:0.034	|	0.191887	0.0102844	0.00448381	0.00127948	

3	0	0	0	task-0:0.034	|	0.510961	0.0100499	0.00412287	0.00119258	

3	0	0	0	task-0:0.034	|	0.0861195	0.00993864	0.00334595	0.00102407	

3	0	0	0	task-0:0.034	|	0.459506	0.00711611	0.0033118	0.000898902	

3	0	0	0	task-0:0.034	|	0.225596	0.00559811	0.00286114	0.000737128	

3	0	0	0	task-0:0.034	|	0.0823608	0.0102275	0.00337337	0.00104523	

3	0	0	0	task-0:0.034	|	0.164333	0.00847598	0.00376416	0.00105755	

3	0	0	0	task-0:0.034	|	0.618583	0.0209699	0.00373404	0.00145161	

3	0	0	0	task-0:0.034	|	0.315012	0.00510646	0.00280265	0.000715734	

3	0	0	0	task-0:0.034	|	0.630787	0.0237835	0.00324672	0.00136746	

3	0	0	0	task-0:0.034	|	0.103787	0.0103219	0.00365656	0.00110823	

3	0	0	0	task-0:0.034	|	0.392757	0.00524927	0.00276155	0.000702525	

3	0.078	0	0	task-0:0.034	|	0.298569	0.00542012	0.00295471	0.000762287	

3	0	0	0	task-0:0.034	|	0.269256	0.00504495	0.00277551	0.000705429	

3	0	0	0	task-0:0.034	|	0.147669	0.00708952	0.00314021	0.000858543	

3	0	0	0	task-0:0.034	|	0.178658	0.00680952	0.0032583	0.000879847	

3	0	0	0	task-0:0.034	|	0.370489	0.00489976	0.00266917	0.000672883	

3	0	0	0	task-0:0.034	|	0.230817	0.00896389	0.00425044	0.00117554	

3	0	0	0	task-0:0.034	|	0.450639	0.00644808	0.00314043	0.000833222	

3	0	0	0	task-0:0.034	|	0.0689749	0.0124276	0.00367675	0.00121785	

3	0	0	0	task-0:0.034	|	0.382465	0.00636636	0.00327701	0.000868841	

2	0	0	0	task-0:0.034	|	0.705031	0.0524781	0.00101008	

3	0	0	0	task-0:0.034	|	0.144276	0.00689729	0.00301274	0.000819592	

3	0	0	0	task-0:0.034	|	0.242594	0.00525182	0.00277731	0.000708121	

3	0	0	0	task-0:0.034	|	0.191887	0.0102844	0.00448381	0.00127948	

3	0	0	0	task-0:0.034	|	0.510961	0.0100499	0.00412287	0.00119258	

3	0	0	0	task-0:0.034	|	0.0861195	0.00993864	0.00334595	0.00102407	

3	0	0	0	task-0:0.034	|	0.459506	0.00711611	0.0033118	0.000898902	

3	0	0	0	task-0:0.034	|	0.225596	0.00559811	0.00286114	0.000737128	

3	0	0	0	task-0:0.034	|	0.0823608	0.0102275	0.00337337	0.00104523	

3	0	0	0	task-0:0.034	|	0.164333	0.00847598	0.00376416	0.00105755	

3	0	0	0	task-0:0.034	|	0.618583	0.0209699	0.00373404	0.00145161	

3	0	0	0	task-0:0.034	|	0.315012	0.00510646	0.00280265	0.000715734	

3	0	0	0	task-0:0.034	|	0.630787	0.0237835	0.00324672	0.00136746	

3	0	0	0	task-0:0.034	|	0.103787	0.0103219	0.00365656	0.00110823	

3	0	0	0	task-0:0.034	|	0.370489	0.00489976	0.00266917	0.000672883	

3	0	0	0	task-0:0.034	|	0.230817	0.00896389	0.00425044	0.00117554	

3	0	0	0	task-0:0.034	|	0.450639	0.00644808	0.00314043	0.000833222	

3	0	0	0	task-0:0.034	|	0.0689749	0.0124276	0.00367675	0.00121785	

3	0	0	0	task-0:0.034	|	0.382465	0.00636636	0.00327701	0.000868841	

2	0	0	0	task-0:0.034	|	0.705031	0.0524781	0.00101008	

3	0	0	0	task-0:0.034	|	0.144276	0.00689729	0.00301274	0.000819592	

3	0	0	0	task-0:0.034	|	0.242594	0.00525182	0.00277731	0.000708121	

3	0	0	0	task-0:0.034	|	0.191887	0.0102844	0.00448381	0.00127948	

3	0	0	0	task-0:0.034	|	0.510961	0.0100499	0.00412287	0.00119258	

3	0	0	0	task-0:0.034	|	0.0861195	0.00993864	0.00334595	0.00102407	

3	0	0	0	task-0:0.034	|	0.459506	0.00711611	0.0033118	0.000898902	

3	0	0	0	task-0:0.034	|	0.225596	0.00559811	0.00286114	0.000737128	

3	0	0	0	task-0:0.034	|	0.0823608	0.0102275	0.00337337	0.00104523	

3	0	0	0	task-0:0.034	|	0.164333	0.00847598	0.00376416	0.00105755	

3	0	0	0	task-0:0.034	|	0.618583	0.0209699	0.00373404	0.00145161	

