3	0.016	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0266013	0.0188181	0.00566699	0.00170082	

3	0.016	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0253689	0.0176559	0.00494135	0.0014868	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0733998	0.0653135	0.0339401	0.000989375	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0733998	0.0653135	0.0339401	0.000989375	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00976503	0.00757693	0.00351311	0.00107947	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0093022	0.00719881	0.00330422	0.0010051	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0198191	0.0142054	0.00476694	0.00147479	

0	0	0	0	task-3:0.226	task-0:0.034	task-1:0.592	task-2:0.806	|	0.00193929	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0733998	0.0653135	0.0339401	0.000989375	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0304342	0.0213559	0.00598742	0.00180546	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00595709	0.00498813	0.0029501	0.00090784	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0412977	0.0296509	0.00728546	0.00159695	

0	0	0	0	task-3:0.226	task-0:0.034	task-1:0.808	task-2:0.522	|	0.00162006	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0364127	0.025714	0.00621033	0.00147042	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0256172	0.0180035	0.00529339	0.00159658	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0438747	0.031951	0.00843454	0.00187637	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0304342	0.0213559	0.00598742	0.00180546	

