3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0349209	0.0279954	0.0123272	0.00151022	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0254436	0.0202418	0.00919469	0.00165055	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0129551	0.0106295	0.00570375	0.00134291	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0159973	0.0129505	0.00656478	0.00146613	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00745815	0.00639883	0.00401635	0.00129812	

3	0.016	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0148371	0.0120055	0.00610818	0.0014132	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0282299	0.0224392	0.009933	0.0015747	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0205421	0.0163016	0.00753708	0.00156974	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.025362	0.0202233	0.00926514	0.00164186	

3	0.016	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0519871	0.0437999	0.021156	0.00134216	

3	0	0	0	task-3:0.172	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0208941	0.0166415	0.0077951	0.00160672	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0174752	0.0141677	0.00712574	0.00144222	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0375616	0.0300672	0.0128481	0.00141773	

3	0.015	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.04588	0.038	0.0178532	0.00128524	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.035727	0.0284722	0.0121117	0.0014924	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0129012	0.0105565	0.00561226	0.00132453	

3	0	0	0	task-3:0.21	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00775297	0.00662461	0.00410304	0.00127983	

4	0.016	0	0	task-3:0.212	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0635781	0.0563532	0.0327224	0.00288788	0.00113171	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0198492	0.0158721	0.00757486	0.0015755	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0101787	0.00850662	0.00488723	0.0012352	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0113703	0.00943189	0.00525776	0.00123366	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0500526	0.0421626	0.0208459	0.00154665	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0205702	0.0163621	0.00764382	0.00159914	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0434941	0.0355215	0.0158779	0.00108042	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0381695	0.0310097	0.0140335	0.00126508	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0301335	0.0237922	0.0101712	0.00163712	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0231345	0.018372	0.00840759	0.00163661	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0317504	0.025491	0.0115294	0.00155864	

3	0.016	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0153002	0.0123987	0.00630858	0.00140453	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0110703	0.00918638	0.0051464	0.00124548	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0377696	0.0302537	0.0129431	0.00140503	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00386373	0.00348128	0.0025481	0.00122107	

3	0.015	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0155307	0.0125371	0.00631371	0.00144914	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0321178	0.0254544	0.0108636	0.00157335	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0181647	0.014574	0.00707275	0.00149368	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0083158	0.00711518	0.00441382	0.00136493	

3	0.016	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00532349	0.00469633	0.00321977	0.00130803	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0113073	0.00937938	0.00524184	0.00125811	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0284014	0.0225289	0.00988756	0.00158716	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0431174	0.035092	0.0154428	0.00108051	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0186529	0.0148674	0.00706222	0.00154218	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0529766	0.0449691	0.0225392	0.00161402	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0563371	0.0486245	0.0258166	0.00197248	

4	0	0	0	task-3:0.216	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0627909	0.0554727	0.031787	0.00270522	0.00109614	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00598912	0.00524148	0.00350352	0.00133194	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0475312	0.0398532	0.0196473	0.00154775	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0467445	0.0385667	0.0175344	0.00107219	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0342623	0.0272548	0.0116633	0.00156072	

