3	0.063	0	0	task-0:0.034	|	0.375225	0.00432617	0.00280025	0.000981549	

3	0	0	0	task-0:0.034	|	0.194069	0.00627314	0.00347938	0.000919342	

3	0	0	0	task-0:0.034	|	0.142984	0.00676441	0.00342975	0.000945813	

3	0	0	0	task-0:0.034	|	0.179473	0.00556097	0.00310184	0.000819042	

2	0	0	0	task-0:0.034	|	0.40158	0.00386475	0.00238917	

3	0	0	0	task-0:0.034	|	0.566237	0.00931221	0.00433815	0.00121276	

2	0	0	0	task-0:0.034	|	0.364623	0.00258168	0.00174828	

2	0	0	0	task-0:0.034	|	0.344323	0.00294898	0.00200836	

3	0	0	0	task-0:0.034	|	0.279395	0.00414012	0.00266956	0.00093192	

3	0	0	0	task-0:0.034	|	0.194069	0.00627314	0.00347938	0.000919342	

3	0	0	0	task-0:0.034	|	0.142984	0.00676441	0.00342975	0.000945813	

3	0	0	0	task-0:0.034	|	0.179473	0.00556097	0.00310184	0.000819042	

2	0	0	0	task-0:0.034	|	0.40158	0.00386475	0.00238917	

3	0	0	0	task-0:0.034	|	0.0578846	0.0111748	0.00354919	0.00118645	

3	0	0	0	task-0:0.034	|	0.354753	0.00544787	0.00334678	0.00102962	

3	0	0	0	task-0:0.034	|	0.0514414	0.0127428	0.00367402	0.00127386	

2	0	0	0	task-0:0.034	|	0.310482	0.00310898	0.00210966	

3	0	0	0	task-0:0.034	|	0.0430856	0.0134626	0.00353469	0.00126967	

3	0	0	0	task-0:0.034	|	0.637416	0.0147681	0.00409864	0.00142719	

2	0	0	0	task-0:0.034	|	0.196812	0.0032059	0.00200933	

3	0	0	0	task-0:0.034	|	0.474537	0.00446598	0.00269691	0.000820043	

2	0	0	0	task-0:0.034	|	0.184764	0.00338184	0.00206971	

3	0	0	0	task-0:0.034	|	0.0729223	0.0135833	0.00423825	0.00139936	

3	0	0	0	task-0:0.034	|	0.176933	0.00645667	0.00349922	0.000933002	

3	0	0	0	task-0:0.034	|	0.134259	0.00675306	0.00336592	0.000935913	

3	0	0	0	task-0:0.034	|	0.0274204	0.0115206	0.00279824	0.00105081	

2	0	0	0	task-0:0.034	|	0.447335	0.00355411	0.00214622	

2	0	0	0	task-0:0.034	|	0.456559	0.00378956	0.00237984	

3	0	0	0	task-0:0.034	|	0.110566	0.00628357	0.00272031	0.000760114	

1	0	0	0	task-0:0.034	|	0.366308	0.0024155	

3	0	0	0	task-0:0.034	|	0.102059	0.0110105	0.00427076	0.00129362	

3	0	0	0	task-0:0.034	|	0.290103	0.00716287	0.00405527	0.00103788	

3	0	0	0	task-0:0.034	|	0.597764	0.0100818	0.0039368	0.00119063	

2	0	0	0	task-0:0.034	|	0.310482	0.00310898	0.00210966	

2	0	0	0	task-0:0.034	|	0.310482	0.00310898	0.00210966	

2	0	0	0	task-0:0.034	|	0.310482	0.00310898	0.00210966	

3	0	0	0	task-0:0.034	|	0.0430856	0.0134626	0.00353469	0.00126967	

3	0	0	0	task-0:0.034	|	0.637416	0.0147681	0.00409864	0.00142719	

2	0	0	0	task-0:0.034	|	0.196812	0.0032059	0.00200933	

3	0.016	0	0	task-0:0.034	|	0.474537	0.00446598	0.00269691	0.000820043	

2	0	0	0	task-0:0.034	|	0.231777	0.00326613	0.00212302	

3	0	0	0	task-0:0.034	|	0.55422	0.00755473	0.00335396	0.00095491	

2	0	0	0	task-0:0.034	|	0.470506	0.00380833	0.00231606	

3	0	0	0	task-0:0.034	|	0.566237	0.00931221	0.00433815	0.00121276	

2	0	0	0	task-0:0.034	|	0.364623	0.00258168	0.00174828	

2	0	0	0	task-0:0.034	|	0.344323	0.00294898	0.00200836	

3	0	0	0	task-0:0.034	|	0.279395	0.00414012	0.00266956	0.00093192	

3	0	0	0	task-0:0.034	|	0.194069	0.00627314	0.00347938	0.000919342	

3	0	0	0	task-0:0.034	|	0.142984	0.00676441	0.00342975	0.000945813	

3	0	0	0	task-0:0.034	|	0.412385	0.00436642	0.00279131	0.000953179	

3	0	0	0	task-0:0.034	|	0.265038	0.00520318	0.00315278	0.000949121	

3	0	0	0	task-0:0.034	|	0.322271	0.00662063	0.0038432	0.00102902	

3	0	0	0	task-0:0.034	|	0.399464	0.00433914	0.0027857	0.000960153	

2	0	0	0	task-0:0.034	|	0.313248	0.00251551	0.00173076	

3	0	0	0	task-0:0.034	|	0.0279835	0.0111082	0.00275281	0.00102647	

2	0	0	0	task-0:0.034	|	0.28398	0.00310586	0.00207035	

3	0	0	0	task-0:0.034	|	0.204019	0.0102347	0.00475461	0.00130792	

3	0	0	0	task-0:0.034	|	0.505093	0.005632	0.00316893	0.000837035	

2	0	0	0	task-0:0.034	|	0.177404	0.00371189	0.0022147	

3	0	0	0	task-0:0.034	|	0.121382	0.00945804	0.00410799	0.00119076	

