52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0102958	0.00044515	7.58599e-006	5.25944e-008	1.55641e-010	4.67446e-014	0	0	0	0	0	1.99481e-015	0	0	0	0	1.17155e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0603715	0.000728485	7.40333e-006	7.14056e-008	1.07447e-010	2.40034e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0444337	0.000816566	3.89768e-006	1.03622e-007	1.06288e-010	0	0	0	0	0	0	0	0	0	0	0	0	4.07057e-015	0	0	0	0	0	0	0	1.63019e-014	0	9.96172e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0335928	0.00178457	5.05732e-005	9.31911e-007	6.87461e-008	1.79132e-010	5.33157e-015	0	0	0	0	0	0	0	0	2.40695e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.02565	0.000167954	2.53278e-007	6.09642e-010	3.7296e-013	0	0	1.66627e-014	0	2.42412e-015	0	0	4.13054e-015	0	0	0	0	3.70535e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00718888	4.03353e-005	7.19768e-008	2.16034e-010	3.94421e-014	0	0	0	0	0	0	0	0	0	0	0	0	7.83902e-015	0	0	0	0	0	0	0	2.51445e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0224619	0.000577978	9.90815e-006	1.18111e-007	1.87642e-010	1.1027e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0148102	9.17816e-005	1.78482e-007	5.84074e-010	2.2235e-011	4.42304e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54392e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0244387	0.000353818	7.59073e-006	7.20712e-008	6.75766e-010	3.67763e-013	0	1.02319e-014	0	0	0	0	4.22642e-015	0	0	0	0	0	1.93793e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0167418	0.000155026	7.29391e-007	1.24781e-008	1.16225e-011	0	0	0	0	0	1.2013e-014	0	7.89817e-015	0	2.035e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0481926	0.000780748	2.01551e-005	5.08809e-007	8.35654e-009	7.87084e-012	0	0	0	2.32928e-015	0	0	0	0	0	6.53333e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93332e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0125839	0.000180895	2.43767e-006	2.70347e-007	1.62138e-009	1.33545e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39125e-015	0	0	0	0	0	0	0	0	6.55904e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0480579	0.00598565	0.000137185	7.83693e-007	1.4828e-009	8.37128e-013	0	2.45006e-014	7.53724e-015	0	0	0	2.36213e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

