241	0.142	3	0	task-3:0.098	task-0:0.212	task-1:0.12	task-2:0.116	|	0.111325	0.0773913	0.0531811	0.0522079	0.0519166	0.0517711	0.0517455	0.0516964	0.0516191	0.051595	0.0515703	0.0515659	0.0515656	0.0515645	0.0515624	0.0515625	0.0515655	0.0515576	0.0515556	0.0515551	0.051555	0.0515552	0.0515544	0.0515541	0.051555	0.0515544	0.0515555	0.051556	0.0515559	0.0515559	0.0514231	0.0513152	0.0510096	0.0503926	0.0494628	0.0505781	0.048967	0.0488434	0.0488126	0.0486941	0.0484434	0.0480789	0.0476152	0.0506343	0.0491887	0.0472017	0.0469759	0.0469029	0.0468793	0.0468295	0.0467139	0.0467076	0.0466159	0.0466057	0.0466077	0.0465672	0.046525	0.0465209	0.0459109	0.0453494	0.0437907	0.0420727	0.0409505	0.0409143	0.0404154	0.0392199	0.0368944	0.0326885	0.036619	0.0308375	0.0289482	0.0282735	0.0275624	0.0272693	0.0270315	0.0264486	0.0250883	0.0235385	0.0230973	0.0223293	0.021503	0.0212213	0.0211372	0.0211052	0.020823	0.0201526	0.0193826	0.0184306	0.0185851	0.0179268	0.0175293	0.017366	0.0171062	0.016535	0.0158538	0.0145581	0.0123002	0.0104622	0.0428013	0.0137849	0.101251	0.00877364	0.00881454	0.00874485	0.00861379	0.00858116	0.00851808	0.00839325	0.0081161	0.00819907	0.00924342	0.0077089	0.0076694	0.00758686	0.00744897	0.00718013	0.00667628	0.00579225	0.00439737	0.0442661	0.00510405	0.0104419	0.00433391	0.00425966	0.00419529	0.0041852	0.00416388	0.00411432	0.00400939	0.0037947	0.00339794	0.00273832	0.00372524	0.0763055	0.00195199	

328	0.176	2	0	task-3:0.102	task-0:0.094	task-1:0.146	task-2:0.09	|	0.0689999	0.0587117	0.0520946	0.0520406	0.051932	0.051758	0.0516502	0.0516364	0.0516119	0.0516063	0.0515982	0.0515895	0.0515811	0.0515845	0.0515843	0.0513719	0.0512299	0.0508548	0.0501201	0.0490331	0.0479969	0.0474633	0.0472987	0.0471649	0.0469117	0.0464823	0.0459167	0.0456547	0.0497131	0.0457012	0.0456118	0.0456136	0.0456099	0.0455978	0.045572	0.0455236	0.04545	0.0458901	0.0451313	0.044762	0.0441328	0.0433176	0.0428262	0.0426419	0.0425746	0.0425144	0.0423883	0.042368	0.0423437	0.0422514	0.0422376	0.0422078	0.0421508	0.0420692	0.0422318	0.0420541	0.042037	0.0420164	0.0420165	0.0412868	0.0408003	0.0394655	0.0370519	0.0347571	0.0333388	0.035277	0.0321233	0.0318908	0.031491	0.0308078	0.0302396	0.0291909	0.0283488	0.0285494	0.027532	0.0273335	0.0269773	0.0264317	0.0260766	0.0254996	0.0252151	0.0248941	0.0247283	0.0243768	0.0237102	0.0228755	0.0240526	0.0221024	0.0219229	0.0215707	0.0209971	0.0206182	0.0201844	0.0199182	0.0195736	0.0191803	0.0184129	0.0170887	0.0180626	0.0285431	0.015412	0.0153156	0.0151798	0.015024	0.0148898	0.0146909	0.014438	0.0141791	0.0139322	0.0141519	0.0136948	0.0136107	0.0134338	0.0130891	0.0124183	0.0111901	0.0108854	0.0382466	0.00977611	0.00967475	0.00948113	0.00944577	0.00937537	0.00923019	0.00894907	0.00844952	0.00770275	0.0112078	0.0154793	0.00702036	0.00701306	0.00700687	0.00698164	0.00692917	0.00683736	0.00667564	0.00648082	0.00623454	0.00759615	0.00614908	0.00612988	0.00610594	0.00605353	0.00596101	0.00585767	0.00572423	0.00650602	0.00561076	0.00559309	0.00557413	0.00552675	0.0054385	0.00533276	0.00514387	0.00552748	0.00510257	0.00496271	0.00494396	0.00492063	0.00487945	0.00484217	0.0048141	0.0048077	0.00478648	0.00476132	0.00474069	0.00470068	0.00466332	0.00461763	0.00454001	0.00456234	0.00448376	0.00447061	0.00445884	0.00442331	0.0044029	0.0043798	0.00434771	0.0043036	0.00431384	0.00426404	0.00424235	0.00420566	0.00416203	0.00409653	0.00399649	0.00431821	0.0039461	0.00392183	0.00392106	0.003909	0.00388281	0.00383304	0.00376429	0.00364073	0.00368221	0.00555453	0.00340994	0.00339792	0.00337384	0.00332776	0.00323677	0.00327153	0.00326763	0.00314399	0.00313678	0.00312353	0.00308865	0.00304937	0.00297215	0.00282461	0.00255609	0.00210778	

328	0.189	2	0	task-3:0.102	task-0:0.094	task-1:0.146	task-2:0.09	|	0.0689999	0.0587117	0.0520946	0.0520406	0.051932	0.051758	0.0516502	0.0516364	0.0516119	0.0516063	0.0515982	0.0515895	0.0515811	0.0515845	0.0515843	0.0513719	0.0512299	0.0508548	0.0501201	0.0490331	0.0479969	0.0474633	0.0472987	0.0471649	0.0469117	0.0464823	0.0459167	0.0456547	0.0497131	0.0457012	0.0456118	0.0456136	0.0456099	0.0455978	0.045572	0.0455236	0.04545	0.0458901	0.0451313	0.044762	0.0441328	0.0433176	0.0428262	0.0426419	0.0425746	0.0425144	0.0423883	0.042368	0.0423437	0.0422514	0.0422376	0.0422078	0.0421508	0.0420692	0.0422318	0.0420541	0.042037	0.0420164	0.0420165	0.0412868	0.0408003	0.0394655	0.0370519	0.0347571	0.0333388	0.035277	0.0321233	0.0318908	0.031491	0.0308078	0.0302396	0.0291909	0.0283488	0.0285494	0.027532	0.0273335	0.0269773	0.0264317	0.0260766	0.0254996	0.0252151	0.0248941	0.0247283	0.0243768	0.0237102	0.0228755	0.0240526	0.0221024	0.0219229	0.0215707	0.0209971	0.0206182	0.0201844	0.0199182	0.0195736	0.0191803	0.0184129	0.0170887	0.0180626	0.0285431	0.015412	0.0153156	0.0151798	0.015024	0.0148898	0.0146909	0.014438	0.0141791	0.0139322	0.0141519	0.0136948	0.0136107	0.0134338	0.0130891	0.0124183	0.0111901	0.0108854	0.0382466	0.00977611	0.00967475	0.00948113	0.00944577	0.00937537	0.00923019	0.00894907	0.00844952	0.00770275	0.0112078	0.0154793	0.00702036	0.00701306	0.00700687	0.00698164	0.00692917	0.00683736	0.00667564	0.00648082	0.00623454	0.00759615	0.00614908	0.00612988	0.00610594	0.00605353	0.00596101	0.00585767	0.00572423	0.00650602	0.00561076	0.00559309	0.00557413	0.00552675	0.0054385	0.00533276	0.00514387	0.00552748	0.00510257	0.00496271	0.00494396	0.00492063	0.00487945	0.00484217	0.0048141	0.0048077	0.00478648	0.00476132	0.00474069	0.00470068	0.00466332	0.00461763	0.00454001	0.00456234	0.00448376	0.00447061	0.00445884	0.00442331	0.0044029	0.0043798	0.00434771	0.0043036	0.00431384	0.00426404	0.00424235	0.00420566	0.00416203	0.00409653	0.00399649	0.00431821	0.0039461	0.00392183	0.00392106	0.003909	0.00388281	0.00383304	0.00376429	0.00364073	0.00368221	0.00555453	0.00340994	0.00339792	0.00337384	0.00332776	0.00323677	0.00327153	0.00326763	0.00314399	0.00313678	0.00312353	0.00308865	0.00304937	0.00297215	0.00282461	0.00255609	0.00210778	

405	0.231	3	0	task-3:0.088	task-0:0.164	task-1:0.116	task-2:0.102	|	0.0975202	0.0699754	0.0526319	0.052089	0.0519188	0.0518716	0.0518572	0.0518327	0.0517839	0.0517002	0.0516408	0.0519448	0.0516045	0.0516015	0.0515986	0.0513948	0.0512612	0.0508961	0.0501452	0.0489179	0.0475127	0.0471067	0.0469585	0.0467078	0.0462815	0.0458712	0.0458273	0.0481415	0.0456415	0.0455196	0.045504	0.0454695	0.0453971	0.0452425	0.0449568	0.0445314	0.0437429	0.0431417	0.0429989	0.0428679	0.0428077	0.0428081	0.0427883	0.0427514	0.0426651	0.0425065	0.0425035	0.0425809	0.0423376	0.0423238	0.0422902	0.0422324	0.0422572	0.0421934	0.0421633	0.0421584	0.0421445	0.0421114	0.042054	0.0423605	0.0420576	0.0420352	0.042031	0.0415844	0.0411907	0.0402074	0.0385004	0.0364162	0.0348871	0.0338787	0.0338905	0.0332746	0.0320237	0.0295875	0.0251764	0.0358575	0.025022	0.0244642	0.0239982	0.0237171	0.0228975	0.0211859	0.0196071	0.0253923	0.0185045	0.0182326	0.0178281	0.0174719	0.0171529	0.01644	0.0153527	0.0134396	0.0150758	0.0288943	0.0111658	0.0109233	0.0108204	0.0107811	0.0107342	0.0107017	0.010559	0.0103487	0.0102816	0.0102634	0.0101536	0.00996471	0.00984307	0.00962625	0.00934462	0.00942923	0.00925338	0.00911784	0.00905786	0.00893195	0.00876398	0.00852515	0.00845448	0.0082627	0.00823084	0.00821436	0.00817349	0.00806006	0.00784144	0.00773228	0.00760812	0.00753301	0.0074986	0.0074359	0.00730917	0.00704605	0.00654526	0.00605412	0.0179795	0.00574845	0.00571309	0.0056612	0.00563989	0.00562063	0.00555183	0.00542432	0.00541303	0.00528672	0.0052719	0.00526021	0.00523289	0.0051585	0.0050043	0.00472127	0.00599439	0.00472927	0.00470168	0.00465888	0.00461367	0.00460564	0.00462219	0.0046052	0.00456618	0.00452902	0.00452518	0.00451694	0.00451476	0.0544736	0.00455907	0.00454394	0.00448903	0.00441377	0.00439799	0.00439667	0.00439243	0.00438902	0.0043847	0.00433979	0.00427147	0.00427528	0.00427576	0.00425702	0.00421556	0.00416707	0.00415931	0.00416321	0.00413401	0.00408162	0.00405401	0.0539958	0.00439433	0.00423634	0.00398774	0.00394006	0.00391132	0.00390408	0.00390163	0.003884	0.00384087	0.003748	0.00356381	0.00322651	0.00654913	0.00315591	0.00315726	0.00314631	0.00312945	0.00309743	0.0030766	0.00306974	0.00306386	0.00302918	0.00296878	0.00300967	0.00295833	0.00294033	0.0029052	0.00287704	0.0028225	0.00270397	0.00309603	0.00271593	0.00270254	0.00267693	0.00265781	0.00265709	0.00265759	0.00266829	0.00265545	0.00262981	0.00260254	0.00259928	0.00260042	0.00257325	0.00253549	0.00253833	0.00254642	0.00253825	0.00251884	0.00248865	

276	0.162	3	0	task-3:0.094	task-0:0.14	task-1:0.128	task-2:0.12	|	0.0559681	0.0543572	0.0526062	0.0524777	0.0522569	0.0519602	0.0516571	0.0518122	0.0516268	0.0516183	0.0516081	0.0515933	0.051588	0.0515815	0.0515876	0.0515763	0.0515776	0.0515756	0.0515748	0.0515745	0.0515739	0.0515727	0.0515714	0.0515711	0.0515705	0.0515692	0.0515688	0.0515678	0.0514353	0.051312	0.0509685	0.0502669	0.0491232	0.0477777	0.0471991	0.0467152	0.0468461	0.0463011	0.0462144	0.0460941	0.045905	0.0458924	0.0458701	0.0457991	0.0457566	0.0457379	0.0457265	0.0456677	0.0455483	0.0454211	0.0451535	0.0447369	0.0440336	0.0433506	0.0430142	0.0429127	0.0428783	0.0428105	0.0427415	0.0425994	0.0424075	0.0423469	0.0437494	0.0421782	0.0421234	0.0421217	0.0421187	0.0421162	0.0420923	0.0420731	0.042062	0.0420211	0.0421178	0.0420313	0.0420172	0.0420029	0.041512	0.0410948	0.0398906	0.0376067	0.0349097	0.030694	0.0301246	0.0389945	0.0258299	0.0253351	0.0248012	0.0239116	0.0225487	0.0220343	0.0210177	0.0206632	0.0201405	0.019404	0.0188121	0.0176737	0.0158035	0.0175032	0.0159225	0.0139949	0.0138459	0.0135173	0.0130948	0.012277	0.0108215	0.00848483	0.00919153	0.0456861	0.0162065	0.0835365	0.00595885	0.00678709	0.00531247	0.00524984	0.0052123	0.00517222	0.00509577	0.00495074	0.00466657	0.00453348	0.0073899	0.00421935	0.00416056	0.0041391	0.00412829	0.0041091	0.00407619	0.00399924	0.0039484	0.00384984	0.00384945	0.00375768	0.00374581	0.00375076	0.00373494	0.00369815	0.00365631	0.00363636	0.00359296	0.00350455	0.00334263	0.00341152	0.00400556	0.00311689	0.00309947	0.00306474	0.00302158	0.00293786	0.00278024	0.00320106	0.00295077	0.00261473	0.00259793	0.00258498	0.00255899	0.00250697	0.00240467	

362	0.202	3	0	task-3:0.084	task-0:0.232	task-1:0.126	task-2:0.058	|	0.123517	0.0855326	0.0526303	0.051876	0.0516575	0.0515883	0.0515839	0.0515776	0.0515697	0.0515628	0.0515585	0.0515606	0.0515601	0.05156	0.0515599	0.0515598	0.0515593	0.0515599	0.0515599	0.0515598	0.0513695	0.0512533	0.0509553	0.0505316	0.0502841	0.0499717	0.0498434	0.0508328	0.0495432	0.049142	0.0487036	0.0485023	0.0481546	0.0476855	0.0482807	0.0479442	0.046936	0.0466413	0.0465033	0.0463025	0.0461255	0.0466371	0.0457259	0.0455666	0.0453307	0.0449	0.0444254	0.0445685	0.0450463	0.0437234	0.0434327	0.0432835	0.0432125	0.043077	0.0428629	0.0428029	0.0431954	0.0418366	0.0417641	0.0417371	0.0416177	0.041367	0.0409571	0.0404122	0.0407897	0.0405199	0.0398015	0.0396416	0.0395973	0.0395541	0.0394228	0.0393526	0.0391415	0.0388851	0.0384561	0.0386582	0.0385919	0.0380643	0.037906	0.0377868	0.0376951	0.0375536	0.0380622	0.03738	0.037276	0.0372592	0.0371827	0.0369972	0.0366071	0.0358883	0.0348607	0.0488659	0.0346541	0.0346154	0.0345359	0.0343795	0.0340935	0.0338709	0.0380659	0.033413	0.0333392	0.0332002	0.0331222	0.0329178	0.0329665	0.0327639	0.0327679	0.032778	0.0327218	0.0325961	0.0323826	0.0319617	0.031218	0.0299011	0.0340506	0.0977304	0.0306187	0.0304155	0.0301127	0.0294985	0.0286777	0.0283444	0.0280525	0.0280684	0.0286741	0.0279186	0.0278265	0.0277547	0.0277257	0.0276964	0.0277341	0.0277255	0.0276346	0.0275085	0.0273303	0.027491	0.0273805	0.0273319	0.0272578	0.0272394	0.0272171	0.0270561	0.0271192	0.0270853	0.0270201	0.0269605	0.0268619	0.026659	0.0268015	0.0262376	0.0258299	0.0253733	0.0250455	0.0244566	0.0244689	0.0244	0.0241881	0.0238455	0.0237058	0.023363	0.023083	0.0225337	0.0235883	0.0224155	0.0223861	0.0222803	0.0220477	0.0216302	0.0213359	0.0379591	0.0211596	0.0211398	0.0210999	0.0210997	0.0210228	0.0210149	0.0208878	0.0209502	0.0209153	0.0208516	0.0208767	0.0208554	0.0207971	0.0202533	0.0197819	0.0198257	0.0171467	0.0152591	0.0141023	0.0120784	0.0100999	0.00779093	0.00570437	0.00349771	0.00523634	0.00277862	0.00250469	0.00215297	
