36	0.002	0	0	task-0:0.058	|	0.281575	0.193994	0.144604	0.0822904	0.0796209	0.0552686	0.0481584	0.0456543	0.0427523	0.040235	0.03545	0.0266302	0.0166444	0.0516885	0.0163835	0.0118666	0.0109767	0.0108085	0.0105405	0.0102857	0.00961355	0.00839981	0.00754782	0.00651531	0.00638583	0.00614602	0.00567253	0.0051634	0.00469956	0.00404157	0.00391056	0.00346808	0.00335185	0.00325233	0.00305871	0.00271548	0.00214973	

29	0.001	0	0	task-0:0.056	|	0.222627	0.158796	0.128685	0.0998862	0.0722907	0.0667287	0.0572234	0.0478137	0.0471366	0.0454198	0.0415992	0.034789	0.0269184	0.0299378	0.0246478	0.0215227	0.0208839	0.0198267	0.017879	0.0146536	0.00970334	0.00474541	0.0417978	0.00469003	0.00387723	0.00375781	0.00356385	0.00311144	0.00287207	0.00246062	

33	0.002	0	0	task-0:0.048	|	0.209914	0.147576	0.121267	0.0756062	0.08228	0.0614669	0.0518374	0.0424316	0.0394369	0.032791	0.0227515	0.0233951	0.0230727	0.0142613	0.013383	0.0123454	0.01186	0.0116459	0.0110553	0.00974467	0.00766534	0.00855334	0.00618038	0.00586587	0.00581794	0.00557652	0.00503883	0.00410385	0.00348595	0.00439253	0.0028905	0.00282409	0.00269027	0.00243822	

40	0.003	0	0	task-0:0.038	|	0.338567	0.237835	0.1774	0.127483	0.115036	0.0996494	0.0760421	0.0544127	0.0554255	0.0444226	0.0366439	0.0353748	0.0333342	0.0303473	0.0254911	0.0220426	0.0181346	0.017969	0.0170997	0.0156816	0.0148464	0.0145955	0.014143	0.0135624	0.0123334	0.0105122	0.0105337	0.00945894	0.00874609	0.00814654	0.00747154	0.0064426	0.00476523	0.00453686	0.00791078	0.00297674	0.00266761	0.00256682	0.00254693	0.00251154	0.0024759	

25	0.002	0	0	task-0:0.068	|	0.266099	0.216156	0.14148	0.0863603	0.106683	0.0722603	0.0786017	0.0492849	0.0461362	0.0396899	0.0355663	0.030815	0.0287624	0.0255902	0.0208455	0.0151816	0.0236146	0.0144963	0.0126682	0.0121426	0.0110687	0.00912386	0.0061136	0.00270685	0.0223505	0.0022437	

43	0.002	0	0	task-0:0.06	|	0.288408	0.2312	0.163225	0.131926	0.0939227	0.0822683	0.0711145	0.0621613	0.0573019	0.049889	0.0454261	0.043788	0.0379209	0.0290996	0.0313093	0.0225255	0.0210793	0.0183649	0.0146298	0.0161539	0.013955	0.0127547	0.0120872	0.0117529	0.0111767	0.0103094	0.00872753	0.00771104	0.00711774	0.00676497	0.0067153	0.00659943	0.00642423	0.00615281	0.00556356	0.00451772	0.00350475	0.0056062	0.00305472	0.00302949	0.00298522	0.00289146	0.00270955	0.00238864	

32	0.002	0	0	task-0:0.03	|	0.342834	0.28264	0.161316	0.193148	0.113239	0.184203	0.0563266	0.0509165	0.0404208	0.0367213	0.0296999	0.0273557	0.0252065	0.0230985	0.0193627	0.0161193	0.0129935	0.0150653	0.0116706	0.0103807	0.00999243	0.00958088	0.00897245	0.00797373	0.00630075	0.00646697	0.00531244	0.00456837	0.00442589	0.00412146	0.00354214	0.00258675	0.00135198	

34	0.002	0	0	task-0:0.036	|	0.306391	0.195812	0.147264	0.100462	0.0827198	0.0664003	0.0564688	0.0468227	0.0428205	0.0339763	0.0217218	0.0232729	0.0293739	0.0124804	0.0112177	0.0103976	0.0102296	0.00994553	0.00967267	0.00894039	0.00778813	0.00739307	0.00662192	0.00627988	0.00604794	0.0057927	0.00526124	0.00453045	0.00445645	0.00388171	0.00371362	0.00346773	0.00321064	0.00283704	0.0021998	

