126	0.031	1	0	task-0:0.22	|	0.354532	0.15806	0.157603	0.156595	0.155808	0.155516	0.155338	0.155307	0.155267	0.155369	0.155403	0.155184	0.15518	0.155169	0.135371	0.12997	0.124011	0.112727	0.103696	0.0864149	0.0777765	0.100766	0.0618936	0.0632878	0.0554834	0.0542338	0.0514077	0.0468703	0.0422257	0.0467069	0.0387931	0.0380315	0.0366436	0.0335558	0.0279977	0.0312911	0.0539385	0.0214101	0.0209146	0.0202815	0.0199202	0.0195409	0.0188448	0.0181522	0.0169381	0.0165357	0.0162168	0.015118	0.0148175	0.0145601	0.0141853	0.0135775	0.013359	0.013278	0.012971	0.0123355	0.011317	0.0105106	0.0146367	0.00968818	0.00957687	0.00934289	0.00885241	0.00785447	0.00632971	0.00500003	0.0522512	0.00427624	0.00410319	0.00403124	0.00397435	0.00386082	0.00364745	0.00324473	0.00254947	0.00898075	0.00669583	0.00227299	

129	0.016	1	0	task-0:0.21	|	0.357072	0.161497	0.160815	0.159292	0.156705	0.155152	0.158674	0.155245	0.15509	0.155097	0.155101	0.155113	0.155122	0.155141	0.155167	0.155139	0.155154	0.13424	0.131088	0.122404	0.112792	0.0990321	0.104338	0.0911928	0.0851694	0.0823105	0.0789687	0.0729003	0.0691	0.0656647	0.0579501	0.0471114	0.044604	0.0877667	0.0365238	0.038458	0.031643	0.031135	0.0297547	0.0270789	0.0262435	0.0323574	0.0231802	0.0228416	0.0220319	0.0202222	0.0172045	0.0128445	0.0507802	0.0148018	0.0107691	0.0104521	0.0103813	0.010315	0.0102851	0.0100709	0.00970999	0.00945289	0.00901496	0.00857212	0.00819197	0.00838611	0.00781304	0.00764942	0.00751787	0.0072549	0.00677301	0.00641114	0.00861168	0.00593359	0.005794	0.00565956	0.00558217	0.00546758	0.00522421	0.00473892	0.00388707	0.00261253	0.00118437	

144	0.015	1	0	task-0:0.22	|	0.269331	0.161101	0.160348	0.158912	0.156806	0.155582	0.155252	0.155221	0.155011	0.154998	0.155025	0.155087	0.155181	0.155157	0.155156	0.155154	0.15515	0.133954	0.129541	0.123179	0.11275	0.10457	0.0876146	0.0597495	0.142154	0.0656705	0.210217	0.0653324	0.185012	0.131971	0.183057	0.0420663	0.0389593	0.0377453	0.0377588	0.0364326	0.0354501	0.0347292	0.0340503	0.0323143	0.0291506	0.0320757	0.0273247	0.025716	0.0254256	0.0244821	0.022511	0.0195289	0.0147706	0.011857	0.101201	0.0110547	0.0103483	0.00867912	0.00857347	0.00833276	0.00787362	0.00729041	0.00751157	0.00866876	0.00643095	0.00630077	0.00618077	0.0059507	0.00551519	0.00476647	0.00365219	0.0255901	0.00549667	0.00326628	0.00317053	0.00309685	0.00308498	0.00305996	0.00300938	0.00291069	0.00271051	0.00300215	0.00533669	0.00245842	

144	0.032	1	0	task-0:0.22	|	0.269331	0.161101	0.160348	0.158912	0.156806	0.155582	0.155252	0.155221	0.155011	0.154998	0.155025	0.155087	0.155181	0.155157	0.155156	0.155154	0.15515	0.133954	0.129541	0.123179	0.11275	0.10457	0.0876146	0.0597495	0.142154	0.0656705	0.210217	0.0653324	0.185012	0.131971	0.183057	0.0420663	0.0389593	0.0377453	0.0377588	0.0364326	0.0354501	0.0347292	0.0340503	0.0323143	0.0291506	0.0320757	0.0273247	0.025716	0.0254256	0.0244821	0.022511	0.0195289	0.0147706	0.011857	0.101201	0.0110547	0.0103483	0.00867912	0.00857347	0.00833276	0.00787362	0.00729041	0.00751157	0.00866876	0.00643095	0.00630077	0.00618077	0.0059507	0.00551519	0.00476647	0.00365219	0.0255901	0.00549667	0.00326628	0.00317053	0.00309685	0.00308498	0.00305996	0.00300938	0.00291069	0.00271051	0.00300215	0.00533669	0.00245842	

144	0.015	1	0	task-0:0.22	|	0.269331	0.161101	0.160348	0.158912	0.156806	0.155582	0.155252	0.155221	0.155011	0.154998	0.155025	0.155087	0.155181	0.155157	0.155156	0.155154	0.15515	0.133954	0.129541	0.123179	0.11275	0.10457	0.0876146	0.0597495	0.142154	0.0656705	0.210217	0.0653324	0.185012	0.131971	0.183057	0.0420663	0.0389593	0.0377453	0.0377588	0.0364326	0.0354501	0.0347292	0.0340503	0.0323143	0.0291506	0.0320757	0.0273247	0.025716	0.0254256	0.0244821	0.022511	0.0195289	0.0147706	0.011857	0.101201	0.0110547	0.0103483	0.00867912	0.00857347	0.00833276	0.00787362	0.00729041	0.00751157	0.00866876	0.00643095	0.00630077	0.00618077	0.0059507	0.00551519	0.00476647	0.00365219	0.0255901	0.00549667	0.00326628	0.00317053	0.00309685	0.00308498	0.00305996	0.00300938	0.00291069	0.00271051	0.00300215	0.00533669	0.00245842	

144	0.031	1	0	task-0:0.22	|	0.269331	0.161101	0.160348	0.158912	0.156806	0.155582	0.155252	0.155221	0.155011	0.154998	0.155025	0.155087	0.155181	0.155157	0.155156	0.155154	0.15515	0.133954	0.129541	0.123179	0.11275	0.10457	0.0876146	0.0597495	0.142154	0.0656705	0.210217	0.0653324	0.185012	0.131971	0.183057	0.0420663	0.0389593	0.0377453	0.0377588	0.0364326	0.0354501	0.0347292	0.0340503	0.0323143	0.0291506	0.0320757	0.0273247	0.025716	0.0254256	0.0244821	0.022511	0.0195289	0.0147706	0.011857	0.101201	0.0110547	0.0103483	0.00867912	0.00857347	0.00833276	0.00787362	0.00729041	0.00751157	0.00866876	0.00643095	0.00630077	0.00618077	0.0059507	0.00551519	0.00476647	0.00365219	0.0255901	0.00549667	0.00326628	0.00317053	0.00309685	0.00308498	0.00305996	0.00300938	0.00291069	0.00271051	0.00300215	0.00533669	0.00245842	
