146	0.016	1	0	task-0:0.3	|	0.181716	0.171136	0.168302	0.16554	0.162495	0.160478	0.159943	0.159004	0.157863	0.156703	0.155949	0.154407	0.152506	0.153422	0.152278	0.15054	0.150026	0.149699	0.14935	0.148869	0.148746	0.148266	0.148197	0.148063	0.147849	0.147435	0.147233	0.14809	0.146765	0.146709	0.14661	0.129683	0.123708	0.11451	0.0970089	0.0762204	0.0815284	0.0672256	0.0586068	0.0556777	0.050396	0.0460191	0.0517059	0.0439716	0.0422343	0.0404274	0.0388379	0.0365412	0.0343484	0.0329825	0.0320439	0.0312956	0.0301957	0.029221	0.0271135	0.0230714	0.0162161	0.0238459	0.0314849	0.0126591	0.00977521	0.00876263	0.00865943	0.0084354	0.00800182	0.00727459	0.006602	0.00650759	0.00616729	0.00591488	0.00580758	0.00573638	0.00558392	0.00525401	0.0046619	0.00433272	0.00399309	0.0038682	0.00380913	0.0036992	0.00352577	0.00316133	0.00306806	0.00288541	0.00258296	0.00261925	0.00238737	

172	0.032	2	0	task-0:0.31	|	0.221308	0.168944	0.167719	0.166378	0.163337	0.158052	0.16302	0.156153	0.155277	0.154697	0.153578	0.152111	0.150212	0.162784	0.149383	0.149138	0.148611	0.147753	0.150351	0.148618	0.147046	0.146764	0.146733	0.146733	0.146629	0.146435	0.146277	0.147131	0.146009	0.145987	0.145938	0.145806	0.14587	0.145804	0.145743	0.145717	0.145685	0.14567	0.14613	0.146791	0.159867	0.145585	0.145446	0.145336	0.145307	0.14536	0.145676	0.145355	0.14536	0.145352	0.145335	0.145327	0.145314	0.145481	0.134521	0.130661	0.123957	0.111735	0.0928425	0.0636782	0.0370063	0.124805	0.0375406	0.0507376	0.0290224	0.0283958	0.0267695	0.0240542	0.0214814	0.0222336	0.0194952	0.018896	0.0180827	0.0167789	0.0164479	0.0161311	0.0157798	0.0151084	0.013959	0.0123633	0.0112438	0.0143568	0.0101015	0.00987913	0.00942036	0.00853041	0.00695992	0.00463541	0.00735844	0.125732	0.00347326	0.00273492	0.00229929	

172	0.046	2	0	task-0:0.31	|	0.221308	0.168944	0.167719	0.166378	0.163337	0.158052	0.16302	0.156153	0.155277	0.154697	0.153578	0.152111	0.150212	0.162784	0.149383	0.149138	0.148611	0.147753	0.150351	0.148618	0.147046	0.146764	0.146733	0.146733	0.146629	0.146435	0.146277	0.147131	0.146009	0.145987	0.145938	0.145806	0.14587	0.145804	0.145743	0.145717	0.145685	0.14567	0.14613	0.146791	0.159867	0.145585	0.145446	0.145336	0.145307	0.14536	0.145676	0.145355	0.14536	0.145352	0.145335	0.145327	0.145314	0.145481	0.134521	0.130661	0.123957	0.111735	0.0928425	0.0636782	0.0370063	0.124805	0.0375406	0.0507376	0.0290224	0.0283958	0.0267695	0.0240542	0.0214814	0.0222336	0.0194952	0.018896	0.0180827	0.0167789	0.0164479	0.0161311	0.0157798	0.0151084	0.013959	0.0123633	0.0112438	0.0143568	0.0101015	0.00987913	0.00942036	0.00853041	0.00695992	0.00463541	0.00735844	0.125732	0.00347326	0.00273492	0.00229929	

172	0.032	2	0	task-0:0.31	|	0.221308	0.168944	0.167719	0.166378	0.163337	0.158052	0.16302	0.156153	0.155277	0.154697	0.153578	0.152111	0.150212	0.162784	0.149383	0.149138	0.148611	0.147753	0.150351	0.148618	0.147046	0.146764	0.146733	0.146733	0.146629	0.146435	0.146277	0.147131	0.146009	0.145987	0.145938	0.145806	0.14587	0.145804	0.145743	0.145717	0.145685	0.14567	0.14613	0.146791	0.159867	0.145585	0.145446	0.145336	0.145307	0.14536	0.145676	0.145355	0.14536	0.145352	0.145335	0.145327	0.145314	0.145481	0.134521	0.130661	0.123957	0.111735	0.0928425	0.0636782	0.0370063	0.124805	0.0375406	0.0507376	0.0290224	0.0283958	0.0267695	0.0240542	0.0214814	0.0222336	0.0194952	0.018896	0.0180827	0.0167789	0.0164479	0.0161311	0.0157798	0.0151084	0.013959	0.0123633	0.0112438	0.0143568	0.0101015	0.00987913	0.00942036	0.00853041	0.00695992	0.00463541	0.00735844	0.125732	0.00347326	0.00273492	0.00229929	

172	0.046	2	0	task-0:0.31	|	0.221308	0.168944	0.167719	0.166378	0.163337	0.158052	0.16302	0.156153	0.155277	0.154697	0.153578	0.152111	0.150212	0.162784	0.149383	0.149138	0.148611	0.147753	0.150351	0.148618	0.147046	0.146764	0.146733	0.146733	0.146629	0.146435	0.146277	0.147131	0.146009	0.145987	0.145938	0.145806	0.14587	0.145804	0.145743	0.145717	0.145685	0.14567	0.14613	0.146791	0.159867	0.145585	0.145446	0.145336	0.145307	0.14536	0.145676	0.145355	0.14536	0.145352	0.145335	0.145327	0.145314	0.145481	0.134521	0.130661	0.123957	0.111735	0.0928425	0.0636782	0.0370063	0.124805	0.0375406	0.0507376	0.0290224	0.0283958	0.0267695	0.0240542	0.0214814	0.0222336	0.0194952	0.018896	0.0180827	0.0167789	0.0164479	0.0161311	0.0157798	0.0151084	0.013959	0.0123633	0.0112438	0.0143568	0.0101015	0.00987913	0.00942036	0.00853041	0.00695992	0.00463541	0.00735844	0.125732	0.00347326	0.00273492	0.00229929	

172	0.032	2	0	task-0:0.31	|	0.221308	0.168944	0.167719	0.166378	0.163337	0.158052	0.16302	0.156153	0.155277	0.154697	0.153578	0.152111	0.150212	0.162784	0.149383	0.149138	0.148611	0.147753	0.150351	0.148618	0.147046	0.146764	0.146733	0.146733	0.146629	0.146435	0.146277	0.147131	0.146009	0.145987	0.145938	0.145806	0.14587	0.145804	0.145743	0.145717	0.145685	0.14567	0.14613	0.146791	0.159867	0.145585	0.145446	0.145336	0.145307	0.14536	0.145676	0.145355	0.14536	0.145352	0.145335	0.145327	0.145314	0.145481	0.134521	0.130661	0.123957	0.111735	0.0928425	0.0636782	0.0370063	0.124805	0.0375406	0.0507376	0.0290224	0.0283958	0.0267695	0.0240542	0.0214814	0.0222336	0.0194952	0.018896	0.0180827	0.0167789	0.0164479	0.0161311	0.0157798	0.0151084	0.013959	0.0123633	0.0112438	0.0143568	0.0101015	0.00987913	0.00942036	0.00853041	0.00695992	0.00463541	0.00735844	0.125732	0.00347326	0.00273492	0.00229929	

172	0.046	2	0	task-0:0.31	|	0.221308	0.168944	0.167719	0.166378	0.163337	0.158052	0.16302	0.156153	0.155277	0.154697	0.153578	0.152111	0.150212	0.162784	0.149383	0.149138	0.148611	0.147753	0.150351	0.148618	0.147046	0.146764	0.146733	0.146733	0.146629	0.146435	0.146277	0.147131	0.146009	0.145987	0.145938	0.145806	0.14587	0.145804	0.145743	0.145717	0.145685	0.14567	0.14613	0.146791	0.159867	0.145585	0.145446	0.145336	0.145307	0.14536	0.145676	0.145355	0.14536	0.145352	0.145335	0.145327	0.145314	0.145481	0.134521	0.130661	0.123957	0.111735	0.0928425	0.0636782	0.0370063	0.124805	0.0375406	0.0507376	0.0290224	0.0283958	0.0267695	0.0240542	0.0214814	0.0222336	0.0194952	0.018896	0.0180827	0.0167789	0.0164479	0.0161311	0.0157798	0.0151084	0.013959	0.0123633	0.0112438	0.0143568	0.0101015	0.00987913	0.00942036	0.00853041	0.00695992	0.00463541	0.00735844	0.125732	0.00347326	0.00273492	0.00229929	

136	0.016	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.016	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.015	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.031	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.032	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.015	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.031	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.032	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

136	0.031	1	0	task-0:0.305	|	0.218294	0.169613	0.168248	0.166914	0.163885	0.158714	0.162736	0.15571	0.154863	0.153065	0.150112	0.149466	0.223889	0.147347	0.146916	0.146594	0.146514	0.146466	0.146426	0.146356	0.146259	0.146105	0.146077	0.145929	0.14592	0.145914	0.13181	0.127726	0.117394	0.10646	0.0885599	0.0711084	0.0762578	0.0618168	0.0567261	0.0526197	0.0455731	0.0397616	0.0484551	0.0383814	0.0372555	0.0362994	0.0346467	0.03212	0.0304126	0.028834	0.0281638	0.0273388	0.0258692	0.02378	0.0199572	0.0214736	0.017149	0.0163257	0.0161042	0.0154617	0.0140804	0.0116804	0.0134183	0.0101555	0.00992583	0.00995703	0.00977519	0.00936177	0.00886766	0.00870349	0.00868555	0.00850184	0.00807289	0.00733521	0.00710432	0.00654246	0.00644842	0.00639928	0.00630886	0.00622065	0.00597833	0.0055095	0.0049294	0.00391893	0.00244597	

