2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.121866	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.782697	0.0299988	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.360886	0.0299992	

1	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0333953	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.375555	0.0299996	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.700327	0.0299999	

2	0.014	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.129287	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0409734	0.0299981	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.239329	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.125406	0.0299999	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0693685	0.0299997	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.183196	0.03	

2	0.012	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0844215	0.0299998	

2	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0680162	0.03	

2	0.009	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0918644	0.03	

2	0.009	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.257403	0.03	

2	0.01	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.729568	0.0299977	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.557376	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.183313	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0582941	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.079908	0.0299957	

1	0.007	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0380032	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.167164	0.0299996	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.715833	0.0299979	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.211184	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.24394	0.03	

2	0.009	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.86185	0.0299964	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.13917	0.0299999	

2	0.01	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.081486	0.0299973	

1	0.004	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0305668	

2	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.803423	0.0299999	

2	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.2305	0.0299999	

2	0.01	24	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.0410155	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.731023	0.0299993	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.315621	0.0299991	

2	0.013	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.305324	0.03	

2	0.009	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.410927	0.03	

2	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.464816	0.0299984	

2	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.839932	0.0299995	

1	0.004	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0386467	

2	0.009	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.466298	0.0299998	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0517652	0.0299999	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.719669	0.0299996	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.367207	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.446253	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0586107	0.0299998	

2	0.015	24	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0579604	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.164001	0.0299978	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.196613	0.03	

1	0.007	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.965	|	0.029736	

1	0.007	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0358273	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.725783	0.0299985	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.92618	0.0299988	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.110626	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.53087	0.03	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.232845	0.03	

2	0.012	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.816928	0.0299972	

2	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.681947	0.0299995	

2	0.009	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.423151	0.0299998	

1	0.004	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0312087	

