2	0.01	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.112997	0.0299992	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0967	0.0299999	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0801937	0.0299912	

1	0.007	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0283727	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0688885	0.03	

1	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0278294	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0767329	0.0299999	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0498821	0.0299999	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0978389	0.03	

1	0.007	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0273606	

1	0.008	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0287598	

1	0.007	24	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0280201	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.113948	0.0299996	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.124138	0.0299992	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.165375	0.0299839	

1	0.007	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0283456	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.076995	0.0299997	

1	0.007	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0392506	

1	0.008	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0253997	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.161371	0.0299977	

1	0.008	24	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.0261302	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.149898	0.0299779	

1	0.008	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0261449	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.104817	0.0299997	

1	0.008	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0274786	

2	0.012	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.138383	0.0299961	

2	0.01	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.139724	0.0299929	

2	0.012	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.10087	0.0299991	

2	0.009	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.160212	0.0299891	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0442549	0.0299995	

1	0.008	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0282591	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0486499	0.0299997	

2	0.015	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.114947	0.0299977	

2	0.014	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0742614	0.0299997	

1	0.007	24	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0374207	

2	0.009	24	0	task-3:0.8	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0789195	0.0299999	

1	0.006	24	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0256223	

