3	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.697554	0.0917581	0.0300169	

2	0	8	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.313365	0.0298551	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.826681	0.0291636	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.224574	0.0299202	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.577021	0.0290846	

2	0.015	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.389429	0.0295594	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.836119	0.0382018	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.129178	0.0299883	

2	0	8	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.140433	0.0298388	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.15352	0.0293728	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.527775	0.0291474	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.254715	0.0299198	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.317619	0.0291647	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0967183	0.0295804	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.101442	0.0298086	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.651867	0.0291283	

2	0.015	8	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.299811	0.0298691	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0801763	0.0299555	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.150835	0.0298988	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.213776	0.0298893	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.55654	0.0293024	

1	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0295495	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0465424	0.0296887	

2	0.015	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.321678	0.0293092	

1	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0345247	

2	0	8	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.757796	0.0292004	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.122484	0.0299589	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.380132	0.0292647	

