2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0684629	0.029607	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.111183	0.0280261	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.125373	0.0285469	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0902616	0.0274251	

1	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0259178	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.135116	0.0252564	

1	0	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0258656	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.110045	0.0271072	

1	0.015	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0259439	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0567468	0.0297981	

2	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0442043	0.0284498	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0555469	0.0292918	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0979343	0.0294046	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0727217	0.0295787	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0522394	0.0296252	

2	0.015	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.042076	0.0297231	

2	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.108557	0.0287181	

1	0.016	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0347791	

1	0	8	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.025797	

1	0	8	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0261376	

