2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.051045	0.0395654	

2	0.015	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.805	|	0.0410707	0.0373706	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.032838	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0938408	0.0362126	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.111647	0.0372192	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0451496	0.0377646	

2	0.015	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0410808	0.0388938	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0429244	0.0393003	

1	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0326237	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0451576	0.0387276	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0458543	0.0389893	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0455211	0.0397015	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0890377	0.0395544	

2	0.015	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0474884	0.0396825	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0937502	0.0370729	

1	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.805	|	0.0328722	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0589186	0.0364969	

2	0	8	0	task-3:0.8	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0656511	0.0394074	

2	0	8	0	task-3:0.8	task-0:0.195	task-1:0.225	task-2:0.195	|	0.113928	0.035469	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0510925	0.0397753	

2	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.048835	0.0397625	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0884538	0.039259	

1	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.775	task-2:0.195	|	0.0349933	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.037952	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.775	task-2:0.195	|	0.0764461	0.0395259	

2	0.015	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.131187	0.0346785	

1	0	8	0	task-3:0.2	task-0:0.805	task-1:0.775	task-2:0.195	|	0.0323294	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0419604	0.0397542	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0537971	0.0396665	

2	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0618038	0.0328883	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0778407	0.0395562	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0378062	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.105432	0.0344902	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0803687	0.0377607	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0811306	0.0381775	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0365378	

1	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0364588	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.805	|	0.0321682	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0321754	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0513939	0.038419	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0333591	

2	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0402409	0.0377088	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.775	task-2:0.195	|	0.0379714	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.11141	0.0358137	

1	0.015	8	0	task-3:0.2	task-0:0.195	task-1:0.775	task-2:0.195	|	0.0331514	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.032258	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0536429	0.036084	

2	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0529899	0.0393555	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0358632	

2	0.015	8	0	task-3:0.8	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0733309	0.0391952	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.775	task-2:0.195	|	0.0591428	0.0386282	

1	0	8	0	task-3:0.2	task-0:0.805	task-1:0.225	task-2:0.805	|	0.033756	

2	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.059371	0.0329288	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0331861	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.100334	0.0359199	

2	0.016	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0859588	0.0392295	

1	0	8	0	task-3:0.2	task-0:0.805	task-1:0.225	task-2:0.195	|	0.0339556	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.102099	0.0373922	

2	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0605708	0.0376786	

1	0	8	0	task-3:0.2	task-0:0.195	task-1:0.225	task-2:0.195	|	0.0343654	

