411	0.109	3	0	task-0:0.17	|	0.456417	0.163575	0.161057	0.160482	0.15995	0.159554	0.158829	0.158373	0.159496	0.158136	0.158056	0.158004	0.157913	0.157797	0.157946	0.15776	0.157743	0.148339	0.141402	0.140445	0.13637	0.129908	0.131935	0.127013	0.123383	0.122799	0.122901	0.120249	0.118182	0.113444	0.104784	0.105381	0.165902	0.116226	0.276632	0.0921663	0.0904396	0.0900192	0.0896717	0.0887778	0.0881686	0.0875513	0.0882755	0.0868628	0.0864671	0.0864135	0.0860597	0.0853348	0.085916	0.0865018	0.0843204	0.0842591	0.0839488	0.0832434	0.0819603	0.0890533	0.0849624	0.0810328	0.0808229	0.0806161	0.0806616	0.0806662	0.0804221	0.0804188	0.0801803	0.0803622	0.0800046	0.0800244	0.0801423	0.0799461	0.0720501	0.0701375	0.0668611	0.0616046	0.0563365	0.0566754	0.0541811	0.0527529	0.0520364	0.0507085	0.0485857	0.0453918	0.0447452	0.0433001	0.0421123	0.0415822	0.0409063	0.040458	0.0396971	0.0392894	0.0384929	0.037464	0.0355587	0.0327115	0.0503334	0.0457659	0.0309871	0.0306736	0.0305785	0.0303732	0.0299402	0.0291083	0.0306036	0.0294752	0.0281658	0.0280884	0.027891	0.0275272	0.0275384	0.0272423	0.0270282	0.0269665	0.0268694	0.0267738	0.0266112	0.0265768	0.0264839	0.0263707	0.0261433	0.0257255	0.0257383	0.0268073	0.0250997	0.0250421	0.0249722	0.0248193	0.0245088	0.0239121	0.0228378	0.0299152	0.042605	0.0231821	0.0248045	0.0214568	0.0214144	0.0213937	0.0213737	0.0213569	0.021328	0.0212766	0.0212409	0.0212046	0.021118	0.0209357	0.0205959	0.0224797	0.0218886	0.0203206	0.0202799	0.0202569	0.0202454	0.0202216	0.0201742	0.0200689	0.0198669	0.0204693	0.0199049	0.0196836	0.0196676	0.0196244	0.0195565	0.0195633	0.0194997	0.0194733	0.0194233	0.0194126	0.0193653	0.0193423	0.0193251	0.0192972	0.0192369	0.0191852	0.0190988	0.0191586	0.0190809	0.0190468	0.019014	0.0190013	0.0189891	0.0189441	0.0188685	0.0189284	0.018862	0.0188345	0.018799	0.0176514	0.0173767	0.0171508	0.0166259	0.0156261	0.0138936	0.0118429	0.0104594	0.0102878	0.00912222	0.00872007	0.00811976	0.00735372	0.00659679	0.00633735	0.00620474	0.00604458	0.00577197	0.00540606	0.00472709	0.00367	0.00484078	0.00862215	0.00273642	0.00270703	0.00264964	0.00254436	0.00237583	

397	0.078	3	0	task-0:0.115	|	0.234388	0.16551	0.164964	0.163592	0.160939	0.158377	0.163587	0.158234	0.158156	0.158077	0.157989	0.157875	0.157832	0.157774	0.157752	0.157702	0.157634	0.157936	0.15792	0.157618	0.15762	0.157621	0.157624	0.157634	0.157649	0.157676	0.157647	0.157647	0.14569	0.144088	0.13892	0.133463	0.125576	0.116789	0.124841	0.114415	0.109856	0.109653	0.108956	0.107892	0.106203	0.101561	0.0927367	0.100529	0.09338	0.0869375	0.0858081	0.0847403	0.084728	0.084641	0.0840054	0.0826066	0.0825323	0.0813335	0.0811358	0.081015	0.0807017	0.0798781	0.0792383	0.0799913	0.0788045	0.078736	0.0786015	0.0784275	0.0781312	0.0773721	0.0797892	0.0776278	0.0774244	0.0772362	0.0773161	0.0773045	0.0771559	0.0768877	0.0783413	0.0767057	0.0769351	0.0769471	0.0769016	0.0767739	0.0769918	0.0768241	0.0767341	0.0767081	0.0766612	0.0707139	0.0697401	0.0685112	0.0650126	0.0618771	0.0597119	0.0571108	0.054101	0.0505376	0.0489781	0.0479365	0.0468697	0.0455622	0.0433525	0.0405457	0.0403785	0.0389959	0.0374303	0.0371251	0.0363745	0.0348231	0.0331174	0.0409636	0.0323343	0.0321503	0.0319481	0.0315645	0.0315234	0.0314069	0.0312396	0.0310621	0.0306248	0.0298354	0.0301707	0.0304261	0.0286745	0.0285666	0.0283523	0.0278858	0.0270006	0.0273796	0.0356805	0.0257289	0.0256353	0.0255894	0.0255201	0.0254633	0.0253457	0.0251268	0.0249249	0.0251804	0.0247233	0.0246669	0.0245669	0.0244333	0.0243081	0.0242066	0.0241148	0.0239857	0.0237981	0.0237912	0.0236383	0.0235755	0.0235508	0.023502	0.0234601	0.0234078	0.023362	0.0232994	0.0232579	0.023198	0.0231443	0.0230468	0.0228776	0.0228296	0.0228178	0.0226192	0.0225863	0.0225245	0.0224264	0.0223686	0.0223096	0.0222471	0.022173	0.0220954	0.0219952	0.0217937	0.0214048	0.020661	0.019313	0.0170513	0.0440635	0.135685	0.0148015	0.0156272	0.0148093	0.01478	0.0147476	0.0147141	0.014654	0.0145454	0.0143742	0.0148639	0.0143823	0.0142496	0.0142356	0.0141974	0.014158	0.0140786	0.0141982	0.0140115	0.0140005	0.013996	0.0139739	0.0139143	0.0137837	0.013572	0.013289	0.0211599	0.0132629	0.0131408	0.0131482	0.0131486	0.0131334	0.0130923	0.0130038	0.01287	0.0127146	0.0162531	0.0126559	0.0125956	0.0125931	0.0125884	0.0125797	0.0125281	0.0125549	0.0125238	0.0125002	0.0124873	0.0124609	0.0124103	0.0123093	0.012109	0.0117162	0.0161564	0.0245162	0.0123629	0.0123095	0.0111865	0.0111543	0.0111345	0.0111377	0.0111427	0.011146	0.0111202	0.011096	0.0110994	0.0110643	0.0110622	0.0110417	0.0109956	0.0095339	0.0093504	0.00890121	0.00856933	0.00795994	0.00697004	0.00572865	0.00384824	0.00366262	0.00281133	0.00209931	

397	0.078	3	0	task-0:0.115	|	0.234388	0.16551	0.164964	0.163592	0.160939	0.158377	0.163587	0.158234	0.158156	0.158077	0.157989	0.157875	0.157832	0.157774	0.157752	0.157702	0.157634	0.157936	0.15792	0.157618	0.15762	0.157621	0.157624	0.157634	0.157649	0.157676	0.157647	0.157647	0.14569	0.144088	0.13892	0.133463	0.125576	0.116789	0.124841	0.114415	0.109856	0.109653	0.108956	0.107892	0.106203	0.101561	0.0927367	0.100529	0.09338	0.0869375	0.0858081	0.0847403	0.084728	0.084641	0.0840054	0.0826066	0.0825323	0.0813335	0.0811358	0.081015	0.0807017	0.0798781	0.0792383	0.0799913	0.0788045	0.078736	0.0786015	0.0784275	0.0781312	0.0773721	0.0797892	0.0776278	0.0774244	0.0772362	0.0773161	0.0773045	0.0771559	0.0768877	0.0783413	0.0767057	0.0769351	0.0769471	0.0769016	0.0767739	0.0769918	0.0768241	0.0767341	0.0767081	0.0766612	0.0707139	0.0697401	0.0685112	0.0650126	0.0618771	0.0597119	0.0571108	0.054101	0.0505376	0.0489781	0.0479365	0.0468697	0.0455622	0.0433525	0.0405457	0.0403785	0.0389959	0.0374303	0.0371251	0.0363745	0.0348231	0.0331174	0.0409636	0.0323343	0.0321503	0.0319481	0.0315645	0.0315234	0.0314069	0.0312396	0.0310621	0.0306248	0.0298354	0.0301707	0.0304261	0.0286745	0.0285666	0.0283523	0.0278858	0.0270006	0.0273796	0.0356805	0.0257289	0.0256353	0.0255894	0.0255201	0.0254633	0.0253457	0.0251268	0.0249249	0.0251804	0.0247233	0.0246669	0.0245669	0.0244333	0.0243081	0.0242066	0.0241148	0.0239857	0.0237981	0.0237912	0.0236383	0.0235755	0.0235508	0.023502	0.0234601	0.0234078	0.023362	0.0232994	0.0232579	0.023198	0.0231443	0.0230468	0.0228776	0.0228296	0.0228178	0.0226192	0.0225863	0.0225245	0.0224264	0.0223686	0.0223096	0.0222471	0.022173	0.0220954	0.0219952	0.0217937	0.0214048	0.020661	0.019313	0.0170513	0.0440635	0.135685	0.0148015	0.0156272	0.0148093	0.01478	0.0147476	0.0147141	0.014654	0.0145454	0.0143742	0.0148639	0.0143823	0.0142496	0.0142356	0.0141974	0.014158	0.0140786	0.0141982	0.0140115	0.0140005	0.013996	0.0139739	0.0139143	0.0137837	0.013572	0.013289	0.0211599	0.0132629	0.0131408	0.0131482	0.0131486	0.0131334	0.0130923	0.0130038	0.01287	0.0127146	0.0162531	0.0126559	0.0125956	0.0125931	0.0125884	0.0125797	0.0125281	0.0125549	0.0125238	0.0125002	0.0124873	0.0124609	0.0124103	0.0123093	0.012109	0.0117162	0.0161564	0.0245162	0.0123629	0.0123095	0.0111865	0.0111543	0.0111345	0.0111377	0.0111427	0.011146	0.0111202	0.011096	0.0110994	0.0110643	0.0110622	0.0110417	0.0109956	0.0095339	0.0093504	0.00890121	0.00856933	0.00795994	0.00697004	0.00572865	0.00384824	0.00366262	0.00281133	0.00209931	

397	0.078	3	0	task-0:0.115	|	0.234388	0.16551	0.164964	0.163592	0.160939	0.158377	0.163587	0.158234	0.158156	0.158077	0.157989	0.157875	0.157832	0.157774	0.157752	0.157702	0.157634	0.157936	0.15792	0.157618	0.15762	0.157621	0.157624	0.157634	0.157649	0.157676	0.157647	0.157647	0.14569	0.144088	0.13892	0.133463	0.125576	0.116789	0.124841	0.114415	0.109856	0.109653	0.108956	0.107892	0.106203	0.101561	0.0927367	0.100529	0.09338	0.0869375	0.0858081	0.0847403	0.084728	0.084641	0.0840054	0.0826066	0.0825323	0.0813335	0.0811358	0.081015	0.0807017	0.0798781	0.0792383	0.0799913	0.0788045	0.078736	0.0786015	0.0784275	0.0781312	0.0773721	0.0797892	0.0776278	0.0774244	0.0772362	0.0773161	0.0773045	0.0771559	0.0768877	0.0783413	0.0767057	0.0769351	0.0769471	0.0769016	0.0767739	0.0769918	0.0768241	0.0767341	0.0767081	0.0766612	0.0707139	0.0697401	0.0685112	0.0650126	0.0618771	0.0597119	0.0571108	0.054101	0.0505376	0.0489781	0.0479365	0.0468697	0.0455622	0.0433525	0.0405457	0.0403785	0.0389959	0.0374303	0.0371251	0.0363745	0.0348231	0.0331174	0.0409636	0.0323343	0.0321503	0.0319481	0.0315645	0.0315234	0.0314069	0.0312396	0.0310621	0.0306248	0.0298354	0.0301707	0.0304261	0.0286745	0.0285666	0.0283523	0.0278858	0.0270006	0.0273796	0.0356805	0.0257289	0.0256353	0.0255894	0.0255201	0.0254633	0.0253457	0.0251268	0.0249249	0.0251804	0.0247233	0.0246669	0.0245669	0.0244333	0.0243081	0.0242066	0.0241148	0.0239857	0.0237981	0.0237912	0.0236383	0.0235755	0.0235508	0.023502	0.0234601	0.0234078	0.023362	0.0232994	0.0232579	0.023198	0.0231443	0.0230468	0.0228776	0.0228296	0.0228178	0.0226192	0.0225863	0.0225245	0.0224264	0.0223686	0.0223096	0.0222471	0.022173	0.0220954	0.0219952	0.0217937	0.0214048	0.020661	0.019313	0.0170513	0.0440635	0.135685	0.0148015	0.0156272	0.0148093	0.01478	0.0147476	0.0147141	0.014654	0.0145454	0.0143742	0.0148639	0.0143823	0.0142496	0.0142356	0.0141974	0.014158	0.0140786	0.0141982	0.0140115	0.0140005	0.013996	0.0139739	0.0139143	0.0137837	0.013572	0.013289	0.0211599	0.0132629	0.0131408	0.0131482	0.0131486	0.0131334	0.0130923	0.0130038	0.01287	0.0127146	0.0162531	0.0126559	0.0125956	0.0125931	0.0125884	0.0125797	0.0125281	0.0125549	0.0125238	0.0125002	0.0124873	0.0124609	0.0124103	0.0123093	0.012109	0.0117162	0.0161564	0.0245162	0.0123629	0.0123095	0.0111865	0.0111543	0.0111345	0.0111377	0.0111427	0.011146	0.0111202	0.011096	0.0110994	0.0110643	0.0110622	0.0110417	0.0109956	0.0095339	0.0093504	0.00890121	0.00856933	0.00795994	0.00697004	0.00572865	0.00384824	0.00366262	0.00281133	0.00209931	

397	0.078	3	0	task-0:0.115	|	0.234388	0.16551	0.164964	0.163592	0.160939	0.158377	0.163587	0.158234	0.158156	0.158077	0.157989	0.157875	0.157832	0.157774	0.157752	0.157702	0.157634	0.157936	0.15792	0.157618	0.15762	0.157621	0.157624	0.157634	0.157649	0.157676	0.157647	0.157647	0.14569	0.144088	0.13892	0.133463	0.125576	0.116789	0.124841	0.114415	0.109856	0.109653	0.108956	0.107892	0.106203	0.101561	0.0927367	0.100529	0.09338	0.0869375	0.0858081	0.0847403	0.084728	0.084641	0.0840054	0.0826066	0.0825323	0.0813335	0.0811358	0.081015	0.0807017	0.0798781	0.0792383	0.0799913	0.0788045	0.078736	0.0786015	0.0784275	0.0781312	0.0773721	0.0797892	0.0776278	0.0774244	0.0772362	0.0773161	0.0773045	0.0771559	0.0768877	0.0783413	0.0767057	0.0769351	0.0769471	0.0769016	0.0767739	0.0769918	0.0768241	0.0767341	0.0767081	0.0766612	0.0707139	0.0697401	0.0685112	0.0650126	0.0618771	0.0597119	0.0571108	0.054101	0.0505376	0.0489781	0.0479365	0.0468697	0.0455622	0.0433525	0.0405457	0.0403785	0.0389959	0.0374303	0.0371251	0.0363745	0.0348231	0.0331174	0.0409636	0.0323343	0.0321503	0.0319481	0.0315645	0.0315234	0.0314069	0.0312396	0.0310621	0.0306248	0.0298354	0.0301707	0.0304261	0.0286745	0.0285666	0.0283523	0.0278858	0.0270006	0.0273796	0.0356805	0.0257289	0.0256353	0.0255894	0.0255201	0.0254633	0.0253457	0.0251268	0.0249249	0.0251804	0.0247233	0.0246669	0.0245669	0.0244333	0.0243081	0.0242066	0.0241148	0.0239857	0.0237981	0.0237912	0.0236383	0.0235755	0.0235508	0.023502	0.0234601	0.0234078	0.023362	0.0232994	0.0232579	0.023198	0.0231443	0.0230468	0.0228776	0.0228296	0.0228178	0.0226192	0.0225863	0.0225245	0.0224264	0.0223686	0.0223096	0.0222471	0.022173	0.0220954	0.0219952	0.0217937	0.0214048	0.020661	0.019313	0.0170513	0.0440635	0.135685	0.0148015	0.0156272	0.0148093	0.01478	0.0147476	0.0147141	0.014654	0.0145454	0.0143742	0.0148639	0.0143823	0.0142496	0.0142356	0.0141974	0.014158	0.0140786	0.0141982	0.0140115	0.0140005	0.013996	0.0139739	0.0139143	0.0137837	0.013572	0.013289	0.0211599	0.0132629	0.0131408	0.0131482	0.0131486	0.0131334	0.0130923	0.0130038	0.01287	0.0127146	0.0162531	0.0126559	0.0125956	0.0125931	0.0125884	0.0125797	0.0125281	0.0125549	0.0125238	0.0125002	0.0124873	0.0124609	0.0124103	0.0123093	0.012109	0.0117162	0.0161564	0.0245162	0.0123629	0.0123095	0.0111865	0.0111543	0.0111345	0.0111377	0.0111427	0.011146	0.0111202	0.011096	0.0110994	0.0110643	0.0110622	0.0110417	0.0109956	0.0095339	0.0093504	0.00890121	0.00856933	0.00795994	0.00697004	0.00572865	0.00384824	0.00366262	0.00281133	0.00209931	

397	0.078	3	0	task-0:0.115	|	0.234388	0.16551	0.164964	0.163592	0.160939	0.158377	0.163587	0.158234	0.158156	0.158077	0.157989	0.157875	0.157832	0.157774	0.157752	0.157702	0.157634	0.157936	0.15792	0.157618	0.15762	0.157621	0.157624	0.157634	0.157649	0.157676	0.157647	0.157647	0.14569	0.144088	0.13892	0.133463	0.125576	0.116789	0.124841	0.114415	0.109856	0.109653	0.108956	0.107892	0.106203	0.101561	0.0927367	0.100529	0.09338	0.0869375	0.0858081	0.0847403	0.084728	0.084641	0.0840054	0.0826066	0.0825323	0.0813335	0.0811358	0.081015	0.0807017	0.0798781	0.0792383	0.0799913	0.0788045	0.078736	0.0786015	0.0784275	0.0781312	0.0773721	0.0797892	0.0776278	0.0774244	0.0772362	0.0773161	0.0773045	0.0771559	0.0768877	0.0783413	0.0767057	0.0769351	0.0769471	0.0769016	0.0767739	0.0769918	0.0768241	0.0767341	0.0767081	0.0766612	0.0707139	0.0697401	0.0685112	0.0650126	0.0618771	0.0597119	0.0571108	0.054101	0.0505376	0.0489781	0.0479365	0.0468697	0.0455622	0.0433525	0.0405457	0.0403785	0.0389959	0.0374303	0.0371251	0.0363745	0.0348231	0.0331174	0.0409636	0.0323343	0.0321503	0.0319481	0.0315645	0.0315234	0.0314069	0.0312396	0.0310621	0.0306248	0.0298354	0.0301707	0.0304261	0.0286745	0.0285666	0.0283523	0.0278858	0.0270006	0.0273796	0.0356805	0.0257289	0.0256353	0.0255894	0.0255201	0.0254633	0.0253457	0.0251268	0.0249249	0.0251804	0.0247233	0.0246669	0.0245669	0.0244333	0.0243081	0.0242066	0.0241148	0.0239857	0.0237981	0.0237912	0.0236383	0.0235755	0.0235508	0.023502	0.0234601	0.0234078	0.023362	0.0232994	0.0232579	0.023198	0.0231443	0.0230468	0.0228776	0.0228296	0.0228178	0.0226192	0.0225863	0.0225245	0.0224264	0.0223686	0.0223096	0.0222471	0.022173	0.0220954	0.0219952	0.0217937	0.0214048	0.020661	0.019313	0.0170513	0.0440635	0.135685	0.0148015	0.0156272	0.0148093	0.01478	0.0147476	0.0147141	0.014654	0.0145454	0.0143742	0.0148639	0.0143823	0.0142496	0.0142356	0.0141974	0.014158	0.0140786	0.0141982	0.0140115	0.0140005	0.013996	0.0139739	0.0139143	0.0137837	0.013572	0.013289	0.0211599	0.0132629	0.0131408	0.0131482	0.0131486	0.0131334	0.0130923	0.0130038	0.01287	0.0127146	0.0162531	0.0126559	0.0125956	0.0125931	0.0125884	0.0125797	0.0125281	0.0125549	0.0125238	0.0125002	0.0124873	0.0124609	0.0124103	0.0123093	0.012109	0.0117162	0.0161564	0.0245162	0.0123629	0.0123095	0.0111865	0.0111543	0.0111345	0.0111377	0.0111427	0.011146	0.0111202	0.011096	0.0110994	0.0110643	0.0110622	0.0110417	0.0109956	0.0095339	0.0093504	0.00890121	0.00856933	0.00795994	0.00697004	0.00572865	0.00384824	0.00366262	0.00281133	0.00209931	
