173	0.031	1	0	task-0:0.12	|	0.24713	0.232892	0.228701	0.217727	0.204916	0.234731	0.200285	0.198145	0.194671	0.190108	0.188301	0.186412	0.185149	0.183653	0.182292	0.181364	0.181069	0.179606	0.177172	0.175795	0.173212	0.172758	0.172427	0.171051	0.170234	0.169747	0.168852	0.166855	0.163592	0.158465	0.191173	0.158062	0.157696	0.156916	0.155411	0.152713	0.151595	0.177635	0.149071	0.149173	0.149187	0.148947	0.148724	0.148728	0.148416	0.148499	0.14846	0.148345	0.1481	0.148062	0.14725	0.125107	0.123578	0.116907	0.106256	0.0959165	0.082783	0.0542692	0.0290979	0.0699718	0.0266255	0.0251152	0.0235577	0.0228799	0.0213382	0.0188416	0.0172429	0.02138	0.0159677	0.0156896	0.015244	0.0145233	0.0135465	0.0118594	0.0159976	0.01118	0.010674	0.0106429	0.0105244	0.0104163	0.0103046	0.0100223	0.00946781	0.00847141	0.00777168	0.0171845	0.00699616	0.0069186	0.00679015	0.00655624	0.00631327	0.0058947	0.00613316	0.00562989	0.00543779	0.00540709	0.00537637	0.00533135	0.00532573	0.00522619	0.00509918	0.00504036	0.00496062	0.00481073	0.00455198	0.00461243	0.0043288	0.00425071	0.0042393	0.00419512	0.00410085	0.00391201	0.00355513	0.00293456	0.00199901	

165	0.03	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.03	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.058	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.03	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.031	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.032	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

