6	0.001	0	0	task-0:0.04	|	0.278615	0.147098	0.0386076	0.0156007	0.00504944	0.00277927	0.00147402	

5	0.001	0	0	task-0:0.015	|	0.382628	0.270416	0.103346	0.335002	0.017194	0.00165805	

4	0.001	0	0	task-0:0.015	|	0.293941	0.160905	0.0456768	0.0148563	0.00238731	

4	0.001	0	0	task-0:0.02	|	0.246462	0.102048	0.0442815	0.0144616	0.00201269	

5	0.001	0	0	task-0:0.035	|	0.374644	0.213445	0.0286277	0.011899	0.00419924	0.00245711	

5	0.001	0	0	task-0:0.015	|	0.377656	0.262911	0.0916625	0.317058	0.0187233	0.0015797	

5	0.001	0	0	task-0:0.02	|	0.221153	0.174127	0.0257374	0.01151	0.00344532	0.00232314	

4	0.001	0	0	task-0:0.01	|	0.288154	0.110259	0.0455654	0.0142434	0.00190837	

4	0.001	0	0	task-0:0.02	|	0.259078	0.0998074	0.0478546	0.0162545	0.00211943	

4	0	0	0	task-0:0.01	|	0.311248	0.109055	0.055081	0.0114938	0.00200962	

4	0.001	0	0	task-0:0.03	|	0.22783	0.0745384	0.0418978	0.0101434	0.00199307	

4	0.001	0	0	task-0:0.065	|	0.259618	0.0826403	0.0224084	0.00442991	0.0019085	

5	0.001	0	0	task-0:0.045	|	0.322673	0.199567	0.0259708	0.011087	0.00348034	0.00230071	

5	0.001	0	0	task-0:0.04	|	0.270387	0.206455	0.0204356	0.00950502	0.00358159	0.0020424	

5	0.001	0	0	task-0:0.02	|	0.287583	0.21503	0.0153985	0.00874531	0.00361447	0.0017241	

4	0.001	0	0	task-0:0.045	|	0.192579	0.0691749	0.00829783	0.00388543	0.00160681	

5	0.001	0	0	task-0:0.065	|	0.206965	0.129898	0.0406068	0.0143584	0.00308733	0.00218308	

5	0.001	0	0	task-0:0.035	|	0.267112	0.189042	0.0253953	0.0107461	0.00364063	0.00232504	

5	0.001	0	0	task-0:0.015	|	0.406651	0.239788	0.0195693	0.0108969	0.00352633	0.00126756	

4	0.001	0	0	task-0:0.035	|	0.311029	0.124067	0.0599604	0.0143448	0.00220613	

5	0.001	0	0	task-0:0.02	|	0.246172	0.193613	0.0253709	0.0125896	0.00474264	0.00233076	

5	0.001	0	0	task-0:0.015	|	0.219267	0.0853812	0.0234023	0.00794329	0.00388235	0.00109223	

4	0	0	0	task-0:0.025	|	0.175771	0.0627517	0.0146515	0.00749352	0.00207476	

5	0.001	0	0	task-0:0.04	|	0.248717	0.0948485	0.0127487	0.00703003	0.00318453	0.00109341	

5	0.001	0	0	task-0:0.045	|	0.29801	0.18592	0.0329289	0.0131889	0.0030347	0.00220127	

5	0.001	0	0	task-0:0.01	|	0.219746	0.0771725	0.0177688	0.0069293	0.00313785	0.000772593	

4	0	0	0	task-0:0.02	|	0.238064	0.0750502	0.0422471	0.0129025	0.00196745	

6	0.001	0	0	task-0:0.025	|	0.441209	0.20747	0.0421209	0.0129491	0.00438251	0.00276927	0.00121378	

6	0.001	0	0	task-0:0.035	|	0.234578	0.19011	0.0302645	0.0134174	0.0050469	0.00286259	0.00164481	

4	0.001	0	0	task-0:0.025	|	0.217013	0.08073	0.0400089	0.011002	0.00215505	

5	0.001	0	0	task-0:0.015	|	0.209971	0.0646398	0.0138953	0.00766121	0.00313412	0.00099549	

6	0.001	0	0	task-0:0.035	|	0.243014	0.188381	0.0327978	0.0129527	0.00469265	0.00269012	0.001515	

5	0.001	0	0	task-0:0.03	|	0.188495	0.0620623	0.0113837	0.00620851	0.00294188	0.00105351	

5	0.001	0	0	task-0:0.015	|	0.143642	0.0563949	0.0215221	0.00722112	0.00340122	0.000948887	

4	0.001	0	0	task-0:0.015	|	0.319394	0.139082	0.0643989	0.0131623	0.00243503	

5	0.001	0	0	task-0:0.025	|	0.323282	0.257965	0.0327799	0.0412152	0.00775321	0.00195144	

