5	0	0	0	task-0:0.01	|	0.410064	0.2528	0.097193	0.242228	0.0123702	0.00122273	

5	0	0	0	task-0:0.04	|	0.248647	0.0338832	0.0202004	0.00428517	0.00266749	0.00109769	

5	0.016	0	0	task-0:0.03	|	0.238285	0.0557977	0.0630506	0.00427314	0.00257884	0.0011001	

5	0	0	0	task-0:0.025	|	0.325487	0.174825	0.0535491	0.0150652	0.00259472	0.001687	

4	0	0	0	task-0:0.065	|	0.174369	0.0900289	0.00940713	0.00554809	0.00225435	

4	0	0	0	task-0:0.04	|	0.343906	0.16356	0.0391071	0.0105987	0.00163396	

5	0	0	0	task-0:0.055	|	0.28925	0.220155	0.0211041	0.00850417	0.00414371	0.00245632	

4	0	0	0	task-0:0.03	|	0.252151	0.0519768	0.0528613	0.0101152	0.00125336	

5	0	0	0	task-0:0.015	|	0.316293	0.24659	0.0202169	0.01112	0.00355172	0.00126926	

5	0	0	0	task-0:0.015	|	0.260936	0.261097	0.064122	0.206225	0.00922242	0.0013435	

5	0	0	0	task-0:0.04	|	0.234529	0.206926	0.0184174	0.0074697	0.00292773	0.00186355	

5	0	0	0	task-0:0.045	|	0.350479	0.247313	0.012811	0.00768503	0.00349162	0.00134675	

4	0	0	0	task-0:0.04	|	0.394799	0.142244	0.0516612	0.0128207	0.00183739	

6	0	0	0	task-0:0.045	|	0.290086	0.254485	0.0273559	0.0333893	0.00623308	0.00262298	0.00179844	

4	0	0	0	task-0:0.02	|	0.280038	0.0681652	0.0696694	0.0136009	0.00120766	

5	0	0	0	task-0:0.035	|	0.240585	0.162195	0.0330491	0.00998236	0.00277684	0.00206886	

4	0	0	0	task-0:0.01	|	0.263514	0.0488501	0.00943956	0.00648737	0.00170217	

4	0	0	0	task-0:0.035	|	0.266487	0.0792418	0.057238	0.0113545	0.00138611	

5	0	0	0	task-0:0.025	|	0.253885	0.0656032	0.0585102	0.0040295	0.00283411	0.00144539	

4	0	0	0	task-0:0.02	|	0.317941	0.0619196	0.0758529	0.00476585	0.00155191	

4	0	0	0	task-0:0.01	|	0.281551	0.0550046	0.0695313	0.00920452	0.00145351	

5	0	0	0	task-0:0.02	|	0.241865	0.252987	0.0699984	0.231996	0.00900455	0.00180065	

3	0	0	0	task-0:0.015	|	0.316762	0.0457584	0.0379878	0.00220692	

4	0	0	0	task-0:0.04	|	0.403983	0.165329	0.0591153	0.0157714	0.00142817	

4	0	0	0	task-0:0.025	|	0.2808	0.0823951	0.0793918	0.0119872	0.00143913	

4	0	0	0	task-0:0.03	|	0.399734	0.212406	0.0378515	0.010371	0.00242574	

4	0	0	0	task-0:0.045	|	0.247981	0.132754	0.0604291	0.0147377	0.00155855	

5	0	0	0	task-0:0.04	|	0.210751	0.0664863	0.0729582	0.00329567	0.00255949	0.00143336	

4	0	0	0	task-0:0.035	|	0.39602	0.10036	0.0666059	0.0155958	0.00110135	

4	0	0	0	task-0:0.02	|	0.214834	0.0766986	0.0568028	0.00608976	0.00158959	

4	0	0	0	task-0:0.02	|	0.315664	0.124307	0.0651888	0.0156505	0.00120829	

5	0	0	0	task-0:0.02	|	0.210327	0.0343158	0.0324804	0.00723053	0.0030602	0.00122219	

6	0	0	0	task-0:0.045	|	0.292283	0.21176	0.0368987	0.0113144	0.00453623	0.00269579	0.00137654	

4	0	0	0	task-0:0.05	|	0.343013	0.198348	0.0351899	0.00993527	0.00249375	

5	0	0	0	task-0:0.02	|	0.292824	0.261026	0.0416741	0.125266	0.00927982	0.00104263	

5	0	0	0	task-0:0.055	|	0.375941	0.204813	0.04261	0.0116987	0.00258413	0.0019	

4	0	0	0	task-0:0.03	|	0.36666	0.156428	0.0522405	0.0127791	0.00153905	

4	0	0	0	task-0:0.02	|	0.0970767	0.0332645	0.0233625	0.0028586	0.00165863	

5	0	0	0	task-0:0.025	|	0.371037	0.263505	0.0515283	0.181902	0.012244	0.00090443	

4	0	0	0	task-0:0.04	|	0.127534	0.065764	0.034452	0.00815587	0.00215372	

5	0	0	0	task-0:0.035	|	0.143337	0.152865	0.016702	0.00891428	0.00387687	0.00168573	

4	0	0	0	task-0:0.02	|	0.189966	0.0673681	0.0167409	0.00463505	0.00240987	

4	0	0	0	task-0:0.035	|	0.318877	0.175587	0.0460312	0.0116997	0.00208495	

4	0	0	0	task-0:0.005	|	0.17268	0.0402595	0.0112075	0.00657359	0.00206293	

5	0	0	0	task-0:0.015	|	0.368432	0.271021	0.10145	0.238685	0.0084541	0.00188373	

5	0	0	0	task-0:0.005	|	0.345558	0.273147	0.114184	0.217823	0.00950858	0.00151384	

5	0	0	0	task-0:0.04	|	0.299273	0.222244	0.0230886	0.0085383	0.00334195	0.00220569	

4	0	0	0	task-0:0.03	|	0.432532	0.0842456	0.091665	0.019969	0.000988054	

4	0	0	0	task-0:0.04	|	0.183588	0.110344	0.0428301	0.01128	0.00211606	

5	0.016	0	0	task-0:0.04	|	0.226943	0.0508849	0.0272791	0.0049274	0.00304433	0.00105997	

5	0	0	0	task-0:0.015	|	0.240373	0.252082	0.0613944	0.194922	0.00964308	0.00130409	

4	0	0	0	task-0:0.04	|	0.315919	0.11555	0.0677095	0.0167522	0.0011949	

4	0	0	0	task-0:0.05	|	0.199994	0.11159	0.0539573	0.0119114	0.00207098	

5	0	0	0	task-0:0.04	|	0.35193	0.25044	0.0275789	0.0131598	0.00490038	0.00160614	

4	0	0	0	task-0:0.02	|	0.284893	0.0866371	0.0541118	0.0113317	0.00142471	

4	0	0	0	task-0:0.04	|	0.291361	0.134935	0.0656631	0.0181996	0.00140732	

5	0	0	0	task-0:0.025	|	0.178167	0.0601069	0.0545632	0.00456401	0.00279719	0.0016366	

4	0.015	0	0	task-0:0.025	|	0.248064	0.107425	0.062616	0.0144251	0.00127208	

4	0	0	0	task-0:0.015	|	0.300136	0.0510008	0.0684338	0.0112527	0.00132851	

4	0	0	0	task-0:0.045	|	0.155991	0.0845177	0.0082257	0.00571205	0.00226609	

