3	0.001	0	0	task-0:0.015	|	0.46542	0.197618	0.0693135	0.000642179	

4	0.001	0	0	task-0:0.045	|	0.328239	0.218476	0.0105357	0.00495197	0.00192794	

4	0.001	0	0	task-0:0.025	|	0.185742	0.103536	0.0223927	0.00680396	0.00164255	

5	0.001	0	0	task-0:0	|	0.399042	0.281466	0.12821	0.37054	0.0028507	0.00115681	

5	0.001	0	0	task-0:0.01	|	0.331327	0.275986	0.140042	0.365595	0.00308553	0.0015234	

4	0.001	0	0	task-0:0.015	|	0.31029	0.19884	0.0117084	0.00476134	0.0013657	

4	0.001	0	0	task-0:0.01	|	0.25052	0.0473338	0.0326625	0.00292449	0.00165662	

4	0.001	0	0	task-0:0.02	|	0.238389	0.0612896	0.0454017	0.00482725	0.00131667	

4	0.001	0	0	task-0:0.05	|	0.335228	0.220994	0.00955405	0.00443131	0.00198411	

4	0	0	0	task-0:0.01	|	0.252475	0.0514559	0.0275179	0.00442977	0.00195479	

4	0	0	0	task-0:0.015	|	0.232502	0.0702568	0.0324831	0.00548064	0.00152743	

5	0	0	0	task-0:0.02	|	0.392935	0.249872	0.0143889	0.0068939	0.00321835	0.00119811	

3	0	0	0	task-0:0.01	|	0.299897	0.0560771	0.0414549	0.00204777	

5	0.001	0	0	task-0:0.03	|	0.255207	0.187983	0.0123756	0.00654319	0.00313977	0.00177679	

4	0.001	0	0	task-0:0.025	|	0.265811	0.0418317	0.00860957	0.0105242	0.00166651	

5	0.001	0	0	task-0:0.02	|	0.185975	0.125761	0.0150885	0.0086467	0.00353289	0.00143444	

3	0.001	0	0	task-0:0.03	|	0.299349	0.128998	0.0951854	0.000500503	

4	0.001	0	0	task-0:0.01	|	0.258983	0.0628066	0.0524129	0.00400447	0.0014129	

4	0.001	0	0	task-0:0.01	|	0.372965	0.276085	0.0665478	0.322325	0.00115861	

4	0.001	0	0	task-0:0.01	|	0.338297	0.12436	0.0749888	0.00504261	0.00156411	

4	0.001	0	0	task-0:0.03	|	0.220894	0.0463422	0.0154977	0.00270767	0.00178911	

4	0.001	0	0	task-0:0.02	|	0.25359	0.190357	0.00992523	0.00486059	0.00132522	

4	0.001	0	0	task-0:0.02	|	0.243128	0.060552	0.0444228	0.00273761	0.00205384	

4	0.001	0	0	task-0:0.025	|	0.332351	0.205109	0.0105293	0.00484218	0.00180464	

4	0.001	0	0	task-0:0.015	|	0.190104	0.0610622	0.0361381	0.00516181	0.00162242	

5	0.001	0	0	task-0:0.025	|	0.20703	0.193401	0.00848133	0.00504496	0.00284864	0.00159163	

4	0.001	0	0	task-0:0.02	|	0.276125	0.185389	0.012908	0.00529853	0.0022578	

4	0.001	0	0	task-0:0.035	|	0.288777	0.184833	0.0167046	0.00598641	0.00232423	

4	0	0	0	task-0:0.01	|	0.352838	0.156482	0.0494534	0.00709618	0.00134164	

5	0.001	0	0	task-0:0.025	|	0.352098	0.234271	0.00791554	0.00537435	0.00291652	0.00124385	

4	0	0	0	task-0:0.03	|	0.31465	0.204232	0.00912446	0.00464824	0.0023124	

4	0	0	0	task-0:0.015	|	0.216248	0.090849	0.0278348	0.00594955	0.0013143	

4	0.001	0	0	task-0:0.015	|	0.24569	0.142851	0.0233936	0.00622421	0.00138572	

4	0.001	0	0	task-0:0	|	0.269848	0.0550073	0.0202607	0.00540988	0.00179438	

4	0.001	0	0	task-0:0.06	|	0.252419	0.0479202	0.0152262	0.00655142	0.00229524	

6	0.001	0	0	task-0:0.02	|	0.409031	0.256653	0.0378221	0.0272803	0.00420099	0.0026873	0.00160944	

4	0.001	0	0	task-0:0.045	|	0.312081	0.0719752	0.0117563	0.00334336	0.0011492	

3	0.001	0	0	task-0:0.025	|	0.287866	0.0822621	0.00434095	0.002484	

5	0.001	0	0	task-0:0	|	0.371934	0.281889	0.147954	0.333115	0.00263647	0.00120149	

5	0.001	0	0	task-0:0.015	|	0.283068	0.226986	0.0105069	0.00690963	0.00275301	0.000852283	

4	0.001	0	0	task-0:0.015	|	0.357363	0.190288	0.0176226	0.00603941	0.00187622	

4	0.001	0	0	task-0:0.015	|	0.298944	0.111073	0.03988	0.00599133	0.00134667	

4	0	0	0	task-0:0	|	0.370912	0.275372	0.0488719	0.272456	0.00147202	

4	0	0	0	task-0:0	|	0.331652	0.114209	0.056211	0.00648118	0.00135711	

4	0.001	0	0	task-0:0.025	|	0.344972	0.21083	0.00973929	0.00457732	0.00194307	

4	0.001	0	0	task-0:0.015	|	0.280363	0.264672	0.0494663	0.265151	0.00146588	

3	0.001	0	0	task-0:0.02	|	0.221633	0.0539177	0.0460748	0.00198477	

4	0.001	0	0	task-0:0.015	|	0.319725	0.0966651	0.0534208	0.00548597	0.00132832	

4	0.001	0	0	task-0:0.015	|	0.285191	0.0914866	0.0392324	0.00559898	0.00146742	

4	0.001	0	0	task-0:0.015	|	0.190838	0.0856799	0.0241489	0.00553343	0.00141969	

4	0	0	0	task-0:0.01	|	0.35509	0.129985	0.0432256	0.0062023	0.00129801	

5	0.001	0	0	task-0:0.015	|	0.193987	0.118606	0.0178843	0.00920032	0.00367175	0.00144843	

4	0	0	0	task-0:0.02	|	0.197968	0.113101	0.0203371	0.00621076	0.00123293	

6	0.001	0	0	task-0:0.05	|	0.25301	0.245714	0.0330981	0.028986	0.00362059	0.00251809	0.00183151	

4	0.001	0	0	task-0:0	|	0.303689	0.27884	0.0818926	0.287273	0.00190511	

4	0.001	0	0	task-0:0.005	|	0.148726	0.031613	0.00850004	0.00330408	0.00147918	

4	0	0	0	task-0:0.005	|	0.18786	0.23519	0.0441262	0.154669	0.00146744	

4	0	0	0	task-0:0.01	|	0.286009	0.0981041	0.0390338	0.00609066	0.00126648	

4	0	0	0	task-0:0.02	|	0.299654	0.265227	0.0394701	0.152099	0.0016892	

4	0.001	0	0	task-0:0.02	|	0.255462	0.226401	0.00734048	0.00533682	0.00238832	

