6	0	0	0	task-0:0.04	|	0.424668	0.187816	0.0443846	0.0164421	0.00695825	0.00410348	0.00169613	

6	0	0	0	task-0:0.035	|	0.433616	0.208644	0.0391506	0.0153426	0.00698613	0.00356837	0.00155432	

5	0	0	0	task-0:0.03	|	0.378456	0.138508	0.0602026	0.0147232	0.00323847	0.00234767	

7	0	0	0	task-0:0.03	|	0.251784	0.229991	0.0437127	0.0705579	0.00823213	0.00358265	0.00259328	0.00149142	

6	0	0	0	task-0:0.015	|	0.195156	0.0789528	0.0447878	0.0135856	0.0038745	0.00274465	0.00130998	

6	0	0	0	task-0:0.04	|	0.184432	0.128069	0.0239856	0.0121717	0.00554374	0.00317354	0.00122904	

6	0	0	0	task-0:0.03	|	0.369147	0.247067	0.0524599	0.142771	0.00995296	0.00299125	0.00182691	

6	0	0	0	task-0:0.045	|	0.378954	0.164528	0.0507069	0.0155264	0.00381629	0.00283663	0.00146974	

5	0	0	0	task-0:0.03	|	0.264334	0.089636	0.0515896	0.0124711	0.00342057	0.00238701	

5	0	0	0	task-0:0.025	|	0.232591	0.0744268	0.0243415	0.00776549	0.00396006	0.00148172	

5	0.016	0	0	task-0:0.035	|	0.226109	0.070825	0.0477426	0.0052078	0.00297917	0.00175524	

5	0	0	0	task-0:0.025	|	0.29971	0.0967885	0.0852832	0.0104373	0.00277113	0.00155041	

6	0	0	0	task-0:0.03	|	0.165898	0.121918	0.0214471	0.0123219	0.00584948	0.00255929	0.000938963	

6	0	0	0	task-0:0.035	|	0.270873	0.150299	0.0267266	0.0113115	0.00436122	0.0028746	0.00118466	

6	0	0	0	task-0:0.04	|	0.193963	0.134632	0.0246395	0.0124122	0.00569535	0.00326092	0.001274	

4	0	0	0	task-0:0.025	|	0.212397	0.063944	0.0116749	0.0066355	0.0024958	

6	0	0	0	task-0:0.03	|	0.167065	0.0746305	0.0315124	0.00972718	0.00389982	0.00253393	0.00100909	

5	0	0	0	task-0:0.025	|	0.312155	0.206197	0.0179134	0.0116247	0.00539163	0.00214754	

