280	0.031	0	0	task-0:0.29	|	0.2786	0.231754	0.250339	0.200195	0.188761	0.179619	0.17031	0.166241	0.155591	0.150881	0.147553	0.145084	0.139211	0.136107	0.129799	0.126508	0.121851	0.120664	0.118506	0.11467	0.108042	0.111134	0.102804	0.100833	0.100281	0.0986094	0.0974907	0.0958369	0.0923411	0.0898745	0.094823	0.086575	0.0859504	0.0848043	0.0832118	0.0824053	0.0816172	0.0810509	0.0805056	0.0797186	0.0785219	0.0770266	0.0742376	0.0732542	0.0817047	0.0701109	0.0697202	0.0693241	0.068538	0.0671415	0.0675831	0.0665276	0.0655282	0.0653798	0.0650676	0.0644082	0.0631665	0.0609901	0.0573591	0.0580132	0.219969	0.0550579	0.0572824	0.0524004	0.0523474	0.0522187	0.0519627	0.0514792	0.0505307	0.0488907	0.0594945	0.0560203	0.047644	0.047296	0.0471134	0.0469546	0.0466277	0.0460436	0.0449433	0.0436256	0.0473171	0.0429591	0.0428081	0.0425756	0.0420863	0.0412097	0.0394981	0.0362957	0.0309064	0.150618	0.0301935	0.0299231	0.0298502	0.0297158	0.0294225	0.0288182	0.0286104	0.0291179	0.0278664	0.0277796	0.027586	0.0271904	0.0264653	0.0272698	0.0328628	0.0255188	0.0254471	0.0253479	0.0252344	0.0250101	0.0245304	0.0236104	0.0219367	0.0198833	0.135198	0.0193758	0.0193971	0.0193149	0.0192596	0.0192179	0.0191378	0.0189457	0.0189469	0.0188214	0.0186917	0.0186714	0.0186138	0.0184661	0.0181815	0.0179329	0.0198047	0.0177016	0.0176817	0.0176378	0.0175248	0.0172938	0.0168881	0.0161356	0.0151323	0.105727	0.0148451	0.0148386	0.0148169	0.0147563	0.0146275	0.0143517	0.0162554	0.0142716	0.0142653	0.0142348	0.0141566	0.0139862	0.0136685	0.0131473	0.0202188	0.012987	0.0129612	0.0129161	0.0127705	0.0126091	0.0123067	0.011717	0.0117955	0.0183662	0.0109341	0.0108956	0.0108298	0.010808	0.0107712	0.010691	0.0105444	0.0103751	0.0108731	0.0102809	0.0102751	0.0102673	0.0102328	0.0101585	0.0100088	0.00973873	0.00920047	0.0177205	0.00919778	0.00904003	0.00903625	0.00901586	0.00896832	0.00890153	0.00876828	0.00851273	0.00805345	0.0101119	0.0460249	0.00734263	0.00720535	0.00716068	0.00714358	0.00711482	0.00706535	0.00695032	0.00704359	0.00692727	0.00691538	0.0068897	0.00683738	0.00674307	0.00655822	0.00620228	0.00559587	0.00833998	0.0894269	0.00497533	0.00479309	0.0047491	0.00473913	0.00471865	0.00467786	0.00460791	0.00450577	0.006432	0.00450959	0.00450466	0.00449379	0.00448312	0.00446176	0.00440649	0.00435591	0.00496304	0.00430202	0.00429761	0.00428942	0.00426905	0.00422218	0.0041277	0.00394822	0.00365161	0.0225653	0.00362213	0.00361478	0.00360597	0.00359461	0.00357438	0.00351933	0.00344912	0.00344211	0.00353176	0.0033379	0.00332666	0.00330648	0.00329746	0.00327163	0.00324382	0.0031907	0.00309393	0.00294474	0.0030354	0.00765721	0.00282654	0.00281117	0.0027949	0.00278342	0.00277298	0.0027606	0.00274014	0.00270947	0.00273299	0.00269877	0.00267768	0.00267582	0.0026718	0.00265284	0.00263207	0.00259394	0.00266749	0.00256686	0.00255796	0.00255776	0.00255192	0.00253868	0.0025126	0.00246755	

222	0.015	0	0	task-0:0.27	|	0.316143	0.243879	0.213185	0.21689	0.186008	0.17739	0.168985	0.160831	0.156613	0.151474	0.145686	0.141698	0.139495	0.133397	0.130019	0.12535	0.123088	0.120136	0.119271	0.117035	0.11577	0.112421	0.107176	0.10519	0.108777	0.099081	0.0980962	0.0970481	0.0959189	0.0933678	0.0890205	0.0873614	0.0949602	0.0827606	0.082141	0.081466	0.0802361	0.0781855	0.0765394	0.0776276	0.0747206	0.0743185	0.0736547	0.0723189	0.069899	0.0658678	0.0680588	0.120977	0.0610937	0.0606564	0.0605006	0.0604688	0.0603272	0.0601083	0.0598789	0.0594552	0.0586136	0.056963	0.0539569	0.0494214	0.190111	0.0471732	0.0475076	0.0468167	0.0466659	0.0463592	0.0457422	0.0445126	0.0421102	0.0376142	0.0397833	0.182781	0.0316749	0.0340277	0.0302443	0.0300967	0.0299818	0.0297452	0.0292707	0.0283719	0.0271406	0.0385417	0.0266945	0.0266315	0.026494	0.0261988	0.0256035	0.0245928	0.0320447	0.0244685	0.0243549	0.0242868	0.0241786	0.0239614	0.0235145	0.0226432	0.0210216	0.0182722	0.137282	0.0185199	0.018629	0.0181165	0.0181017	0.0180592	0.0179623	0.0177615	0.0174245	0.0191109	0.0172777	0.0172499	0.0172053	0.017071	0.0170812	0.0170364	0.0169746	0.0169186	0.0168324	0.0166845	0.0166235	0.0172879	0.0163585	0.016318	0.0162459	0.0161483	0.015938	0.0155129	0.0147219	0.0133687	0.0113892	0.0340102	0.289816	0.0414949	0.320015	0.07691	0.334793	0.143938	0.328258	0.103347	0.335328	0.10331	0.358304	0.130385	0.298847	0.010003	0.0148563	0.00912	0.00888298	0.00882945	0.00874229	0.00856701	0.0082271	0.00760375	0.00669884	0.0135911	0.00680732	0.00635417	0.0063009	0.00628298	0.00624854	0.00618149	0.00601361	0.0060465	0.00588066	0.00580537	0.00578798	0.00575581	0.00566201	0.00559007	0.00544884	0.00518136	0.00513745	0.0067858	0.00478354	0.00475898	0.00471414	0.00464282	0.00450599	0.00426177	0.00384815	0.00399237	0.0489941	0.00346173	0.00342593	0.00341994	0.00340192	0.00337142	0.00334063	0.00331147	0.0033184	0.0032978	0.00327693	0.00326114	0.0032306	0.00317549	0.00307954	0.0039039	0.00307924	0.00307386	0.00306305	0.003044	0.00301943	0.00297307	0.00289198	0.00287929	0.0057472	0.00278399	0.00278502	0.00278422	0.00277716	0.00276422	0.002742	0.00270226	0.00274804	0.00283234	0.0026507	0.00264806	0.00264378	0.00262776	0.00259838	0.00255692	0.00250021	0.00403001	0.00247714	

273	0.047	0	0	task-0:0.27	|	0.263873	0.232666	0.21578	0.207035	0.186319	0.180187	0.171348	0.163556	0.158827	0.157198	0.150541	0.1471	0.138683	0.132605	0.126839	0.123524	0.121569	0.117577	0.110064	0.115111	0.104661	0.103015	0.100888	0.0969716	0.0989758	0.0935772	0.0925623	0.090886	0.0880364	0.0885434	0.0855402	0.0846916	0.0841139	0.0831082	0.0822804	0.0810396	0.0785861	0.075219	0.0846027	0.0740037	0.0737283	0.0734558	0.0728437	0.0715969	0.0693211	0.0715576	0.0725815	0.0664637	0.0662356	0.0657445	0.0647226	0.0627769	0.0621336	0.0976415	0.0595732	0.0593792	0.0592592	0.0589976	0.0584957	0.0575235	0.0579645	0.0616061	0.0560537	0.0559467	0.0557835	0.0554453	0.0547645	0.0534214	0.0507986	0.0458004	0.0371335	0.318256	0.0398281	0.133249	0.0380398	0.0397837	0.0356716	0.0355674	0.0353659	0.0349658	0.0341689	0.0326084	0.0295995	0.0424177	0.0374397	0.0271301	0.026827	0.0266337	0.0265339	0.0263441	0.0259642	0.0251947	0.0237538	0.0212331	0.0220606	0.184759	0.0189445	0.0198546	0.0181652	0.0180695	0.0179419	0.0177782	0.0174922	0.0171422	0.0177426	0.0170169	0.0169467	0.0168479	0.0167563	0.0165911	0.0164207	0.0163153	0.0163241	0.0161454	0.0161013	0.016066	0.0160066	0.0158649	0.0157984	0.0157398	0.0156557	0.0156439	0.0156191	0.0155366	0.0154026	0.0152701	0.0153936	0.0151547	0.0151438	0.0151278	0.0150521	0.0149142	0.0146653	0.0141957	0.0192925	0.0160892	0.0136788	0.0136265	0.0135559	0.0135495	0.0135403	0.0134968	0.0134034	0.0132117	0.0132848	0.013199	0.0131512	0.0131234	0.0130714	0.0129684	0.0127672	0.0123794	0.0116903	0.0177162	0.0230647	0.0109863	0.0109061	0.0108611	0.0107908	0.0106612	0.0104323	0.0100691	0.0152009	0.0100793	0.0100646	0.0100467	0.0100094	0.00993718	0.00979514	0.00952252	0.00903542	0.00952424	0.0715122	0.00823562	0.00814551	0.00809871	0.00806853	0.00802545	0.00796306	0.00786564	0.00785834	0.00782194	0.00775931	0.00771374	0.00761575	0.00764919	0.00760392	0.00756102	0.00754268	0.00750754	0.00744396	0.00730812	0.00796803	0.00730348	0.00729519	0.00727479	0.00723589	0.00716268	0.00701937	0.00690059	0.0115853	0.00673757	0.00672411	0.0066993	0.00665472	0.00656959	0.00640988	0.00612543	0.00563689	0.0598778	0.00561647	0.00560986	0.00559453	0.00555319	0.00546692	0.00533922	0.0055404	0.005613	0.00518222	0.00516918	0.00514773	0.00512271	0.00507682	0.00500464	0.00508587	0.00498489	0.00496672	0.00494127	0.00492871	0.00490274	0.00484953	0.00474702	0.00455549	0.0042648	0.0139189	0.00421127	0.00420321	0.00419081	0.00418361	0.00416294	0.00412166	0.00403216	0.00386366	0.00410772	0.00995457	0.00363104	0.00360375	0.00358934	0.00358699	0.00358327	0.00357643	0.00355917	0.00351701	0.00346208	0.00335028	0.00318191	0.00636664	0.00314903	0.00314563	0.00313933	0.00313065	0.00311345	0.00306607	0.00314932	0.00305543	0.00301379	0.00301001	0.00300226	0.00297727	0.0029537	0.00290719	0.00281705	0.0026503	0.00237019	

397	0.094	1	0	task-0:0.26	|	0.236141	0.215516	0.195755	0.171393	0.201344	0.153647	0.148839	0.144619	0.13647	0.123302	0.141641	0.124022	0.107597	0.105773	0.103928	0.101364	0.0998615	0.0975973	0.0959696	0.0943059	0.0932445	0.0918799	0.0904395	0.0873832	0.0821048	0.0745511	0.135461	0.073543	0.073463	0.0728016	0.0725709	0.0721214	0.0712648	0.070491	0.0704141	0.0696581	0.0693706	0.0691304	0.0686567	0.067805	0.066572	0.0659572	0.0667567	0.0647743	0.0645477	0.0641785	0.0635832	0.0629787	0.063085	0.0625501	0.0623386	0.0621178	0.0616428	0.0607069	0.0597444	0.0671129	0.058871	0.0587122	0.0584172	0.0579975	0.0574602	0.0573133	0.057139	0.0569811	0.0568337	0.0565162	0.0558548	0.0545158	0.0524897	0.0849556	0.0516842	0.0515326	0.0512154	0.0505847	0.0495592	0.0501093	0.0488201	0.0485947	0.0484737	0.0482018	0.0479166	0.0473468	0.0462017	0.0439637	0.0397858	0.0768276	0.0422739	0.0381241	0.0373749	0.0371737	0.0370789	0.0368742	0.0364578	0.0356258	0.0341281	0.0331966	0.0774123	0.0323815	0.032103	0.031718	0.0316915	0.0316269	0.0314328	0.0312453	0.0308631	0.0300872	0.0286739	0.0267013	0.0899498	0.0263127	0.0262969	0.0262767	0.0261906	0.0259872	0.0259622	0.0257733	0.0256857	0.0256545	0.0255847	0.0253943	0.0253798	0.0252584	0.0252005	0.0251866	0.0251723	0.025105	0.0249523	0.0246308	0.0240188	0.0228328	0.0206582	0.0170647	0.196851	0.0310342	0.0167973	0.0155769	0.0155519	0.0155108	0.0153683	0.0153106	0.0151556	0.0150072	0.0148399	0.0145515	0.0148159	0.0145288	0.0144858	0.0144351	0.0143573	0.0142064	0.0139154	0.0133469	0.0128971	0.0305771	0.0124463	0.0124157	0.0123593	0.0123255	0.01224	0.0121998	0.0121181	0.0119994	0.011783	0.0113771	0.0105782	0.0389158	0.0105569	0.0105312	0.0104806	0.0104307	0.0103273	0.0101529	0.0106129	0.010118	0.0100874	0.0100404	0.00999407	0.00990296	0.00978963	0.0099042	0.00972698	0.009696	0.00965327	0.00959729	0.0094822	0.00927486	0.00989137	0.00924909	0.00921963	0.00917219	0.00913117	0.00904831	0.00889783	0.00918473	0.00887642	0.00884846	0.00880446	0.00877269	0.00870559	0.00856606	0.00840785	0.00945464	0.00830961	0.00828704	0.00824665	0.00818696	0.00806973	0.00784238	0.00738365	0.014064	0.00774907	0.0071589	0.00715321	0.007134	0.00708777	0.00699627	0.00686555	0.00746424	0.00681017	0.00680926	0.00681165	0.00679293	0.00676069	0.00669828	0.00658038	0.00640823	0.0094559	0.00634611	0.00634255	0.0063365	0.00631807	0.00627194	0.00618127	0.00600586	0.00567436	0.00521213	0.0627574	0.00510823	0.00508967	0.0050725	0.0050582	0.0050295	0.00497185	0.00486248	0.00473922	0.00535355	0.00469728	0.00468569	0.00466446	0.00464529	0.00460753	0.00453254	0.00482359	0.00450008	0.00448862	0.00448962	0.00448218	0.00446578	0.00444122	0.00440143	0.00430943	0.00423021	0.00637476	0.00414898	0.00414246	0.00413032	0.0041074	0.00405884	0.00396785	0.0037905	0.0103236	0.00377397	0.00377145	0.00376538	0.00373624	0.00371794	0.00368298	0.00364507	0.00364218	0.00361975	0.00360485	0.00359059	0.00356298	0.00350921	0.00339281	0.00343336	0.00400342	0.00323942	0.00323074	0.00321347	0.00318188	0.00319989	0.00315719	0.00315364	0.00314919	0.00312734	0.00311496	0.00310112	0.00307445	0.00302187	0.00828049	0.00303996	0.00265771	0.00264916	0.00263147	0.00258201	0.00247246	

427	0.109	1	0	task-0:0.27	|	0.222492	0.208477	0.177979	0.154634	0.190341	0.142016	0.139444	0.13541	0.127742	0.116241	0.137911	0.118594	0.10383	0.102554	0.100531	0.0973484	0.0924458	0.0889849	0.096765	0.0851633	0.084487	0.0836057	0.0819078	0.0795505	0.0798871	0.0779742	0.0775796	0.0767197	0.074984	0.0720029	0.0911117	0.070909	0.0706484	0.0700752	0.0690275	0.0680504	0.0694759	0.0672518	0.0670064	0.0666842	0.0660193	0.0647167	0.0625098	0.0791435	0.0621424	0.0619856	0.0618433	0.0615619	0.0612197	0.0610615	0.0608078	0.0606693	0.0603879	0.0598014	0.0586342	0.0564123	0.0610042	0.0642871	0.0531934	0.0529717	0.0527289	0.0524923	0.0523922	0.0522366	0.0520456	0.051902	0.0517428	0.0514885	0.0513066	0.0511231	0.0507511	0.0503551	0.0498855	0.049619	0.049308	0.0488398	0.0485415	0.0481932	0.0475531	0.0471222	0.0467238	0.0465053	0.0463538	0.0461637	0.0456933	0.0447653	0.0449156	0.0454489	0.0433067	0.0431631	0.0428269	0.0421155	0.0408223	0.0397332	0.0536577	0.0386589	0.038363	0.0383507	0.0383319	0.0382079	0.0379328	0.0374537	0.0366113	0.0387232	0.0364654	0.0363216	0.0361974	0.0360896	0.0358796	0.0354363	0.0351621	0.0354689	0.0346724	0.0345962	0.0344436	0.0341068	0.033895	0.0336268	0.0335772	0.0335336	0.0334501	0.0332338	0.0327657	0.0323134	0.0348236	0.0318619	0.0317991	0.0316549	0.0313523	0.0307256	0.0312666	0.0308577	0.0300102	0.0299466	0.0297774	0.029402	0.0287649	0.0284569	0.0339235	0.0277058	0.0275784	0.0275131	0.0273703	0.0270745	0.0265063	0.028125	0.0264262	0.0263503	0.0262409	0.026183	0.0260217	0.0259188	0.0257315	0.0255692	0.0255476	0.0253861	0.0253245	0.0252954	0.025257	0.025146	0.0249128	0.0245065	0.0237205	0.0253102	0.0318204	0.0226332	0.0225221	0.0224823	0.0223971	0.0222207	0.0219171	0.022184	0.0218381	0.0217467	0.0216763	0.0215312	0.0212365	0.0206506	0.0195119	0.0176006	0.0772334	0.0175103	0.0173481	0.0173379	0.0173301	0.0172832	0.0171757	0.0170097	0.0166872	0.0160648	0.0148929	0.0127928	0.108363	0.0128111	0.0127039	0.012696	0.0126844	0.0126257	0.0125394	0.0125131	0.0124214	0.0124048	0.0123734	0.012316	0.0121595	0.0119089	0.0117311	0.0150016	0.0114749	0.0114397	0.0113814	0.0113221	0.0111974	0.0109609	0.0113079	0.0113024	0.0106621	0.0106408	0.0105916	0.010487	0.0102784	0.00990568	0.0103561	0.0154127	0.00934884	0.00932396	0.00927858	0.00920018	0.00907584	0.0088392	0.010618	0.00882708	0.00880302	0.00876378	0.00873882	0.00868589	0.00856811	0.0086061	0.00851223	0.0084385	0.00842812	0.0084078	0.00834106	0.00833132	0.0083175	0.00826941	0.00820266	0.00815554	0.00810263	0.00808871	0.0080893	0.00809835	0.00808842	0.00806534	0.00801732	0.0079222	0.00780743	0.00850164	0.00771965	0.00771169	0.00769652	0.00765216	0.00755739	0.00736616	0.00699303	0.00629974	0.00513244	0.113962	0.00509824	0.00508322	0.00507438	0.00506086	0.00503705	0.00500384	0.0049837	0.00636301	0.00493327	0.00492711	0.00491427	0.00489124	0.00484769	0.00476609	0.00461795	0.00629503	0.00826418	0.00443782	0.00440065	0.00437869	0.00436968	0.00435251	0.0043192	0.00425468	0.00413253	0.00389518	0.00719829	0.0038656	0.00377618	0.00377502	0.00376594	0.00374588	0.003363	0.00258016	0.00215055	

222	0.031	0	0	task-0:0.27	|	0.328088	0.245882	0.215382	0.216385	0.185684	0.17692	0.167973	0.159466	0.155321	0.14994	0.144281	0.140365	0.138043	0.131753	0.128364	0.123557	0.121449	0.118694	0.117787	0.115654	0.114487	0.111401	0.106691	0.1048	0.107062	0.0992731	0.0983305	0.097314	0.0961851	0.0936281	0.0892393	0.0860513	0.102551	0.082524	0.0819117	0.0814442	0.080632	0.079111	0.0761582	0.0713205	0.0859144	0.0739675	0.0675303	0.0673641	0.0670141	0.0664999	0.0656308	0.0653653	0.0652274	0.0643168	0.064175	0.0639152	0.0634103	0.062612	0.0614259	0.066456	0.0611226	0.0609836	0.0607388	0.0603328	0.0595034	0.0579584	0.0606538	0.0668823	0.0559686	0.0558445	0.0557367	0.0555317	0.0551518	0.0543694	0.0527631	0.0495583	0.0506936	0.176757	0.0436082	0.0438265	0.0430058	0.0428573	0.0426476	0.0422194	0.0413167	0.0395485	0.036188	0.0304989	0.0924849	0.168226	0.0255547	0.0251892	0.0251537	0.0251031	0.0249469	0.0247479	0.0244888	0.0240952	0.0257345	0.0240423	0.0239711	0.0239101	0.0238074	0.0236034	0.0232076	0.0224718	0.0253788	0.0373859	0.0213259	0.0212681	0.0211756	0.0211302	0.0210327	0.0208474	0.0206136	0.0205311	0.0205642	0.0202492	0.0201929	0.0201193	0.019981	0.0196531	0.0190915	0.0186278	0.0253089	0.0181586	0.0180733	0.0180057	0.0178719	0.0176092	0.0171028	0.0161419	0.0209867	0.0366702	0.0149639	0.0148827	0.0148353	0.0148276	0.0148256	0.0148049	0.0147479	0.0146033	0.0146782	0.0145084	0.0144933	0.0144838	0.01441	0.0143663	0.0142874	0.0141526	0.0138808	0.0133472	0.013793	0.0372603	0.0124952	0.0124406	0.0123957	0.0123797	0.0123525	0.0122844	0.0121383	0.0118238	0.011489	0.0146356	0.0112724	0.0112479	0.011201	0.0110859	0.0108598	0.0104359	0.00973228	0.00980882	0.104012	0.00903431	0.00900227	0.00893137	0.00883229	0.00872264	0.008566	0.0083744	0.00823314	0.0156537	0.00818745	0.00817982	0.00816353	0.00813041	0.00804723	0.00808153	0.00802864	0.00793797	0.00792853	0.00790633	0.00785997	0.00776559	0.00781308	0.00775428	0.00772246	0.00770036	0.00766359	0.0076047	0.00748837	0.00724681	0.0068091	0.00607878	0.00502192	0.0646279	0.155916	0.0235081	0.0738237	0.00505446	0.00431003	0.00400181	0.00400419	0.00398893	0.00395581	0.00387261	0.0037242	0.00347278	0.00310534	0.00401088	0.00501501	0.00269889	0.00267874	0.00264321	0.00261582	0.00255759	0.00244791	
