1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0275133	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0394055	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0250021	

5	0.047	32	0	task-3:0.5	task-0:0.55	task-1:0.5	task-2:0.21	|	0.0415578	0.0499999	0.0499984	0.048478	0.0285766	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0293418	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0360563	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0252992	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0346223	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0292156	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0251098	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.275	|	0.0258454	

5	0.047	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0471231	0.0499999	0.0499992	0.0486919	0.0322602	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0309545	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0300952	

5	0.046	32	0	task-3:0.475	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0406061	0.05	0.0499897	0.0434391	0.025984	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0274267	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0228008	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0372497	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0306467	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0348087	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0247539	

5	0.047	32	0	task-3:0.1	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0465326	0.0499985	0.0499466	0.0409443	0.0396696	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0246431	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0254243	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0306702	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0248717	

5	0.047	32	0	task-3:0.41	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0401519	0.0499999	0.0499954	0.0446865	0.0320758	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.024328	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0381116	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0374033	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0252839	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0370599	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0275138	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0263224	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0397002	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0266786	

4	0.031	32	0	task-3:0.395	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0451736	0.0499958	0.049742	0.0305327	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0286266	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0274985	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0338344	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0236699	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0243635	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0374475	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0344257	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.030898	

5	0.031	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0411461	0.049999	0.0499782	0.0435295	0.0396907	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0390128	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0275473	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0282243	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0295597	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0351855	

5	0.031	32	0	task-3:0.055	task-0:0.5	task-1:0.46	task-2:0.495	|	0.0438499	0.0499999	0.049999	0.0482479	0.0354221	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0234177	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0343918	

1	0.015	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0334257	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0384494	

1	0.016	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0279864	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0274662	

5	0.031	32	0	task-3:0.5	task-0:0.5	task-1:0.335	task-2:0.495	|	0.0462686	0.05	0.0499987	0.0464397	0.0315232	

1	0	32	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.038492	

