276	0.188	1	0	task-0:0.015	|	0.331112	0.210218	0.265934	0.157027	0.136264	0.105994	0.110194	0.0933015	0.0846424	0.0774218	0.0733377	0.0651174	0.0540503	0.0603568	0.0508039	0.047084	0.0463279	0.0445892	0.0413859	0.0371359	0.0387978	0.0360214	0.0346185	0.0340441	0.0334288	0.0326439	0.0313868	0.029925	0.0278035	0.0264351	0.0290732	0.0248388	0.0242546	0.0239326	0.0232697	0.022553	0.0219158	0.0217188	0.0215462	0.0212778	0.0206991	0.0200182	0.0187754	0.0198006	0.019932	0.0172688	0.0170479	0.0169271	0.0166777	0.0161928	0.0153047	0.0154169	0.0188124	0.0141155	0.0138861	0.0138539	0.0138254	0.0137769	0.0137291	0.0135992	0.0133655	0.013248	0.0130344	0.0129579	0.0128187	0.0125488	0.0120245	0.0112181	0.015389	0.0136684	0.0105803	0.010372	0.0103672	0.0103564	0.0103439	0.0103405	0.0102599	0.0101592	0.0101471	0.0101579	0.0101218	0.0100408	0.00993132	0.0099306	0.00985486	0.00978062	0.00977587	0.00976451	0.00976678	0.0097088	0.0096098	0.00957431	0.00951056	0.0093549	0.00906775	0.00993928	0.00893294	0.00892443	0.00891989	0.00889425	0.00882794	0.00869136	0.00848294	0.00818432	0.00971247	0.00851247	0.00793579	0.00788314	0.00787459	0.0078574	0.00782532	0.00777118	0.00765153	0.0077037	0.0076374	0.00760131	0.0076022	0.00760004	0.00759689	0.00759707	0.00758335	0.00752961	0.00742374	0.00736544	0.00742037	0.00726489	0.00725664	0.00723934	0.00720411	0.00713367	0.00699549	0.0067319	0.00625301	0.00651879	0.0323486	0.0064751	0.00575687	0.00552054	0.00548399	0.00545123	0.00544715	0.00543886	0.0054222	0.00538898	0.00532354	0.00519722	0.00496247	0.00913359	0.00593407	0.0049148	0.0047474	0.0047567	0.00475986	0.00477093	0.00475296	0.00472042	0.00472397	0.00470904	0.00467766	0.00461412	0.0044892	0.00425242	0.00556557	0.0212502	0.0043607	0.00405383	0.00391853	0.00392173	0.00393103	0.00392781	0.00391976	0.003902	0.00383435	0.00396879	0.00385826	0.00384746	0.00382729	0.0038275	0.00383124	0.0037823	0.00379673	0.00379651	0.0037963	0.00379392	0.003746	0.00377108	0.00376435	0.00375041	0.00372571	0.00376393	0.00374561	0.00373745	0.00372132	0.00370654	0.00371118	0.00371311	0.00368602	0.00271399	0.00224597	

116	0.062	0	0	task-0:0.005	|	0.277696	0.226175	0.193502	0.135188	0.141593	0.114986	0.0791742	0.0747032	0.0673994	0.0645386	0.0576988	0.0466934	0.052742	0.0454857	0.0364438	0.035583	0.0343062	0.0334059	0.0332128	0.0322041	0.0311754	0.0304663	0.0302799	0.0293657	0.0278257	0.0276386	0.0263046	0.0259319	0.0251948	0.0238211	0.0216645	0.0264588	0.0214104	0.0210196	0.0207487	0.0204558	0.0198599	0.0187307	0.0188419	0.0202863	0.0171596	0.017027	0.0167647	0.0164777	0.0160167	0.0151431	0.0147872	0.022044	0.0138729	0.0137811	0.0136509	0.0135862	0.0135966	0.0135215	0.013373	0.0132628	0.0131207	0.0128817	0.0126432	0.012718	0.0124606	0.0123678	0.0123159	0.0122088	0.0119972	0.0115971	0.0109878	0.0158599	0.0109196	0.0107949	0.0107371	0.0107159	0.0106752	0.010607	0.0104527	0.0101958	0.0103796	0.0102184	0.00989188	0.00986108	0.00979045	0.0096476	0.00944119	0.00904491	0.00832779	0.00715364	0.0183522	0.0541409	0.0129248	0.00956296	0.00642681	0.00583203	0.00571129	0.00570536	0.00569313	0.00566863	0.00561811	0.00551965	0.00571844	0.0057111	0.00540365	0.00537472	0.00536824	0.00535513	0.00532888	0.00527679	0.00517482	0.0049784	0.00461363	0.0039884	0.00303644	0.0289219	0.160392	0.0114507	0.0047098	0.00253289	0.00227848	

166	0.078	0	0	task-0:0.01	|	0.274837	0.234085	0.200068	0.152732	0.136986	0.119284	0.113573	0.0933761	0.0869878	0.0746523	0.0735522	0.0675272	0.0611912	0.0592713	0.0568039	0.0525281	0.0449106	0.0485364	0.0397587	0.0377065	0.0372702	0.0356247	0.0333804	0.0333513	0.0324841	0.031485	0.0311723	0.030891	0.03045	0.0298309	0.0286751	0.0277227	0.02588	0.022675	0.017914	0.0122682	0.121776	0.0547496	0.0139083	0.00993121	0.00908124	0.00898596	0.0089524	0.00895292	0.00894864	0.00894061	0.00893085	0.00891449	0.00882563	0.00875466	0.00864374	0.00842679	0.00801793	0.00729266	0.0121535	0.0333521	0.00764826	0.00672584	0.00643521	0.00643926	0.00646112	0.00645331	0.00643203	0.00639142	0.00636602	0.00631549	0.00630179	0.00621867	0.00622566	0.00622276	0.00621682	0.00620525	0.00618408	0.00613255	0.00602494	0.00583258	0.00770328	0.00584039	0.00579305	0.0057694	0.00576745	0.00576382	0.00575789	0.00575139	0.00568101	0.00570036	0.00570111	0.00569376	0.00566058	0.00559709	0.00561711	0.00552833	0.00553011	0.00552559	0.00551598	0.00549706	0.00542119	0.00551593	0.00545069	0.00544211	0.00542323	0.00539298	0.00539084	0.0053866	0.00537822	0.00536172	0.0053491	0.00529392	0.00538329	0.005234	0.00525057	0.00524961	0.00524664	0.00520463	0.00518755	0.00515268	0.00508306	0.00494745	0.00469294	0.00545127	0.0164719	0.00494198	0.00430662	0.00430282	0.00428553	0.00425717	0.00426277	0.00427696	0.00428059	0.0042732	0.0042571	0.00422788	0.00423589	0.00420856	0.00419586	0.00417024	0.00411958	0.00400087	0.00517284	0.00403443	0.0040025	0.00398746	0.00398621	0.00398385	0.0039794	0.00397109	0.00393579	0.00386768	0.00424522	0.00382514	0.00384809	0.00383829	0.00381966	0.00380592	0.00380762	0.00381201	0.00382385	0.00381277	0.00379166	0.00378329	0.00376629	0.00373224	0.00366493	0.00353447	0.00329056	0.00286207	0.00218638	

233	0.156	1	0	task-0:0.005	|	0.269091	0.235188	0.186167	0.122427	0.106424	0.131323	0.0650363	0.0621115	0.057222	0.0553536	0.0531181	0.0498128	0.0485007	0.0472419	0.0448605	0.0416656	0.0408887	0.0384391	0.037319	0.0361523	0.0342192	0.0322113	0.0317872	0.0308609	0.0299587	0.0295547	0.0288088	0.0275608	0.0255692	0.026468	0.0242014	0.0238273	0.0234597	0.02261	0.021094	0.0224364	0.0203613	0.0196584	0.0195497	0.0192212	0.0185082	0.0172829	0.0203378	0.0166945	0.0165741	0.0164712	0.0162181	0.0158548	0.0158386	0.0156119	0.0154409	0.0152752	0.0151095	0.0148833	0.0144188	0.0135285	0.0119782	0.00964188	0.00738659	0.298396	0.00678504	0.00675641	0.00673622	0.0067209	0.0066942	0.0066233	0.00648426	0.00626718	0.00657796	0.0102992	0.00608194	0.00590149	0.00590883	0.0059233	0.00591899	0.00590561	0.00587408	0.00580742	0.00567582	0.00544238	0.00502142	0.0043089	0.00361371	0.206217	0.00324437	0.00331926	0.00326435	0.00325574	0.00325263	0.00324639	0.00323397	0.00320948	0.00330992	0.00317247	0.00319699	0.0031956	0.00319192	0.0031836	0.00316604	0.00310141	0.00335773	0.0031263	0.00311788	0.0031021	0.00310207	0.00310321	0.0030726	0.00310122	0.0030932	0.00308967	0.00308176	0.00306711	0.00306259	0.00305806	0.00304906	0.00303186	0.00299843	0.002933	0.00280735	0.00597917	0.00277386	0.00283299	0.00279473	0.00278961	0.00277937	0.00276619	0.0027674	0.00276918	0.00277323	0.00278311	0.00277854	0.00276911	0.00275248	0.00276285	0.00277059	0.00276894	0.00276465	0.00275565	0.0029185	0.00257352	0.0019706	

293	0.218	1	0	task-0:0.015	|	0.290293	0.250523	0.213647	0.167866	0.142515	0.130051	0.10491	0.098442	0.086674	0.0796503	0.0723041	0.0686955	0.0597719	0.048813	0.0530583	0.0512462	0.0384148	0.0369407	0.0362804	0.0356104	0.0344813	0.032475	0.0320107	0.0303623	0.0298432	0.0287623	0.0272083	0.0259943	0.0261312	0.0250658	0.0245111	0.024182	0.023492	0.0221603	0.0198136	0.0161955	0.0148552	0.171765	0.0118432	0.0118041	0.0117297	0.0115902	0.0113446	0.0114271	0.0112856	0.0111881	0.0111239	0.0110629	0.010976	0.0107941	0.0107762	0.010774	0.0107202	0.0106155	0.0105315	0.0103658	0.0101	0.0102249	0.0105855	0.00974249	0.00967569	0.00963407	0.00955171	0.00954664	0.00944773	0.00940653	0.00940401	0.00939784	0.00939159	0.00939741	0.00933737	0.00924846	0.00923452	0.00923412	0.00916999	0.00907332	0.00907412	0.00907767	0.00904173	0.00896786	0.00888769	0.00881866	0.00866534	0.00879832	0.00862344	0.00860002	0.00854552	0.00843171	0.00821111	0.00833039	0.0093289	0.00792697	0.00789192	0.00783602	0.00783963	0.0078572	0.00784101	0.00780169	0.00773574	0.0077278	0.00770006	0.00764131	0.00749974	0.00762264	0.00750182	0.00746082	0.00742429	0.00741082	0.00739032	0.00729686	0.00730526	0.00728165	0.00723058	0.00713746	0.00723586	0.00708509	0.00708383	0.00707758	0.00701817	0.00697151	0.006895	0.0067765	0.00653983	0.00610283	0.00535368	0.0042422	0.106049	0.0144575	0.00535057	0.00380876	0.00373158	0.00369752	0.00368957	0.00368968	0.00368989	0.00369049	0.0036924	0.00369891	0.00367812	0.00367429	0.00366852	0.00369514	0.00363347	0.00365213	0.00365112	0.00364757	0.00363947	0.0036225	0.00355658	0.00377719	0.00358269	0.00357378	0.00355661	0.00354495	0.00354232	0.0035391	0.00348423	0.00354706	0.00350693	0.00349343	0.00348627	0.00348022	0.00346821	0.00344452	0.00339816	0.00330344	0.00473347	0.00333503	0.00329325	0.00328918	0.00328109	0.0032778	0.00327259	0.00322486	0.00334428	0.00324778	0.00323917	0.00322289	0.00322292	0.00322483	0.0031812	0.00320746	0.00319899	0.00318308	0.00318629	0.00318887	0.00315721	0.00317128	0.00317434	0.00316875	0.00315691	0.00313481	0.00315545	0.00256409	0.00239757	

293	0.25	1	0	task-0:0.015	|	0.290293	0.250523	0.213647	0.167866	0.142515	0.130051	0.10491	0.098442	0.086674	0.0796503	0.0723041	0.0686955	0.0597719	0.048813	0.0530583	0.0512462	0.0384148	0.0369407	0.0362804	0.0356104	0.0344813	0.032475	0.0320107	0.0303623	0.0298432	0.0287623	0.0272083	0.0259943	0.0261312	0.0250658	0.0245111	0.024182	0.023492	0.0221603	0.0198136	0.0161955	0.0148552	0.171765	0.0118432	0.0118041	0.0117297	0.0115902	0.0113446	0.0114271	0.0112856	0.0111881	0.0111239	0.0110629	0.010976	0.0107941	0.0107762	0.010774	0.0107202	0.0106155	0.0105315	0.0103658	0.0101	0.0102249	0.0105855	0.00974249	0.00967569	0.00963407	0.00955171	0.00954664	0.00944773	0.00940653	0.00940401	0.00939784	0.00939159	0.00939741	0.00933737	0.00924846	0.00923452	0.00923412	0.00916999	0.00907332	0.00907412	0.00907767	0.00904173	0.00896786	0.00888769	0.00881866	0.00866534	0.00879832	0.00862344	0.00860002	0.00854552	0.00843171	0.00821111	0.00833039	0.0093289	0.00792697	0.00789192	0.00783602	0.00783963	0.0078572	0.00784101	0.00780169	0.00773574	0.0077278	0.00770006	0.00764131	0.00749974	0.00762264	0.00750182	0.00746082	0.00742429	0.00741082	0.00739032	0.00729686	0.00730526	0.00728165	0.00723058	0.00713746	0.00723586	0.00708509	0.00708383	0.00707758	0.00701817	0.00697151	0.006895	0.0067765	0.00653983	0.00610283	0.00535368	0.0042422	0.106049	0.0144575	0.00535057	0.00380876	0.00373158	0.00369752	0.00368957	0.00368968	0.00368989	0.00369049	0.0036924	0.00369891	0.00367812	0.00367429	0.00366852	0.00369514	0.00363347	0.00365213	0.00365112	0.00364757	0.00363947	0.0036225	0.00355658	0.00377719	0.00358269	0.00357378	0.00355661	0.00354495	0.00354232	0.0035391	0.00348423	0.00354706	0.00350693	0.00349343	0.00348627	0.00348022	0.00346821	0.00344452	0.00339816	0.00330344	0.00473347	0.00333503	0.00329325	0.00328918	0.00328109	0.0032778	0.00327259	0.00322486	0.00334428	0.00324778	0.00323917	0.00322289	0.00322292	0.00322483	0.0031812	0.00320746	0.00319899	0.00318308	0.00318629	0.00318887	0.00315721	0.00317128	0.00317434	0.00316875	0.00315691	0.00313481	0.00315545	0.00256409	0.00239757	
